version,strategy,file_name,file_path,file_extension,run_number,timestamp,measurement_mode,status,error_message,file_size_bytes,file_size_kb,file_size_mb,character_count,line_count,wall_clock_time_sec,user_time_sec,system_time_sec,cpu_percent,max_resident_set_kb,average_resident_set_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,file_system_inputs,file_system_outputs,throughput_kb_per_sec,throughput_mb_per_sec,memory_per_kb_input,avg_cpu_percent,peak_cpu_percent,avg_memory_mb,peak_memory_mb,gpu_available,avg_gpu_utilization_percent,peak_gpu_utilization_percent,avg_gpu_memory_used_mb,peak_gpu_memory_used_mb,gpu_memory_total_mb,avg_gpu_temperature_c,peak_gpu_temperature_c
1.0,default,openvas_acgpiano_sqli-labs.csv,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.csv,.csv,1,2026-03-04T00:18:00.078870,single_file,SUCCESS,,269751,263.4287109375,0.25725460052490234,269751,3792,497.92,6461.9,12.95,1300.0,2414232,0,0,1870573,623855,23151,0,14440,0.529058304421393,0.0005166585004115166,9164.650244114016,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,default,openvas_acgpiano_sqli-labs.csv,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.csv,.csv,1,2026-03-04T00:26:18.016187,single_file,SUCCESS,,269751,263.4287109375,0.25725460052490234,269751,3792,1091.84,14147.57,25.29,1298.0,3251544,0,0,2964090,1761387,51380,0,1336,0.241270434255477,0.00023561565845261426,12343.16482978747,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,filtered,openvas_acgpiano_sqli-labs.csv,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.csv,.csv,1,2026-03-04T00:44:29.865865,single_file,SUCCESS,,269751,263.4287109375,0.25725460052490234,269751,3792,226.78,2957.89,6.29,1307.0,2267192,0,0,1136282,87001,384647,0,2152,1.1616046870866037,0.0011343795772330114,8606.472665532287,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,hybrid,openvas_acgpiano_sqli-labs.csv,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.csv,.csv,1,2026-03-04T00:48:16.659378,single_file,SUCCESS,,269751,263.4287109375,0.25725460052490234,269751,3792,206.07,2627.84,6.63,1278.0,2266364,0,0,904534,124987,263314,0,1160,1.278345760845829,0.001248384532076005,8603.329500168675,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,standalone,openvas_acgpiano_sqli-labs.csv,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.csv,.csv,1,2026-03-04T00:51:42.742617,single_file,SUCCESS,,269751,263.4287109375,0.25725460052490234,269751,3792,208.38,2967.6,5.8,1426.0,1318112,0,0,592042,91166,47202,0,1192,1.2641746373812266,0.001234545544317604,5003.676308892274,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,presidio,openvas_acgpiano_sqli-labs.csv,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.csv,.csv,1,2026-03-04T00:55:11.134189,single_file,SUCCESS,,269751,263.4287109375,0.25725460052490234,269751,3792,205.38,2612.2,5.55,1274.0,2268784,0,0,672400,123851,498927,0,1944,1.282640524576395,0.0012525786372816357,8612.516046279718,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,default,openvas_acgpiano_sqli-labs.pdf,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.pdf,.pdf,1,2026-03-04T00:58:36.525507,single_file,SKIPPED,Extension .pdf not supported by v1.0,728521,711.4462890625,0.6947717666625977,416353,11053,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,default,openvas_acgpiano_sqli-labs.pdf,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.pdf,.pdf,1,2026-03-04T00:58:36.540115,single_file,SUCCESS,,728521,711.4462890625,0.6947717666625977,416353,11053,402.84000000000003,3224.61,8.8,802.0,3701868,0,0,1584986,225648,10036,0,2792,1.766076578945735,0.0017246841591266944,5203.299331110565,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,filtered,openvas_acgpiano_sqli-labs.pdf,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.pdf,.pdf,1,2026-03-04T01:05:19.408372,single_file,SUCCESS,,728521,711.4462890625,0.6947717666625977,416353,11053,283.37,3802.83,9.35,1345.0,2472360,0,0,1498272,73450,42801,0,2264,2.510661993374387,0.002451818352904675,3475.1182738726816,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,hybrid,openvas_acgpiano_sqli-labs.pdf,/home/cristhian/tool2cpu/tool/paper_data/datasets/D1_openvas/openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs.pdf,.pdf,1,2026-03-04T01:10:02.801502,single_file,SUCCESS,,728521,711.4462890625,0.6947717666625977,416353,11053,255.42,3264.03,8.35,1281.0,2470372,0,0,1216598,141654,35961,0,2776,2.7853977333901025,0.002720114974013772,3472.3239659529377,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
