IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.39.1,wackopicko.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:5.5.9
Installed version: 5.5.9
EOL version:       5.5
EOL date:          2016-07-21
",1.3.6.1.4.1.25623.1.0.105889,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,ab283f12-33dc-4c2b-9506-1d63b63e9671,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","",""
172.30.39.1,wackopicko.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP 5.x < 5.6.34, 7.x < 7.0.28, 7.1.x < 7.1.15, 7.2.x < 7.2.3 Stack Buffer Overflow Vulnerability (Mar 2018) - Linux","PHP is prone to a stack buffer overflow vulnerability.","Installed version: 5.5.9
Fixed version:     5.6.34
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.812821,"CVE-2018-7584",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,81095f83-0c3f-4bf2-9424-552988ac7e16,"Successful exploitation will allow an attacker to execute
  arbitrary code in the context of the affected application. Failed exploit attempts will result in
  denial-of-service conditions.","Update to version 5.6.34, 7.0.28, 7.1.15, 7.2.3 or later.","PHP versions 5.x prior to 5.6.34, 7.x prior to 7.0.28, 7.1.x
  prior to 7.1.15 and 7.2.x prior to 7.2.3 on Linux.","The flaw exists because php fails to adequately bounds-check
  user-supplied data before copying it into an insufficiently sized buffer.","Checks if a vulnerable version is present on the target host.
Details:
PHP 5.x < 5.6.34, 7.x < 7.0.28, 7.1.x < 7.1.15, 7.2.x < 7.2.3 Stack Buffer O...
(OID: 1.3.6.1.4.1.25623.1.0.812821)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2020-0680,DFN-CERT-2019-1737,DFN-CERT-2018-1232,DFN-CERT-2018-1059,DFN-CERT-2018-0733,DFN-CERT-2018-0576,DFN-CERT-2018-0537,DFN-CERT-2018-0399,CB-K18/0698,CB-K18/0498,CB-K18/0383",""
172.30.39.1,wackopicko.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 5.3.29, 5.4.x < 5.4.30, 5.5.x < 5.5.14 Multiple Vulnerabilities (Jun/Aug 2014) - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 5.5.9
Fixed version:     5.5.14
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.809736,"CVE-2014-0207,CVE-2014-3478,CVE-2014-3479,CVE-2014-3480,CVE-2014-3487,CVE-2014-3515,CVE-2014-3981,CVE-2014-4049,CVE-2014-4721,CVE-2014-9912",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,f7a8bc2c-4e2f-429e-8b42-54c73957b721,"","Update to version 5.3.29, 5.4.30, 5.5.14 or later.","PHP versions 5.3.x prior to 5.3.29, 5.4.x prior to 5.4.30 and
  5.5.x prior to 5.5.14.","The following vulnerabilities exist:

  - CVE-2014-3981: Insecure temporary file use in the configure script

  - CVE-2014-4721: phpinfo() Type Confusion Information Leak Vulnerability

  - CVE-2014-0207: cdf_read_short_sector insufficient boundary check

  - CVE-2014-3478: mconvert incorrect handling of truncated pascal string size

  - CVE-2014-3479: cdf_check_stream_offset insufficient boundary check

  - CVE-2014-3480: cdf_count_chain insufficient boundary check

  - CVE-2014-3487: cdf_read_property_info insufficient boundary check

  - CVE-2014-4049: Fix potential segfault in dns_get_record()

  - CVE-2014-3515: unserialize() SPL ArrayObject / SPLObjectStorage Type Confusion

  - CVE-2014-9912: Buffer overflow in locale_get_display_name and uloc_getDisplayName (libicu
  4.8.1)","Checks if a vulnerable version is present on the target host.
Details:
PHP < 5.3.29, 5.4.x < 5.4.30, 5.5.x < 5.5.14 Multiple Vulnerabilities (Jun/A...
(OID: 1.3.6.1.4.1.25623.1.0.809736)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2017-0274,DFN-CERT-2017-0058,DFN-CERT-2016-1004,DFN-CERT-2015-1799,DFN-CERT-2015-1487,DFN-CERT-2015-0815,DFN-CERT-2014-1434,DFN-CERT-2014-1333,DFN-CERT-2014-1280,DFN-CERT-2014-1219,DFN-CERT-2014-1181,DFN-CERT-2014-1166,DFN-CERT-2014-1014,DFN-CERT-2014-1013,DFN-CERT-2014-0982,DFN-CERT-2014-0908,DFN-CERT-2014-0887,DFN-CERT-2014-0880,DFN-CERT-2014-0870,DFN-CERT-2014-0868,DFN-CERT-2014-0867,DFN-CERT-2014-0857,DFN-CERT-2014-0839,DFN-CERT-2014-0816,DFN-CERT-2014-0782,CB-K17/0269,CB-K17/0053,CB-K16/0944,CB-K15/1704,CB-K15/1405,CB-K15/0774,CB-K15/0493,CB-K14/1359,CB-K14/1267,CB-K14/1214,CB-K14/1174,CB-K14/1167,CB-K14/1130,CB-K14/1110,CB-K14/0973,CB-K14/0972,CB-K14/0938,CB-K14/0866,CB-K14/0849,CB-K14/0842,CB-K14/0834,CB-K14/0830,CB-K14/0829,CB-K14/0818,CB-K14/0805,CB-K14/0776,CB-K14/0750",""
172.30.39.1,wackopicko.trabalho_vulnnet,3306,tcp,9.8,Critical,30,"VendorFix","Oracle Mysql Security Update (cpuoct2018 - 02) - Linux","Oracle MySQL is prone to multiple vulnerabilities.","Installed version: 5.5.47
Fixed version:     See reference
Installation
path / port:       3306/tcp

",1.3.6.1.4.1.25623.1.0.814259,"CVE-2018-3133,CVE-2018-3174,CVE-2018-3282,CVE-2016-9843,CVE-2016-9840,CVE-2016-9841,CVE-2016-9842",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,9bdccbc1-c52b-4c56-8ca2-715e4c97ba50,"Successful exploitation will allow remote
  attackers to have an impact on confidentiality, integrity and availability.","The vendor has released updates. Please see the references for
  more information.","Oracle MySQL version 5.5.x through 5.5.61,
  5.6.x through 5.6.41, 5.7.x through 5.7.23 and 8.0.x through 8.0.12.","Multiple flaws exist due to:

  - An unspecified error within 'InnoDB (zlib)' component of MySQL Server.

  - An unspecified error within 'Server: Parser' component of MySQL Server.

  - An unspecified error within 'Client programs' component of MySQL Server.

  - An unspecified error within 'Server: Storage Engines' component of MySQL Server.","Checks if a vulnerable version is present
  on the target host.
Details:
Oracle Mysql Security Update (cpuoct2018 - 02) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.814259)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mysql:mysql:5.5.47-
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2026-0129,DFN-CERT-2025-1437,DFN-CERT-2025-1423,DFN-CERT-2024-0998,DFN-CERT-2020-1536,DFN-CERT-2019-1614,DFN-CERT-2019-1588,DFN-CERT-2019-1152,DFN-CERT-2019-1047,DFN-CERT-2019-0592,DFN-CERT-2019-0484,DFN-CERT-2019-0463,DFN-CERT-2019-0112,DFN-CERT-2018-2435,DFN-CERT-2018-2273,DFN-CERT-2018-2110,DFN-CERT-2018-1408,DFN-CERT-2018-0659,DFN-CERT-2018-0645,DFN-CERT-2018-0039,DFN-CERT-2017-2300,DFN-CERT-2017-2268,DFN-CERT-2017-1825,DFN-CERT-2017-1785,DFN-CERT-2017-1692,DFN-CERT-2017-1655,DFN-CERT-2017-1097,DFN-CERT-2017-0904,DFN-CERT-2017-0806,DFN-CERT-2016-2109,WID-SEC-2026-0180,WID-SEC-2025-1365,WID-SEC-2025-0370,WID-SEC-2024-1232,WID-SEC-2023-1594,WID-SEC-2022-0673,CB-K22/0045,CB-K20/0714,CB-K18/1005,CB-K18/0799,CB-K18/0030,CB-K17/2199,CB-K17/2168,CB-K17/1745,CB-K17/1709,CB-K17/1622,CB-K17/1585,CB-K17/1062,CB-K17/0877,CB-K17/0784,CB-K16/1996",""
172.30.39.1,wackopicko.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 5.5.9
Fixed version:     7.4.33
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.148830,"CVE-2022-31630,CVE-2022-37454",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,f5bdba8e-b470-4520-8a0f-04175bc53e5e,"","Update to version 7.4.33, 8.0.25, 8.1.12 or later.","PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.","The following vulnerabilities exist:

  - CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()

  - CVE-2022-37454: Buffer overflow in hash_update() on long parameter","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148830)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2026-0215,DFN-CERT-2023-0552,DFN-CERT-2023-0422,DFN-CERT-2023-0028,DFN-CERT-2022-2869,DFN-CERT-2022-2793,DFN-CERT-2022-2715,DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-2598,DFN-CERT-2022-2535,DFN-CERT-2022-2523,DFN-CERT-2022-2420,DFN-CERT-2022-2380,WID-SEC-2023-1021,WID-SEC-2023-0561,WID-SEC-2023-0138,WID-SEC-2022-1934,WID-SEC-2022-1816",""
172.30.39.1,wackopicko.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP CVE-2019-13224 Use-After-Free Vulnerability - Linux","PHP is prone to a use-after-free vulnerability in a used
  third-pary library.","Installed version: 5.5.9
Fixed version:     7.1.32
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.108633,"CVE-2019-13224",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,2d1f84e6-1d9a-4d50-8d3d-5507f3893345,"This flaw allows attackers to potentially cause information
  disclosure, denial of service, or possibly code execution by providing a crafted regular
  expression.","Update to version 7.1.32, 7.3.9 or later.","PHP version before 7.1.32 and 7.3.x before 7.3.9.","The flaw exists due to a use-after-free in onig_new_deluxe()
  in regext.c of the third-party library Oniguruma 6.9.2 which is used by PHP.

  The attacker provides a pair of a regex pattern and a string, with a multi-byte encoding that gets
  handled by onig_new_deluxe().","Checks if a vulnerable version is present on the target host.
Details:
PHP 'CVE-2019-13224' Use-After-Free Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.108633)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2024-0233,DFN-CERT-2022-2107,DFN-CERT-2020-2412,DFN-CERT-2020-2105,DFN-CERT-2020-1964,DFN-CERT-2019-1804,DFN-CERT-2019-1471,DFN-CERT-2019-1424,WID-SEC-2024-1086,WID-SEC-2024-0218,CB-K20/1030",""
172.30.39.1,wackopicko.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 5.5.27, 5.6.x < 5.6.11 Arbitrary Code Execution Vulnerability (Aug 2016) - Linux","PHP is prone to an arbitrary code execution vulnerability.","Installed version: 5.5.9
Fixed version:     5.5.27
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.808671,"CVE-2015-4116",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,f2aa59ca-f18a-4cf8-a1d7-31fc5583afe0,"Successfully exploiting this issue allow remote attackers to
  execute arbitrary code by triggering a failed SplMinHeap::compare operation.","Update to version 5.5.27, 5.6.11 or later.","PHP prior to version 5.5.27 and 5.6.x prior to 5.6.11 on
  Linux.","An use-after-free vulnerability occurs in the
  'spl_ptr_heap_insert' function in 'ext/spl/spl_heap.c'.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 5.5.27, 5.6.x < 5.6.11 Arbitrary Code Execution Vulnerability (Aug 201...
(OID: 1.3.6.1.4.1.25623.1.0.808671)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2016-1253,DFN-CERT-2016-1004,DFN-CERT-2016-0972,DFN-CERT-2016-0944,DFN-CERT-2016-0924,CB-K16/1179,CB-K16/0944,CB-K16/0912,CB-K16/0911,CB-K16/0868",""
172.30.39.1,wackopicko.trabalho_vulnnet,3306,tcp,9.8,Critical,30,"VendorFix","Oracle MySQL Server <= 5.7.40, 8.x <= 8.0.31 Security Update (cpujan2023) - Linux","Oracle MySQL Server is prone to a vulnerability in libcurl.","Installed version: 5.5.47
Fixed version:     5.7.41
Installation
path / port:       3306/tcp

",1.3.6.1.4.1.25623.1.0.149169,"CVE-2022-32221,CVE-2022-35260,CVE-2022-42915,CVE-2022-42916",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,8a68d1d9-bef9-4bc4-8687-2349e0c8ddd0,"","Update to version 5.7.41, 8.0.32 or later.","Oracle MySQL Server version 5.7.40 and prior and 8.0 through
  8.0.31.","","Checks if a vulnerable version is present on the target host.
Details:
Oracle MySQL Server <= 5.7.40, 8.x <= 8.0.31 Security Update (cpujan2023) - ...
(OID: 1.3.6.1.4.1.25623.1.0.149169)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mysql:mysql:5.5.47-
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2023-1947,DFN-CERT-2023-1636,DFN-CERT-2023-1230,DFN-CERT-2023-0898,DFN-CERT-2023-0884,DFN-CERT-2023-0372,DFN-CERT-2023-0278,DFN-CERT-2023-0216,DFN-CERT-2023-0214,DFN-CERT-2023-0157,DFN-CERT-2023-0156,DFN-CERT-2023-0105,DFN-CERT-2022-2799,DFN-CERT-2022-2401,DFN-CERT-2022-2400,DFN-CERT-2022-2393,DFN-CERT-2022-2391,WID-SEC-2026-0180,WID-SEC-2024-3377,WID-SEC-2024-0794,WID-SEC-2023-2917,WID-SEC-2023-2229,WID-SEC-2023-2031,WID-SEC-2023-1728,WID-SEC-2023-1614,WID-SEC-2023-1424,WID-SEC-2023-1350,WID-SEC-2023-1026,WID-SEC-2023-0296,WID-SEC-2023-0189,WID-SEC-2023-0137,WID-SEC-2023-0126,WID-SEC-2022-2372,WID-SEC-2022-1862",""
172.30.39.1,wackopicko.trabalho_vulnnet,80,tcp,9.8,Critical,30,"WillNotFix","PHP <= 7.1.5 Multiple DoS Vulnerabilities","PHP is prone to multiple denial of service (DoS)
  vulnerabilities.","Installed version: 5.5.9
Fixed version:     None
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117799,"CVE-2017-8923,CVE-2017-9119",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,f9ce855c-b5ac-47ae-b078-26971682cba4,"","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","PHP versions through 7.1.5.","The following flaws exist:

  - CVE-2017-8923: The zend_string_extend function in Zend/zend_string.h does not prevent changes to
  string objects that result in a negative length, which allows remote attackers to cause a denial
  of service (application crash) or possibly have unspecified other impact by leveraging a script's
  use of .= with a long string.

  - CVE-2017-9119: The i_zval_ptr_dtor function in Zend/zend_variables.h allows attackers to cause a
  denial of service (memory consumption and application crash) or possibly have unspecified other
  impact by triggering crafted operations on array data structures.","Checks if a vulnerable version is present on the target host.
Details:
PHP <= 7.1.5 Multiple DoS Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.117799)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-0485,DFN-CERT-2022-0455,DFN-CERT-2022-0431,DFN-CERT-2022-0410,WID-SEC-2024-3760",""
172.30.39.1,wackopicko.trabalho_vulnnet,3306,tcp,9.8,Critical,30,"VendorFix","Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.31 Security Update (cpuapr2023) - Linux","Oracle MySQL Server is prone to a vulnerability in InnoDB
  (zlib).","Installed version: 5.5.47
Fixed version:     5.7.42
Installation
path / port:       3306/tcp

",1.3.6.1.4.1.25623.1.0.149535,"CVE-2022-37434",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:23:20Z,41b4ff44-7dcf-4d06-894f-2d379eb21f6b,"","Update to version 5.7.42, 8.0.32 or later.","Oracle MySQL Server version 5.7.41 and prior and 8.x through
  8.0.31.","","Checks if a vulnerable version is present on the target host.
Details:
Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.31 Security Update (cpuapr2023) - ...
(OID: 1.3.6.1.4.1.25623.1.0.149535)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mysql:mysql:5.5.47-
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2024-0998,DFN-CERT-2024-0790,DFN-CERT-2024-0125,DFN-CERT-2023-3028,DFN-CERT-2023-2816,DFN-CERT-2023-2799,DFN-CERT-2023-1643,DFN-CERT-2023-0885,DFN-CERT-2023-0881,DFN-CERT-2023-0553,DFN-CERT-2023-0122,DFN-CERT-2023-0119,DFN-CERT-2023-0105,DFN-CERT-2022-2799,DFN-CERT-2022-2421,DFN-CERT-2022-2415,DFN-CERT-2022-2366,DFN-CERT-2022-2365,DFN-CERT-2022-2364,DFN-CERT-2022-2363,DFN-CERT-2022-2323,DFN-CERT-2022-1841,DFN-CERT-2022-1710,WID-SEC-2026-0180,WID-SEC-2024-1653,WID-SEC-2024-1591,WID-SEC-2024-0794,WID-SEC-2024-0122,WID-SEC-2024-0120,WID-SEC-2024-0064,WID-SEC-2023-2031,WID-SEC-2023-1812,WID-SEC-2023-1791,WID-SEC-2023-1790,WID-SEC-2023-1783,WID-SEC-2023-1728,WID-SEC-2023-1542,WID-SEC-2023-1350,WID-SEC-2023-1033,WID-SEC-2023-1031,WID-SEC-2023-1021,WID-SEC-2023-1016,WID-SEC-2023-0140,WID-SEC-2023-0137,WID-SEC-2023-0132,WID-SEC-2023-0126,WID-SEC-2023-0125,WID-SEC-2022-1888,WID-SEC-2022-1438,WID-SEC-2022-0929",""
