IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,10.0,Critical,30,"VendorFix","Python End of Life (EOL) Detection - Linux","The Python version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""Python"" version on the remote host has reached the end of life.

CPE:               cpe:/a:python:python:2.7.13
Installed version: 2.7.13
Location/URL:      8000/tcp
EOL version:       2.7
EOL date:          2020-01-01
",1.3.6.1.4.1.25623.1.0.117199,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,d24cb22c-90fc-40ad-9ce4-77a0fb9c987d,"An EOL version of Python is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the Python version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
Python End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117199)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python 2.7.x < 2.7.17, 3.5.x < 3.5.7, 3.6.x < 3.6.9, 3.7.x < 3.7.3 Information Disclosure Vulnerability (bpo-36216) - Linux","Python is prone to an information disclosure vulnerability.","Installed version: 2.7.13
Fixed version:     2.7.17
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.118225,"CVE-2019-9636",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,a1b2c148-f614-4a9e-b1d3-af830fd627e3,"Information disclosure (credentials, cookies, etc. that are
  cached against a given hostname).","The vendor has released updates. Please see the references for
  more information.","Python 2.7.x prior to version 2.7.17, versions 3.5.x prior to 3.5.7,
  3.6.x prior to 3.6.9 and 3.7.x prior to 3.7.3.","Python is affected by improper Handling of Unicode Encoding
  (with an incorrect netloc) during NFKC normalization.","Checks if a vulnerable version is present on the target host.
Details:
Python 2.7.x < 2.7.17, 3.5.x < 3.5.7, 3.6.x < 3.6.9, 3.7.x < 3.7.3 Informati...
(OID: 1.3.6.1.4.1.25623.1.0.118225)
Version used: 2023-07-05T05:06:18Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2024-1805,DFN-CERT-2020-1839,DFN-CERT-2020-1540,DFN-CERT-2020-1078,DFN-CERT-2020-0231,DFN-CERT-2020-0177,DFN-CERT-2020-0111,DFN-CERT-2020-0102,DFN-CERT-2020-0048,DFN-CERT-2019-2252,DFN-CERT-2019-2078,DFN-CERT-2019-1877,DFN-CERT-2019-1339,DFN-CERT-2019-1288,DFN-CERT-2019-1285,DFN-CERT-2019-1095,DFN-CERT-2019-0941,DFN-CERT-2019-0915,DFN-CERT-2019-0912,DFN-CERT-2019-0841,DFN-CERT-2019-0770,DFN-CERT-2019-0702,DFN-CERT-2019-0565,WID-SEC-2024-1600,CB-K20/0041",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python < 3.9.5 Authentication Bypass Vulnerability - Linux","Python is prone to an authentication bypass vulnerability.","Installed version: 2.7.13
Fixed version:     3.9.5
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.113820,"CVE-2021-29921",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,8f3ed0d1-aa4b-4ac2-afd9-fe967e751cfb,"Successful exploitation would allow an attacker to
  gain unauthorized access to the target system.","Update to version 3.9.5 or later.","Python through version 3.9.4.","The vulnerability exists in the ipaddress library,
  which mishandles leading zero characters in the octets of an IP address string.
  This would allow an attacker to bypass IP-based access control.","Checks if a vulnerable version is present on the target host.
Details:
Python < 3.9.5 Authentication Bypass Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113820)
Version used: 2023-07-05T05:06:18Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2024-3182,DFN-CERT-2024-1805,DFN-CERT-2021-2354,DFN-CERT-2021-2353,DFN-CERT-2021-1801,DFN-CERT-2021-1534,DFN-CERT-2021-1414,DFN-CERT-2021-1303,DFN-CERT-2021-1184,DFN-CERT-2021-0956,WID-SEC-2023-2460,WID-SEC-2022-1908,WID-SEC-2022-0624,WID-SEC-2022-0464,CB-K21/0783",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python 2.7.x < 2.7.17, 3.5.x < 3.5.8, 3.6.x < 3.6.9, 3.7.x < 3.7.4 Information Disclosure Vulnerability (bpo-36742) - Linux","Python is prone to an information disclosure vulnerability.","Installed version: 2.7.13
Fixed version:     2.7.17
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.118202,"CVE-2019-10160",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,c26d6a1b-21cf-462c-8a90-329a2d3fb6bb,"Information disclosure (credentials, cookies, etc. that are
  cached against a given hostname).","The vendor has released updates. Please see the references for
  more information.","Python 2.7.x  prior to version 2.7.17, versions 3.5.x prior to 3.5.8,
  3.6.x prior to 3.6.9 and 3.7.x prior to 3.7.4.","'urlsplit' is affected by a NFKD normalization vulnerability
  in 'user:password@'.

  Note: The fix for 'CVE-2019-9636' ignored the 'user/password' before '@' whereas it still
  allowed to exploit the vulnerability.","Checks if a vulnerable version is present on the target host.
Details:
Python 2.7.x < 2.7.17, 3.5.x < 3.5.8, 3.6.x < 3.6.9, 3.7.x < 3.7.4 Informati...
(OID: 1.3.6.1.4.1.25623.1.0.118202)
Version used: 2023-07-05T05:06:18Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2024-1805,DFN-CERT-2020-1839,DFN-CERT-2020-1540,DFN-CERT-2020-0231,DFN-CERT-2020-0177,DFN-CERT-2020-0111,DFN-CERT-2019-2560,DFN-CERT-2019-2252,DFN-CERT-2019-2078,DFN-CERT-2019-2046,DFN-CERT-2019-1883,DFN-CERT-2019-1877,DFN-CERT-2019-1678,DFN-CERT-2019-1610,DFN-CERT-2019-1596,DFN-CERT-2019-1370,DFN-CERT-2019-1339,DFN-CERT-2019-1288,DFN-CERT-2019-1263,WID-SEC-2024-1598,CB-K20/0109",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python <= 3.10.x Buffer Overflow Vulnerability - Linux","Python is prone to a buffer overflow vulnerability in the _sha3
  module.","Installed version: 2.7.13
Fixed version:     3.7.16
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.148942,"CVE-2022-37454",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,5d7f2b6d-ca35-4722-b2a5-72cd06e100e8,"","Update to version 3.7.16, 3.8.16, 3.9.16, 3.10.9 or later.","Python prior to version 3.7.16, version 3.8.x through 3.8.15,
  3.9.x through 3.9.15 and 3.10.x through 3.10.8.","The Keccak XKCP SHA-3 reference implementation has an integer
  overflow and resultant buffer overflow that allows attackers to execute arbitrary code or
  eliminate expected cryptographic properties. This occurs in the sponge function interface.","Checks if a vulnerable version is present on the target host.
Details:
Python <= 3.10.x Buffer Overflow Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148942)
Version used: 2023-10-19T05:05:21Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2026-0215,DFN-CERT-2023-0552,DFN-CERT-2023-0422,DFN-CERT-2023-0028,DFN-CERT-2022-2869,DFN-CERT-2022-2793,DFN-CERT-2022-2715,DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-2598,DFN-CERT-2022-2535,DFN-CERT-2022-2523,DFN-CERT-2022-2420,DFN-CERT-2022-2380,WID-SEC-2023-0561,WID-SEC-2023-0138,WID-SEC-2022-1816",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python < 2.7.14, 3.3.x < 3.3.7, 3.4.x < 3.4.7, 3.5.x < 3.5.4, 3.6.x < 3.6.2 Expat 2.2 (bpo-29591) - Linux","Python is prone to various security vulnerabilities in bundled
  expat.","Installed version: 2.7.13
Fixed version:     2.7.14
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.118255,"CVE-2016-0718,CVE-2016-4472",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,b4f101fa-f257-4f8e-a2f4-9173301220b1,"","Update to version 2.7.14, 3.3.7, 3.4.7, 3.5.4, 3.6.2 or later.","Python prior to version 2.7.14, versions 3.3.x prior to 3.3.7,
  3.4.x prior to 3.4.7, 3.5.x prior to 3.5.3 and 3.6.x prior to 3.6.2.","The following vulnerabilities exist:

  - CVE-2016-0718: Expat allows context-dependent attackers to cause a denial of service (crash) or
  possibly execute arbitrary code via a malformed input document, which triggers a buffer overflow.

  - CVE-2016-4472: The overflow protection in Expat is removed by compilers with certain optimization
  settings, which allows remote attackers to cause a denial of service (crash) or possibly execute
  arbitrary code via crafted XML data.

  NOTE: this vulnerability exists because of an incomplete fix for CVE-2015-1283 and CVE-2015-2716.","Checks if a vulnerable version is present on the target host.
Details:
Python < 2.7.14, 3.3.x < 3.3.7, 3.4.x < 3.4.7, 3.5.x < 3.5.4, 3.6.x < 3.6.2 ...
(OID: 1.3.6.1.4.1.25623.1.0.118255)
Version used: 2023-07-05T05:06:18Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2025-0064,DFN-CERT-2020-0405,DFN-CERT-2018-1673,DFN-CERT-2018-1408,DFN-CERT-2017-1785,DFN-CERT-2017-1044,DFN-CERT-2017-0551,DFN-CERT-2017-0508,DFN-CERT-2017-0366,DFN-CERT-2016-1954,DFN-CERT-2016-1923,DFN-CERT-2016-1844,DFN-CERT-2016-1843,DFN-CERT-2016-1248,DFN-CERT-2016-1160,DFN-CERT-2016-1000,DFN-CERT-2016-0984,DFN-CERT-2016-0864,DFN-CERT-2016-0861,DFN-CERT-2016-0810,WID-SEC-2025-0045,WID-SEC-2025-0044,CB-K17/1709,CB-K17/1010,CB-K17/0536,CB-K17/0492,CB-K17/0356,CB-K16/1849,CB-K16/1816,CB-K16/1740,CB-K16/1739,CB-K16/1182,CB-K16/1090,CB-K16/0939,CB-K16/0931,CB-K16/0808,CB-K16/0754",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python < 2.7.14, 3.4.x < 3.4.8, 3.5.x < 3.5.5 PyString_DecodeEscape integer overflow (bpo-30657) - Linux","CPython (aka Python) is prone to an integer overflow
  vulnerability.","Installed version: 2.7.13
Fixed version:     2.7.14
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.118247,"CVE-2017-1000158",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,13dddd9d-4201-4a19-a61f-40e46f89ea17,"","Update to version 2.7.14, 3.4.8, 3.5.5 or later.","Python prior to version 2.7.14, versions 3.4.x prior to 3.4.8
  and 3.5.x prior to 3.5.5.","An integer overflow in the 'PyString_DecodeEscape' function in
  'stringobject.c' is resulting in a heap-based buffer overflow (and possible arbitrary code
  execution).","Checks if a vulnerable version is present on the target host.
Details:
Python < 2.7.14, 3.4.x < 3.4.8, 3.5.x < 3.5.5 PyString_DecodeEscape integer ...
(OID: 1.3.6.1.4.1.25623.1.0.118247)
Version used: 2023-07-05T05:06:18Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2020-0405,DFN-CERT-2020-0177,DFN-CERT-2018-2030,DFN-CERT-2018-1942,DFN-CERT-2018-0995,DFN-CERT-2018-0733,DFN-CERT-2018-0659,DFN-CERT-2017-2145,CB-K17/2057",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python Multiple Vulnerabilities (Aug 2024) - Linux","Python is prone to an infinite loop vulnerability leading to a
  denial of service (DoS).","Installed version: 2.7.13
Fixed version:     3.8.20
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.170805,"CVE-2024-6232,CVE-2024-7592,CVE-2024-8088,CVE-2024-45490,CVE-2024-45491,CVE-2024-45492",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,348471aa-a2e6-4b01-ae46-9d8f63a8ff1d,"","Update to version 3.8.20, 3.9.20, 3.10.15, 3.11.10, 3.12.6 or
  later.","Python prior to version 3.8.20, 3.9.x prior to 3.9.20, 3.10.x
  prior to 3.10.15, 3.11.x prior to 3.11.10 and 3.12.x prior to 3.12.6.","The following flaws exist:

  - CVE-2024-6232: Regular expressions that allowed excessive backtracking during tarfile.TarFile
  header parsing are vulnerable to ReDoS via specifically-crafted tar archives.

  - CVE-2024-7592: When parsing cookies that contained backslashes for quoted characters in the
  cookie value, the parser would use an algorithm with quadratic complexity, resulting in excess
  CPU resources being used while parsing the value.

  - CVE-2024-8088: When iterating over names of entries in a zip archive (for example, methods of
  'zipfile.Path' like 'namelist()', 'iterdir()', etc) the process can be put into an infinite loop
  with a maliciously crafted zip archive. This defect applies when reading only metadata or
  extracting the contents of the zip archive.This vulnerability only affects zipfile.Path, while the
  more common API zipfile.ZipFile class is unaffected.

  - CVE-2024-45490, CVE-2024-45491, CVE-2024-45492: Vulnerabilities in libexpat prior to version
  2.6.3","Checks if a vulnerable version is present on the target host.
Details:
Python Multiple Vulnerabilities (Aug 2024) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.170805)
Version used: 2025-10-10T05:39:02Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2025-3631,DFN-CERT-2025-3045,DFN-CERT-2025-2077,DFN-CERT-2025-1477,DFN-CERT-2025-1463,DFN-CERT-2025-1461,DFN-CERT-2025-1433,DFN-CERT-2025-1148,DFN-CERT-2025-0933,DFN-CERT-2025-0880,DFN-CERT-2025-0854,DFN-CERT-2025-0509,DFN-CERT-2025-0179,DFN-CERT-2025-0175,DFN-CERT-2025-0170,DFN-CERT-2025-0041,DFN-CERT-2024-3317,DFN-CERT-2024-3316,DFN-CERT-2024-3315,DFN-CERT-2024-3314,DFN-CERT-2024-3313,DFN-CERT-2024-3182,DFN-CERT-2024-3103,DFN-CERT-2024-3083,DFN-CERT-2024-2994,DFN-CERT-2024-2993,DFN-CERT-2024-2937,DFN-CERT-2024-2933,DFN-CERT-2024-2783,DFN-CERT-2024-2743,DFN-CERT-2024-2664,DFN-CERT-2024-2571,DFN-CERT-2024-2540,DFN-CERT-2024-2525,DFN-CERT-2024-2512,DFN-CERT-2024-2509,DFN-CERT-2024-2497,DFN-CERT-2024-2492,DFN-CERT-2024-2466,DFN-CERT-2024-2463,DFN-CERT-2024-2456,DFN-CERT-2024-2425,DFN-CERT-2024-2399,DFN-CERT-2024-2340,DFN-CERT-2024-2332,DFN-CERT-2024-2251,DFN-CERT-2024-2245,DFN-CERT-2024-2244,DFN-CERT-2024-2227,WID-SEC-2025-0794,WID-SEC-2025-0225,WID-SEC-2025-0166,WID-SEC-2025-0148,WID-SEC-2025-0144,WID-SEC-2025-0143,WID-SEC-2025-0135,WID-SEC-2025-0001,WID-SEC-2024-3692,WID-SEC-2024-3691,WID-SEC-2024-3684,WID-SEC-2024-3196,WID-SEC-2024-3195,WID-SEC-2024-3191,WID-SEC-2024-2047,WID-SEC-2024-1951,WID-SEC-2024-1914,WID-SEC-2024-1889",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python < 3.6.13, 3.7.x < 3.7.10, 3.8.x < 3.8.7, 3.9.x < 3.9.1 Python Issue (bpo-41944) - Linux","Python is prone to a remote code execution (RCE)
  vulnerability.","Installed version: 2.7.13
Fixed version:     3.6.13
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.118185,"CVE-2020-27619",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,62fa3232-44ae-4930-9ecd-6a7c7fa0ce8b,"If an attacker can compromise the pythontest.net server, they gain
  arbitrary code execution on all buildbots.

  If an attacker has control over the network connection of a machine running the Python test suite,
  they gain arbitrary code execution there.","Update to version 3.6.13, 3.7.10, 3.8.7, 3.9.1 or later.","Python prior to version 3.6.13, versions 3.7.x prior to 3.7.10,
  3.8.x prior to 3.8.7 and 3.9.x prior to 3.9.1.","By default, the tests are not run with network resources enabled
  and so the Python test suite is safe. But if the Python test suite is run explicitly with the
  'network' resource enabled (-u network or -u all command line option), the CJK codecs tests of the
  Python test suite run eval() on content received via HTTP from pythontest.net.","Checks if a vulnerable version is present on the target host.
Details:
Python < 3.6.13, 3.7.x < 3.7.10, 3.8.x < 3.8.7, 3.9.x < 3.9.1 Python Issue (...
(OID: 1.3.6.1.4.1.25623.1.0.118185)
Version used: 2024-06-28T15:38:46Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2024-1805,DFN-CERT-2021-2350,DFN-CERT-2021-1801,DFN-CERT-2021-1330,DFN-CERT-2021-1110,DFN-CERT-2021-1080,DFN-CERT-2021-1053,DFN-CERT-2021-0533,DFN-CERT-2021-0444,DFN-CERT-2021-0430,DFN-CERT-2020-2805,DFN-CERT-2020-2757,WID-SEC-2025-0227",""
172.30.40.1,dsvw.trabalho_vulnnet,8000,tcp,9.8,Critical,30,"VendorFix","Python 2.7 Command Injection Vulnerability (Sep 2018) - Linux","Python is prone to multiple vulnerabilities.","Installed version: 2.7.13
Fixed version:     See advisory
Installation
path / port:       8000/tcp

",1.3.6.1.4.1.25623.1.0.118272,"CVE-2018-1000802",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,4963d84d-6a83-43b6-9f87-cee9254c2897,"This can result in Denial of service, Information gain via
  injection of arbitrary files on the system or entire drive. This attack appear to be
  exploitable via Passage of unfiltered user input to the function.

  This vulnerability appears to have been fixed in versions after commit
  'add531a1e55b0a739b0f42582f1c9747e5649ace'.","See the referenced vendor advisory for a solution.","Python version 2.7.","Python (CPython) version 2.7 contains a command injection
  vulnerability in shutil module.","Checks if a vulnerable version is present on the target host.
Details:
Python 2.7 Command Injection Vulnerability (Sep 2018) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.118272)
Version used: 2023-07-05T05:06:18Z
","Product: cpe:/a:python:python:2.7.13
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2020-0231,DFN-CERT-2020-0177,DFN-CERT-2020-0111,DFN-CERT-2019-1610,DFN-CERT-2018-2332,DFN-CERT-2018-2030,DFN-CERT-2018-1969,DFN-CERT-2018-1942,DFN-CERT-2018-1918,WID-SEC-2024-1181",""
