IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:5.5.9
Installed version: 5.5.9
EOL version:       5.5
EOL date:          2016-07-21
",1.3.6.1.4.1.25623.1.0.105889,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,02a82403-a232-4566-b01e-74586b1ae9b1,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","",""
172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","phpMyAdmin End of Life (EOL) Detection - Linux","The phpMyAdmin version on the remote host has reached the End of Life (EOL) and should not be used anymore.","The ""phpMyAdmin"" version on the remote host has reached the end of life.

CPE:               cpe:/a:phpmyadmin:phpmyadmin:3.5.2.2
Installed version: 3.5.2.2
Location/URL:      /phpmyadmin
EOL version:       3.5
EOL date:          unknown
",1.3.6.1.4.1.25623.1.0.113015,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,2fcaf3b0-862c-4291-b574-768b916b6ddb,"An EOL version of phpMyAdmin is not receiving any security updates from the vendor. Unfixed security vulnerabilities
  might be leveraged by an attacker to compromise the security of this host.","Update the phpMyAdmin version on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
phpMyAdmin End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113015)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,9.9,Critical,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.6.2
Installed version: 1.6.2
Location/URL:      /phpmyadmin/js/jquery/jquery-1.6.2.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://mutillidae.trabalho_vulnnet/phpmyadmin/js/jquery/jquery-1.6.2.js
- Referenced at:   http://mutillidae.trabalho_vulnnet/phpmyadmin/
",1.3.6.1.4.1.25623.1.0.117149,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,e3c9c4e3-d56b-4166-9937-0576f10358a3,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 5.5.9
Fixed version:     8.1.29
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.152369,"CVE-2024-4577,CVE-2024-5458,CVE-2024-5585",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,83875c21-6644-4f70-847a-4ecf575290cb,"","Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.","The following vulnerabilities exist:

  - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)

  - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL

  - CVE-2024-5585: Bypass of CVE-2024-1874

  Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on
  Windows systems only.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.152369)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1211,DFN-CERT-2024-3330,DFN-CERT-2024-3329,DFN-CERT-2024-2707,DFN-CERT-2024-1853,DFN-CERT-2024-1586,DFN-CERT-2024-1574,DFN-CERT-2024-1563,DFN-CERT-2024-1476,WID-SEC-2024-3196,WID-SEC-2024-3195,WID-SEC-2024-1320",""
172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 5.5.9
Fixed version:     8.1.31
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.153495,"CVE-2024-8929,CVE-2024-8932,CVE-2024-11233,CVE-2024-11234,CVE-2024-11236",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,ecdee0fe-77e1-415b-b710-c13a9fbcdcad,"","Update to version 8.1.31, 8.2.26, 8.3.14 or later.","PHP versions prior to 8.1.31, 8.2.x prior to 8.2.26 and 8.3.x
  prior to 8.3.14.","The following vulnerabilities exist:

  - CVE-2024-8929: Leak partial content of the heap through heap buffer over-read

  - CVE-2024-8932: OOB access in ldap_escape

  - CVE-2024-11233: Single byte overread with convert.quoted-printable-decode filter

  - CVE-2024-11234: Configuring a proxy in a stream context might allow for CRLF injection in URIs

  - CVE-2024-11236: Integer overflow in the firebird/dblib quoter causing OOB writes

  - No CVE: Heap-Use-After-Free in sapi_read_post_data Processing in CLI SAPI Interface","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.153495)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1211,DFN-CERT-2025-1082,DFN-CERT-2025-0179,DFN-CERT-2024-3200,DFN-CERT-2024-3172,DFN-CERT-2024-3108,WID-SEC-2024-3519",""
172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 5.5.9
Fixed version:     8.1.32
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.154187,"CVE-2025-1217,CVE-2025-1219,CVE-2025-1734,CVE-2025-1736,CVE-2025-1861",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,2a8f2ad0-763e-490a-82f5-a6868947958c,"","Update to version 8.1.32, 8.2.28 or later.","PHP versions prior to 8.1.32, and 8.2.x prior to 8.2.28.","The following vulnerabilities exist:

  - CVE-2025-1217: Header parser of 'http' stream wrapper does not handle folded headers

  - CVE-2025-1219: libxml streams use wrong 'content-type' header when requesting a redirected
  resource

  - CVE-2025-1734: Streams HTTP wrapper does not fail for headers without colon

  - CVE-2025-1736: Stream HTTP wrapper header check might omit basic auth header

  - CVE-2025-1861: Stream HTTP wrapper truncate redirect location to 1024 bytes","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154187)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1939,DFN-CERT-2025-1082,DFN-CERT-2025-0665,WID-SEC-2025-0566",""
172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 5.5.37, 5.6.x < 5.6.23, 7.x < 7.0.8 Multiple Vulnerabilities (Aug 2016) - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 5.5.9
Fixed version:     5.5.37
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.808788,"CVE-2016-5766,CVE-2016-5767,CVE-2016-5768,CVE-2016-5769,CVE-2016-5772,CVE-2016-5773",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,f245a985-eb4c-4c70-8f60-7c9f69268cdc,"Successfully exploiting these issues allow remote attackers to
  cause a denial of service (buffer overflow and application crash) or possibly execute arbitrary
  code.","Update to PHP version 5.5.37, 5.6.23, 7.0.8 or later.","PHP prior to version 5.5.37, 5.6.x prior to 5.6.23 and 7.x
  prior to 7.0.8 on Linux.","The following flaws exist:

  - The 'php_zip.c' script in the zip extension improperly interacts with the unserialize
  implementation and garbage collection.

  - The php_wddx_process_data function in 'wddx.c' script in the WDDX extension mishandled data in a
  wddx_deserialize call.

  - The multiple integer overflows in 'mcrypt.c' script in the mcrypt extension.

  - The double free vulnerability in the '_php_mb_regex_ereg_replace_exec' function in
  'php_mbregex.c' script in the mbstring extension.

  - An integer overflow in the '_gd2GetHeader' function in 'gd_gd2.c' script in the GD Graphics
  Library.

  - An integer overflow in the 'gdImageCreate' function in 'gd.c' script in the GD Graphics
  Library.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 5.5.37, 5.6.x < 5.6.23, 7.x < 7.0.8 Multiple Vulnerabilities (Aug 2016...
(OID: 1.3.6.1.4.1.25623.1.0.808788)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2021-0715,DFN-CERT-2020-2741,DFN-CERT-2018-0576,DFN-CERT-2017-1647,DFN-CERT-2017-1529,DFN-CERT-2017-1295,DFN-CERT-2016-1974,DFN-CERT-2016-1882,DFN-CERT-2016-1822,DFN-CERT-2016-1729,DFN-CERT-2016-1697,DFN-CERT-2016-1541,DFN-CERT-2016-1335,DFN-CERT-2016-1295,DFN-CERT-2016-1253,DFN-CERT-2016-1184,DFN-CERT-2016-1178,DFN-CERT-2016-1144,DFN-CERT-2016-1139,DFN-CERT-2016-1110,DFN-CERT-2016-1097,DFN-CERT-2016-1033,DFN-CERT-2016-1022,DFN-CERT-2016-1021,CB-K17/1575,CB-K17/1461,CB-K17/1252,CB-K16/1868,CB-K16/1776,CB-K16/1722,CB-K16/1629,CB-K16/1600,CB-K16/1452,CB-K16/1257,CB-K16/1230,CB-K16/1179,CB-K16/1115,CB-K16/1106,CB-K16/1077,CB-K16/1070,CB-K16/1045,CB-K16/1030,CB-K16/0975,CB-K16/0966,CB-K16/0965",""
172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 5.5.9
Fixed version:     7.4.33
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.148830,"CVE-2022-31630,CVE-2022-37454",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,f3005493-4673-47e8-b106-89ac0fba54b2,"","Update to version 7.4.33, 8.0.25, 8.1.12 or later.","PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.","The following vulnerabilities exist:

  - CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()

  - CVE-2022-37454: Buffer overflow in hash_update() on long parameter","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148830)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2026-0215,DFN-CERT-2023-0552,DFN-CERT-2023-0422,DFN-CERT-2023-0028,DFN-CERT-2022-2869,DFN-CERT-2022-2793,DFN-CERT-2022-2715,DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-2598,DFN-CERT-2022-2535,DFN-CERT-2022-2523,DFN-CERT-2022-2420,DFN-CERT-2022-2380,WID-SEC-2023-1021,WID-SEC-2023-0561,WID-SEC-2023-0138,WID-SEC-2022-1934,WID-SEC-2022-1816",""
172.30.9.3,mutillidae.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.7
Fixed version:     2.4.60
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114682,"CVE-2024-36387,CVE-2024-38473,CVE-2024-38474,CVE-2024-38475,CVE-2024-38476,CVE-2024-38477,CVE-2024-39573",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,eb419eac-ecbe-48fa-baba-bdd441562ef9,"","Update to version 2.4.60 or later.","Apache HTTP Server version 2.4.59 and prior.","The following flaws exist:

  - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2

  - CVE-2024-38473: Proxy encoding problem

  - CVE-2024-38474: Weakness with encoded question marks in backreferences

  - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem
  path

  - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers
  via internal redirect

  - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request

  - CVE-2024-39573: mod_rewrite proxy handler substitution","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114682)
Version used: 2025-08-07T05:44:51Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2025-1898,DFN-CERT-2025-1808,DFN-CERT-2025-0974,DFN-CERT-2025-0854,DFN-CERT-2025-0170,DFN-CERT-2024-2841,DFN-CERT-2024-2787,DFN-CERT-2024-2736,DFN-CERT-2024-2342,DFN-CERT-2024-2214,DFN-CERT-2024-2201,DFN-CERT-2024-2180,DFN-CERT-2024-2110,DFN-CERT-2024-2017,DFN-CERT-2024-1963,DFN-CERT-2024-1920,DFN-CERT-2024-1919,DFN-CERT-2024-1911,DFN-CERT-2024-1907,DFN-CERT-2024-1893,DFN-CERT-2024-1816,DFN-CERT-2024-1811,DFN-CERT-2024-1784,DFN-CERT-2024-1741,DFN-CERT-2024-1699,WID-SEC-2025-1572,WID-SEC-2025-0818,WID-SEC-2025-0148,WID-SEC-2025-0143,WID-SEC-2024-3291,WID-SEC-2024-3199,WID-SEC-2024-1913,WID-SEC-2024-1504",""
172.30.9.3,mutillidae.trabalho_vulnnet,3306,tcp,9.8,Critical,30,"VendorFix","Oracle Mysql Security Update (cpuoct2018 - 02) - Linux","Oracle MySQL is prone to multiple vulnerabilities.","Installed version: 5.5.60
Fixed version:     See reference
Installation
path / port:       3306/tcp

",1.3.6.1.4.1.25623.1.0.814259,"CVE-2018-3133,CVE-2018-3174,CVE-2018-3282,CVE-2016-9843,CVE-2016-9840,CVE-2016-9841,CVE-2016-9842",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:52Z,7a68530c-8006-46fb-830d-f59789eea3df,"Successful exploitation will allow remote
  attackers to have an impact on confidentiality, integrity and availability.","The vendor has released updates. Please see the references for
  more information.","Oracle MySQL version 5.5.x through 5.5.61,
  5.6.x through 5.6.41, 5.7.x through 5.7.23 and 8.0.x through 8.0.12.","Multiple flaws exist due to:

  - An unspecified error within 'InnoDB (zlib)' component of MySQL Server.

  - An unspecified error within 'Server: Parser' component of MySQL Server.

  - An unspecified error within 'Client programs' component of MySQL Server.

  - An unspecified error within 'Server: Storage Engines' component of MySQL Server.","Checks if a vulnerable version is present
  on the target host.
Details:
Oracle Mysql Security Update (cpuoct2018 - 02) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.814259)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mysql:mysql:5.5.60-
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2026-0129,DFN-CERT-2025-1437,DFN-CERT-2025-1423,DFN-CERT-2024-0998,DFN-CERT-2020-1536,DFN-CERT-2019-1614,DFN-CERT-2019-1588,DFN-CERT-2019-1152,DFN-CERT-2019-1047,DFN-CERT-2019-0592,DFN-CERT-2019-0484,DFN-CERT-2019-0463,DFN-CERT-2019-0112,DFN-CERT-2018-2435,DFN-CERT-2018-2273,DFN-CERT-2018-2110,DFN-CERT-2018-1408,DFN-CERT-2018-0659,DFN-CERT-2018-0645,DFN-CERT-2018-0039,DFN-CERT-2017-2300,DFN-CERT-2017-2268,DFN-CERT-2017-1825,DFN-CERT-2017-1785,DFN-CERT-2017-1692,DFN-CERT-2017-1655,DFN-CERT-2017-1097,DFN-CERT-2017-0904,DFN-CERT-2017-0806,DFN-CERT-2016-2109,WID-SEC-2026-0180,WID-SEC-2025-1365,WID-SEC-2025-0370,WID-SEC-2024-1232,WID-SEC-2023-1594,WID-SEC-2022-0673,CB-K22/0045,CB-K20/0714,CB-K18/1005,CB-K18/0799,CB-K18/0030,CB-K17/2199,CB-K17/2168,CB-K17/1745,CB-K17/1709,CB-K17/1622,CB-K17/1585,CB-K17/1062,CB-K17/0877,CB-K17/0784,CB-K16/1996",""
