IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.54,artifactory5.trabalho_vulnnet,8040,tcp,10.0,Critical,30,"VendorFix","Apache Tomcat End of Life (EOL) Detection - Linux","The Apache Tomcat version on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Apache Tomcat"" version on the remote host has reached the end of life.

CPE:               cpe:/a:apache:tomcat:8.5.23
Installed version: 8.5.23
Location/URL:      8040/tcp
EOL version:       8.5
EOL date:          2024-03-31
",1.3.6.1.4.1.25623.1.0.108084,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,36935021-bdd3-4920-9d2f-9f3ab715096c,"An EOL version of Apache Tomcat is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Apache Tomcat version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
Apache Tomcat End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.108084)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","",""
172.31.1.54,artifactory5.trabalho_vulnnet,8081,tcp,10.0,Critical,30,"VendorFix","Apache Tomcat End of Life (EOL) Detection - Linux","The Apache Tomcat version on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Apache Tomcat"" version on the remote host has reached the end of life.

CPE:               cpe:/a:apache:tomcat:8.5.23
Installed version: 8.5.23
Location/URL:      8081/tcp
EOL version:       8.5
EOL date:          2024-03-31
",1.3.6.1.4.1.25623.1.0.108084,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,8ea98355-d343-42da-b957-a3dc3fedf087,"An EOL version of Apache Tomcat is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Apache Tomcat version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
Apache Tomcat End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.108084)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","",""
172.31.1.54,artifactory5.trabalho_vulnnet,8040,tcp,9.8,Critical,30,"VendorFix","Apache Tomcat CORS Filter Setting Security Bypass Vulnerability","Apache Tomcat is prone to a security bypass vulnerability.","Installed version: 8.5.23
Fixed version:     8.5.32
Installation
path / port:       8040/tcp

",1.3.6.1.4.1.25623.1.0.813378,"CVE-2018-8014",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,e3985bf1-eff0-4c1c-9018-a20e7ec16fe9,"Successful exploitation will allow remote
  attackers to bypass certain security restrictions and perform unauthorized
  actions. This may aid in further attacks.","Upgrade to Apache Tomcat version 9.0.9,
  8.0.53, 7.0.89 or 8.5.32 or later. Please see the references for more information.","Apache Tomcat versions 9.0.0.M1 to 9.0.8
  Apache Tomcat versions 8.5.0 to 8.5.31
  Apache Tomcat versions 8.0.0.RC1 to 8.0.52
  Apache Tomcat versions 7.0.41 to 7.0.88","The flaw exists because defaults settings
  for the CORS filter provided in Apache Tomcat are insecure and enable
  'supportsCredentials' for all origins.","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat 'CORS Filter' Setting Security Bypass Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.813378)
Version used: 2025-09-17T05:39:26Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","DFN-CERT-2019-2710,DFN-CERT-2019-1704,DFN-CERT-2019-1627,DFN-CERT-2019-1237,DFN-CERT-2019-0451,DFN-CERT-2018-2474,DFN-CERT-2018-2165,DFN-CERT-2018-2142,DFN-CERT-2018-2110,DFN-CERT-2018-1674,DFN-CERT-2018-1443,DFN-CERT-2018-1253,DFN-CERT-2018-1038,DFN-CERT-2018-0939,WID-SEC-2024-0528,CB-K18/1005,CB-K18/0680",""
172.31.1.54,artifactory5.trabalho_vulnnet,8040,tcp,9.8,Critical,30,"VendorFix","Apache Tomcat RCE Vulnerability (Mar 2025) - Linux","Apache Tomcat is prone to a remote code execution (RCE)
  vulnerability.","Installed version: 8.5.23
Fixed version:     9.0.99
Installation
path / port:       8040/tcp

",1.3.6.1.4.1.25623.1.0.154160,"CVE-2025-24813",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,81b99e6b-8097-4151-9a1f-7f1ccabf3de5,"","Update to version 9.0.99, 10.1.35, 11.0.3 or later.","Apache Tomcat version 9.0.98 and prior, 10.x through 10.1.34
  and 11.0.0-M1 through 11.0.2.

  Note: While not explicitly mentioned by the vendor (due to the EOL status of these branches) it
  is assumed that the whole 10.x branch and all versions prior to 9.x are affected by these flaws.
  If you disagree with this assessment and want to accept the risk please create an override for
  this result.","The original implementation of partial PUT used a temporary
  file based on the user provided file name and path with the path separator replaced by '.'.

  If all of the following are true, a malicious user is able to view security sensitive files
  and/or inject content into those files:

  - writes enabled for the default servlet (disabled by default)

  - support for partial PUT (enabled by default)

  - a target URL for security sensitive uploads that is a sub-directory of a target URL for public
  uploads

  - attacker knowledge of the names of security sensitive files being uploaded

  - the security sensitive files also being uploaded via partial PUT

  If all of the following are true, a malicious user is able to perform remote code execution:

  - writes enabled for the default servlet (disabled by default)

  - support for partial PUT (enabled by default)

  - application is using Tomcat's file based session persistence with the default storage location

  - application includes a library that may be leveraged in a deserialization attack","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat RCE Vulnerability (Mar 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154160)
Version used: 2025-04-11T15:45:04Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","DFN-CERT-2025-2098,DFN-CERT-2025-0993,DFN-CERT-2025-0890,DFN-CERT-2025-0888,DFN-CERT-2025-0766,DFN-CERT-2025-0622,WID-SEC-2025-1564,WID-SEC-2025-1439,WID-SEC-2025-0825,WID-SEC-2025-0824,WID-SEC-2025-0823,WID-SEC-2025-0511",""
172.31.1.54,artifactory5.trabalho_vulnnet,8081,tcp,9.8,Critical,30,"VendorFix","Apache Tomcat CORS Filter Setting Security Bypass Vulnerability","Apache Tomcat is prone to a security bypass vulnerability.","Installed version: 8.5.23
Fixed version:     8.5.32
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.813378,"CVE-2018-8014",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,7b5f40c8-e7f9-430c-8b43-914f53d8097a,"Successful exploitation will allow remote
  attackers to bypass certain security restrictions and perform unauthorized
  actions. This may aid in further attacks.","Upgrade to Apache Tomcat version 9.0.9,
  8.0.53, 7.0.89 or 8.5.32 or later. Please see the references for more information.","Apache Tomcat versions 9.0.0.M1 to 9.0.8
  Apache Tomcat versions 8.5.0 to 8.5.31
  Apache Tomcat versions 8.0.0.RC1 to 8.0.52
  Apache Tomcat versions 7.0.41 to 7.0.88","The flaw exists because defaults settings
  for the CORS filter provided in Apache Tomcat are insecure and enable
  'supportsCredentials' for all origins.","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat 'CORS Filter' Setting Security Bypass Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.813378)
Version used: 2025-09-17T05:39:26Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","DFN-CERT-2019-2710,DFN-CERT-2019-1704,DFN-CERT-2019-1627,DFN-CERT-2019-1237,DFN-CERT-2019-0451,DFN-CERT-2018-2474,DFN-CERT-2018-2165,DFN-CERT-2018-2142,DFN-CERT-2018-2110,DFN-CERT-2018-1674,DFN-CERT-2018-1443,DFN-CERT-2018-1253,DFN-CERT-2018-1038,DFN-CERT-2018-0939,WID-SEC-2024-0528,CB-K18/1005,CB-K18/0680",""
172.31.1.54,artifactory5.trabalho_vulnnet,8040,tcp,9.8,Critical,30,"VendorFix","Apache Tomcat Multiple Vulnerabilities (Feb 2020) - Linux","Apache Tomcat is prone to multiple vulnerabilities.","Installed version: 8.5.23
Fixed version:     8.5.51
Installation
path / port:       8040/tcp

",1.3.6.1.4.1.25623.1.0.143549,"CVE-2020-1935,CVE-2020-1938",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,c14c8176-111b-452d-9358-fd6fb1733a8f,"","Update to version 7.0.100, 8.5.51, 9.0.31 or later.","Apache Tomcat 7.0.0 to 7.0.99, 8.5.0 to 8.5.50 and 9.0.0.M1 to 9.0.30.","Apache Tomcat is prone to multiple vulnerabilities:

  - HTTP request smuggling vulnerability (CVE-2020-1935)

  - AJP Request Injection and potential Remote Code Execution dubbed 'Ghostcat' (CVE-2020-1938)","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Multiple Vulnerabilities (Feb 2020) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.143549)
Version used: 2024-02-08T05:05:59Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","DFN-CERT-2021-1736,DFN-CERT-2021-0575,DFN-CERT-2020-2482,DFN-CERT-2020-1707,DFN-CERT-2020-1706,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,WID-SEC-2024-0528,WID-SEC-2023-2480,WID-SEC-2023-2130,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0165,CB-K20/0154",""
172.31.1.54,artifactory5.trabalho_vulnnet,8081,tcp,9.8,Critical,30,"VendorFix","Apache Tomcat Multiple Vulnerabilities (Feb 2020) - Linux","Apache Tomcat is prone to multiple vulnerabilities.","Installed version: 8.5.23
Fixed version:     8.5.51
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.143549,"CVE-2020-1935,CVE-2020-1938",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,8a0449e8-0043-4170-bcdb-56040c67ac0e,"","Update to version 7.0.100, 8.5.51, 9.0.31 or later.","Apache Tomcat 7.0.0 to 7.0.99, 8.5.0 to 8.5.50 and 9.0.0.M1 to 9.0.30.","Apache Tomcat is prone to multiple vulnerabilities:

  - HTTP request smuggling vulnerability (CVE-2020-1935)

  - AJP Request Injection and potential Remote Code Execution dubbed 'Ghostcat' (CVE-2020-1938)","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Multiple Vulnerabilities (Feb 2020) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.143549)
Version used: 2024-02-08T05:05:59Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","DFN-CERT-2021-1736,DFN-CERT-2021-0575,DFN-CERT-2020-2482,DFN-CERT-2020-1707,DFN-CERT-2020-1706,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,WID-SEC-2024-0528,WID-SEC-2023-2480,WID-SEC-2023-2130,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0165,CB-K20/0154",""
172.31.1.54,artifactory5.trabalho_vulnnet,8040,tcp,9.8,Critical,30,"VendorFix","Apache Tomcat Rewrite Rule Bypass Vulnerability (Apr 2025) - Linux","Apache Tomcat is prone to a rewrite rule bypass
  vulnerability.","Installed version: 8.5.23
Fixed version:     9.0.104
Installation
path / port:       8040/tcp

",1.3.6.1.4.1.25623.1.0.154399,"CVE-2025-31651",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,616f5897-3b01-4fcf-811d-ac22473c950a,"","Update to version 9.0.104, 10.1.40, 11.0.6 or later.","Apache Tomcat version 9.0.102 and prior, 10.x through
  10.1.39 and 11.0.0-M1 through 11.0.5.

  Note: While not explicitly mentioned by the vendor (due to the EOL status of these branches) it
  is assumed that the whole 10.x branch and all versions prior to 9.x are affected by these flaws.
  If you disagree with this assessment and want to accept the risk please create an override for
  this result.","For a subset of unlikely rewrite rule configurations, it is
  possible for a specially crafted request to bypass some rewrite rules. If those rewrite rules
  effectively enforced security constraints, those constraints could be bypassed.","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Rewrite Rule Bypass Vulnerability (Apr 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154399)
Version used: 2025-05-06T05:40:10Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","DFN-CERT-2025-3462,DFN-CERT-2025-3454,DFN-CERT-2025-3431,DFN-CERT-2025-3113,DFN-CERT-2025-2285,DFN-CERT-2025-2098,DFN-CERT-2025-1991,DFN-CERT-2025-1905,DFN-CERT-2025-1898,DFN-CERT-2025-1557,DFN-CERT-2025-1081,WID-SEC-2025-2372,WID-SEC-2025-1850,WID-SEC-2025-1572,WID-SEC-2025-1565,WID-SEC-2025-1563,WID-SEC-2025-1439,WID-SEC-2025-1365,WID-SEC-2025-0895",""
172.31.1.54,artifactory5.trabalho_vulnnet,8081,tcp,9.8,Critical,30,"VendorFix","Apache Tomcat Rewrite Rule Bypass Vulnerability (Apr 2025) - Linux","Apache Tomcat is prone to a rewrite rule bypass
  vulnerability.","Installed version: 8.5.23
Fixed version:     9.0.104
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.154399,"CVE-2025-31651",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,178e184f-a4b4-4318-b5cd-7e99e01e19f2,"","Update to version 9.0.104, 10.1.40, 11.0.6 or later.","Apache Tomcat version 9.0.102 and prior, 10.x through
  10.1.39 and 11.0.0-M1 through 11.0.5.

  Note: While not explicitly mentioned by the vendor (due to the EOL status of these branches) it
  is assumed that the whole 10.x branch and all versions prior to 9.x are affected by these flaws.
  If you disagree with this assessment and want to accept the risk please create an override for
  this result.","For a subset of unlikely rewrite rule configurations, it is
  possible for a specially crafted request to bypass some rewrite rules. If those rewrite rules
  effectively enforced security constraints, those constraints could be bypassed.","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat Rewrite Rule Bypass Vulnerability (Apr 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154399)
Version used: 2025-05-06T05:40:10Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","DFN-CERT-2025-3462,DFN-CERT-2025-3454,DFN-CERT-2025-3431,DFN-CERT-2025-3113,DFN-CERT-2025-2285,DFN-CERT-2025-2098,DFN-CERT-2025-1991,DFN-CERT-2025-1905,DFN-CERT-2025-1898,DFN-CERT-2025-1557,DFN-CERT-2025-1081,WID-SEC-2025-2372,WID-SEC-2025-1850,WID-SEC-2025-1572,WID-SEC-2025-1565,WID-SEC-2025-1563,WID-SEC-2025-1439,WID-SEC-2025-1365,WID-SEC-2025-0895",""
172.31.1.54,artifactory5.trabalho_vulnnet,8081,tcp,9.8,Critical,30,"VendorFix","Apache Tomcat RCE Vulnerability (Mar 2025) - Linux","Apache Tomcat is prone to a remote code execution (RCE)
  vulnerability.","Installed version: 8.5.23
Fixed version:     9.0.99
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.154160,"CVE-2025-24813",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:56:34Z,671b7faa-1af4-4a15-b8c0-288c21d3d69b,"","Update to version 9.0.99, 10.1.35, 11.0.3 or later.","Apache Tomcat version 9.0.98 and prior, 10.x through 10.1.34
  and 11.0.0-M1 through 11.0.2.

  Note: While not explicitly mentioned by the vendor (due to the EOL status of these branches) it
  is assumed that the whole 10.x branch and all versions prior to 9.x are affected by these flaws.
  If you disagree with this assessment and want to accept the risk please create an override for
  this result.","The original implementation of partial PUT used a temporary
  file based on the user provided file name and path with the path separator replaced by '.'.

  If all of the following are true, a malicious user is able to view security sensitive files
  and/or inject content into those files:

  - writes enabled for the default servlet (disabled by default)

  - support for partial PUT (enabled by default)

  - a target URL for security sensitive uploads that is a sub-directory of a target URL for public
  uploads

  - attacker knowledge of the names of security sensitive files being uploaded

  - the security sensitive files also being uploaded via partial PUT

  If all of the following are true, a malicious user is able to perform remote code execution:

  - writes enabled for the default servlet (disabled by default)

  - support for partial PUT (enabled by default)

  - application is using Tomcat's file based session persistence with the default storage location

  - application includes a library that may be leveraged in a deserialization attack","Checks if a vulnerable version is present on the target host.
Details:
Apache Tomcat RCE Vulnerability (Mar 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154160)
Version used: 2025-04-11T15:45:04Z
","Product: cpe:/a:apache:tomcat:8.5.23
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","DFN-CERT-2025-2098,DFN-CERT-2025-0993,DFN-CERT-2025-0890,DFN-CERT-2025-0888,DFN-CERT-2025-0766,DFN-CERT-2025-0622,WID-SEC-2025-1564,WID-SEC-2025-1439,WID-SEC-2025-0825,WID-SEC-2025-0824,WID-SEC-2025-0823,WID-SEC-2025-0511",""
