IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,9.7,Critical,30,"VendorFix","Python Multiple Vulnerabilities (Jun 2025) - Linux","Python is prone to multiple vulnerabilities.","Installed version: 3.11.10
Fixed version:     3.11.13
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.154642,"CVE-2024-12718,CVE-2025-4138,CVE-2025-4330,CVE-2025-4435,CVE-2025-4517",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,969bd855-9cc6-46fa-ac74-e11a0d959ef6,"","Update to version 3.9.23, 3.10.18, 3.11.13, 3.12.11, 3.13.4 or
  later.","Python versions prior to 3.9.23, 3.10.x prior to 3.10.18,
  3.11.x prior to 3.11.13, 3.12.x prior to 3.12.11 and 3.13.x prior to 3.13.4.","The following flaws exist:

  - CVE-2024-12718: Allows modifying some file metadata (e.g. last modified) with filter='data' or
  file permissions (chmod) with filter='tar' of files outside the extraction directory.

  - CVE-2025-4138: Allows creating arbitrary symlinks outside the extraction directory during
  extraction with filter='data'.

  - CVE-2025-4330: Allows the extraction filter to be ignored, allowing symlink targets to point
  outside the destination directory, and the modification of some file metadata.

  - CVE-2025-4435: Filtered members not skipped with TarFile.errorlevel = 0

  - CVE-2025-4517: Allows arbitrary filesystem writes outside the extraction directory during
  extraction with filter='data'.","Checks if a vulnerable version is present on the target host.
Details:
Python Multiple Vulnerabilities (Jun 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154642)
Version used: 2025-10-10T05:39:02Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2026-0247,DFN-CERT-2026-0243,DFN-CERT-2025-3555,DFN-CERT-2025-2946,DFN-CERT-2025-2945,DFN-CERT-2025-2938,DFN-CERT-2025-2295,DFN-CERT-2025-2212,DFN-CERT-2025-2148,DFN-CERT-2025-2047,DFN-CERT-2025-1980,DFN-CERT-2025-1936,DFN-CERT-2025-1905,DFN-CERT-2025-1868,DFN-CERT-2025-1682,DFN-CERT-2025-1653,DFN-CERT-2025-1640,DFN-CERT-2025-1489,WID-SEC-2025-2367,WID-SEC-2025-2363,WID-SEC-2025-2361,WID-SEC-2025-2360,WID-SEC-2025-2352,WID-SEC-2025-1850,WID-SEC-2025-1318,WID-SEC-2025-1231",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,9.1,Critical,30,"VendorFix","Python DoS Vulnerability (Dec 2025) - Linux","Python is prone to a denial of service (DoS) vulnerability.","Installed version: 3.11.10
Fixed version:     3.13.11
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.125558,"CVE-2025-13836",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,56be25fe-4fa0-4526-a404-6207d760e829,"","Update to version 3.14.1 or later, or to the latest
  maintenance release of your Python version series (3.10.x, 3.12.x) once patches
  are available. Please see the references for more information.","Python prior to version 3.13.11 and 3.14.x prior to 3.14.1.

  Note: Fixes have been backported to maintenance branches (3.10, 3.12) but specific
  patch versions are not yet available.","When reading an HTTP response from a server, if no read amount
  is specified, the default behavior will be to use Content-Length. This allows a malicious
  server to cause the client to read large amounts of data into memory, potentially causing
  out-of-memory (OOM) or other DoS conditions.","Checks if a vulnerable version is present on the target host.
Details:
Python DoS Vulnerability (Dec 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.125558)
Version used: 2026-01-01T05:49:19Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2026-0215,DFN-CERT-2026-0174,DFN-CERT-2026-0167,DFN-CERT-2026-0086,DFN-CERT-2025-3621,WID-SEC-2025-2706",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,7.8,High,30,"VendorFix","Python DoS Vulnerability (Jul 2025) - Linux","Python is prone to a denial of service (DoS) vulnerability.","Installed version: 3.11.10
Fixed version:     3.11.14
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.155051,"CVE-2025-8194",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,2b6027d7-023a-4a42-90f0-29e718f19ba4,"","Update to version 3.9.24, 3.10.19, 3.11.14, 3.12.12, 3.13.6 or
  later.","Python versions prior to 3.9.24, 3.10.x prior to 3.10.19,
  3.11.x prior to 3.11.14, 3.12.x prior to 3.12.12 and 3.13.x prior to 3.13.6.","There is a defect in the CPython 'tarfile' module affecting the
  'TarFile' extraction and entry enumeration APIs. The tar implementation would process tar
  archives with negative offsets without error, resulting in an infinite loop and deadlock during
  the parsing of maliciously crafted tar archives.","Checks if a vulnerable version is present on the target host.
Details:
Python DoS Vulnerability (Jul 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.155051)
Version used: 2025-12-18T05:46:55Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2026-0215,DFN-CERT-2026-0202,DFN-CERT-2025-3313,DFN-CERT-2025-2372,DFN-CERT-2025-2304,DFN-CERT-2025-2235,DFN-CERT-2025-2212,DFN-CERT-2025-2148,DFN-CERT-2025-2063,WID-SEC-2026-0157,WID-SEC-2026-0153,WID-SEC-2025-2043,WID-SEC-2025-1664",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,7.8,High,30,"VendorFix","Python Command Injection Vulnerability (Oct 2024) - Linux","Python is prone to a command injection vulnerability in the venv
  module.","Installed version: 3.11.10
Fixed version:     3.11.11
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.114839,"CVE-2024-9287",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,f1155e59-84b9-4929-98f5-948c551f70b1,"","Update to version 3.9.21, 3.10.16, 3.11.11, 3.12.8, 3.13.1
  or later.","Python versions prior to 3.9.21, 3.10.x prior to 3.10.16,
  3.11.x prior to 3.11.11, 3.12.x prior to 3.12.8 and 3.13.x prior to 3.13.1.","A vulnerability has been found in the venv module and CLI where
  path names provided when creating a virtual environment were not quoted properly, allowing the
  virtual environment creator to inject commands into virtual environment 'activation' scripts (ie
  'source venv/bin/activate'). This means that attacker-controlled virtual environments are able to
  run commands when the virtual environment is activated. Virtual environments which are not created
  by an attacker or which aren't activated before being used (ie './venv/bin/python') are not
  affected.","Checks if a vulnerable version is present on the target host.
Details:
Python Command Injection Vulnerability (Oct 2024) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114839)
Version used: 2025-02-11T05:38:07Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2025-3555,DFN-CERT-2025-1902,DFN-CERT-2025-1682,DFN-CERT-2025-1477,DFN-CERT-2025-1461,DFN-CERT-2025-1148,DFN-CERT-2025-0655,DFN-CERT-2025-0179,DFN-CERT-2024-3255,DFN-CERT-2024-3220,DFN-CERT-2024-3182,DFN-CERT-2024-3141,DFN-CERT-2024-2837,WID-SEC-2025-1567,WID-SEC-2025-1560,WID-SEC-2025-1559,WID-SEC-2024-3270",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,7.5,High,30,"WillNotFix","Python <= 3.12.1 RecursionError Vulnerability - Linux","Python is prone to a 'RecursionError' vulnerability.","Installed version: 3.11.10
Fixed version:     None
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.104814,"CVE-2023-36632",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,aa1351ef-32a7-4b8a-8faa-e261f94cb27a,"","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.

  NOTE: email.utils.parseaddr is categorized as a Legacy API in the documentation of the Python
  email package. Applications should instead use the email.parser.BytesParser or
  email.parser.Parser class.","The legacy email.utils.parseaddr function in Python through
  3.12.1.","The legacy email.utils.parseaddr function allows attackers to
  trigger 'RecursionError: maximum recursion depth exceeded while calling a Python object' via a
  crafted argument. This argument is plausibly an untrusted value from an application's input data
  that was supposed to contain a name and an e-mail address.

  NOTE: The vendor's perspective is that this is neither a vulnerability nor a bug. The email
  package is intended to have size limits and to throw an exception when limits are exceeded.","Checks if a vulnerable version is present on the target host.
Details:
Python <= 3.12.1 'RecursionError' Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104814)
Version used: 2024-02-05T14:36:57Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2024-1003,WID-SEC-2025-0225,WID-SEC-2024-0885,WID-SEC-2023-1561",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,5.5,Medium,30,"VendorFix","Python DoS Vulnerability (Dec 2025) - Linux","Python is prone to a denial of service (DoS) vulnerability.","Installed version: 3.11.10
Fixed version:     3.13.10
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.125553,"CVE-2025-13837",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,5d0222bd-1d2c-4b21-8cf5-d42ca705a08a,"","Update to version 3.13.10, 3.14.1 or later, or to the latest
  maintenance release of your Python version series (3.10.x, 3.12.x) once patches
  are available. Please see the references for more information.","Python prior to version 3.13.10 and 3.14.x prior to 3.14.1.

  Note: Fixes have been backported to maintenance branches (3.10, 3.12) but specific
  patch versions are not yet available.","When loading a plist file, the plistlib module reads data in
  size specified by the file itself, meaning a malicious file can cause out-of-memory (OOM) and
  DoS issues.","Checks if a vulnerable version is present on the target host.
Details:
Python DoS Vulnerability (Dec 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.125553)
Version used: 2026-01-16T05:47:38Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2026-0215,DFN-CERT-2025-3621,WID-SEC-2025-2706",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,5.3,Medium,30,"WillNotFix","Python <= 2.7.18, 3.x <= 3.12.3 Security Bypass Vulnerability - Linux","Python is prone to a security bypass vulnerability in the e-mail
  module.","Installed version: 3.11.10
Fixed version:     None
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.104739,"CVE-2023-27043",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,4deeeb8b-ce26-48d8-82f1-a789fe4369e0,"","No known solution was made available for at least one year since
  the disclosure of this vulnerability. Likely none will be provided anymore. General solution options
  are to upgrade to a newer release, disable respective features, remove the product or replace the
  product by another one.

  Note: The vendor mentions, that a patch was included in main branch 3.13. This version is expected
  to release in October 2024. The patch might be included in the release of version 3.13 or later.","Python versions through 2.7.18 and 3.x through 3.12.3.","The e-mail module incorrectly parses e-mail addresses which
  contain a special character. This vulnerability allows attackers to send messages from e-mail
  addresses that would otherwise be rejected.","Checks if a vulnerable version is present on the target host.
Details:
Python <= 2.7.18, 3.x <= 3.12.3 Security Bypass Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.104739)
Version used: 2024-05-14T05:05:26Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2025-1477,DFN-CERT-2025-1461,DFN-CERT-2025-0809,DFN-CERT-2025-0179,DFN-CERT-2024-3182,DFN-CERT-2024-3141,DFN-CERT-2024-2425,DFN-CERT-2024-2340,DFN-CERT-2024-2186,DFN-CERT-2024-2179,DFN-CERT-2024-1391,DFN-CERT-2024-1325,DFN-CERT-2024-0744,DFN-CERT-2024-0609,DFN-CERT-2024-0605,DFN-CERT-2024-0408,DFN-CERT-2024-0278,DFN-CERT-2024-0227,DFN-CERT-2023-3186,DFN-CERT-2023-2651,WID-SEC-2025-0668,WID-SEC-2025-0225,WID-SEC-2024-3377,WID-SEC-2024-1086,WID-SEC-2024-0423,WID-SEC-2023-1097",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,5.3,Medium,30,"VendorFix","Python DoS Vulnerability (Dec 2025) - Linux","Python is prone to a denial of service (DoS) vulnerability.","Installed version: 3.11.10
Fixed version:     3.13.11
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.133141,"CVE-2025-12084",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,f9274a62-23e9-4643-969e-fca9ceb395a1,"","Update to version 3.13.11, 3.14.2 or later.","Python prior to version 3.13.11 and 3.14.0 prior to 3.14.2.","When building nested elements using xml.dom.minidom methods such
  as appendChild() that have a dependency on _clear_id_cache() the algorithm is quadratic.
  Availability can be impacted when building excessively nested documents.","Checks if a vulnerable version is present on the target host.
Details:
Python DoS Vulnerability (Dec 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.133141)
Version used: 2025-12-17T05:46:28Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2026-0215,DFN-CERT-2026-0174,DFN-CERT-2026-0167,DFN-CERT-2026-0038,DFN-CERT-2025-3621,DFN-CERT-2025-3496,WID-SEC-2025-2741",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,5.0,Medium,30,"VendorFix","Python DoS Vulnerability (Oct 2025) - Linux","Python is prone to a denial of service (DoS) vulnerability.","Installed version: 3.11.10
Fixed version:     3.15.0
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.125434,"CVE-2025-6075",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,f7f4e9af-9440-40b2-9d72-ec12b6182f5e,"","Update to Python 3.9.25, 3.15.0 or later, or to the latest
  maintenance release of your Python version series (3.10.x, 3.12.x, 3.13.x, 3.14.x) once patches
  are available. Please see the references for more information.","Python versions prior to 3.9.25 and 3.10.x prior to 3.15.0.

  Note: Fixes have been backported to maintenance branches (3.10, 3.12, 3.13, 3.14) but specific
  patch versions are not yet available.","If the value passed to os.path.expandvars() is user-controlled
  a performance degradation is possible when expanding environment variables. This vulnerability
  exhibits quadratic complexity behavior that could be exploited for denial of service attacks.","Checks if a vulnerable version is present on the target host.
Details:
Python DoS Vulnerability (Oct 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.125434)
Version used: 2025-11-05T05:40:07Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2026-0215,DFN-CERT-2025-3563,DFN-CERT-2025-3555,DFN-CERT-2025-3298,DFN-CERT-2025-3267,WID-SEC-2025-2468",""
172.30.10.2,vampi.trabalho_vulnnet,5000,tcp,5.0,Medium,30,"VendorFix","Python zipfile Module Vulnerability (Oct 2025) - Linux","Python is prone to a vulnerability in the 'zipfile' module.","Installed version: 3.11.10
Fixed version:     3.11.14
Installation
path / port:       5000/tcp

",1.3.6.1.4.1.25623.1.0.119138,"CVE-2025-8291",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,901f604b-2779-4695-90a4-9ff036bf5461,"","Update to version 3.9.24, 3.10.19, 3.11.14, 3.12.12, 3.13.10,
  3.14.1 or later.","Python prior to version 3.9.24, 3.10.x prior to 3.10.19, 3.11.x
  prior to 3.11.14, 3.12.x prior to 3.12.12, 3.13.x prior to 3.13.10 and 3.14.x prior to 3.14.1.","The 'zipfile' module would not check the validity of the ZIP64
  End of Central Directory (EOCD) Locator record offset value would not be used to locate the ZIP64
  EOCD record, instead the ZIP64 EOCD record would be assumed to be the previous record in the ZIP
  archive. This could be abused to create ZIP archives that are handled differently by the 'zipfile'
  module compared to other ZIP implementations. Remediation maintains this behavior, but checks that
  the offset specified in the ZIP64 EOCD Locator record matches the expected value.","Checks if a vulnerable version is present on the target host.
Details:
Python 'zipfile' Module Vulnerability (Oct 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.119138)
Version used: 2025-12-18T05:46:55Z
","Product: cpe:/a:python:python:3.11.10
Method: Python Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.112857)
","","DFN-CERT-2026-0215,DFN-CERT-2026-0167,DFN-CERT-2026-0038,DFN-CERT-2025-3563,DFN-CERT-2025-3555,DFN-CERT-2025-3298,DFN-CERT-2025-3045,DFN-CERT-2025-2812,WID-SEC-2025-2230",""
