IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.97,vsftpd.trabalho_vulnnet,21,tcp,4.8,Medium,70,"Mitigation","FTP Unencrypted Cleartext Login","The remote host is running a FTP service that allows cleartext logins over
  unencrypted connections.","The remote FTP service accepts logins without a previous sent 'AUTH TLS' command. Response(s):

Non-anonymous sessions: 331 Please specify the password.
Anonymous sessions:     331 Please specify the password.
",1.3.6.1.4.1.25623.1.0.108528,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,f36f36bc-4129-4e1f-bfb6-1f2a19d20589,"An attacker can uncover login names and passwords by sniffing traffic to the
  FTP service.","Enable FTPS or enforce the connection via the 'AUTH TLS' command. Please see
  the manual of the FTP service for more information.","","","Tries to login to a non FTPS enabled FTP service without sending a
  'AUTH TLS' command first and checks if the service is accepting the login without enforcing the use of
  the 'AUTH TLS' command.
Details:
FTP Unencrypted Cleartext Login
(OID: 1.3.6.1.4.1.25623.1.0.108528)
Version used: 2023-12-20T05:05:58Z
","","","",""
172.31.1.97,vsftpd.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 1436028299
Packet 2: 1436029399
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,d4f0615c-4264-417d-92e5-259ac8773926,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.31.1.97,vsftpd.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,39dcfa83-f0fb-4752-b3ed-45897345c7ad,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
172.31.1.97,vsftpd.trabalho_vulnnet,,,0.0,Log,80,"","Traceroute","Collect information about the network route and
  network distance between the scanner host and the target host.","Network route from scanner (172.30.0.2) to target (172.31.1.97):

172.30.0.2
172.31.1.97

Network distance between scanner and target: 2
",1.3.6.1.4.1.25623.1.0.51662,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,a0dab42c-d852-411d-a118-8d206b3f7831,"","","","For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more.","A combination of the protocols ICMP and TCP is used
  to determine the route. This method is applicable for IPv4 only and it is also known as
  'traceroute'.
Details:
Traceroute
(OID: 1.3.6.1.4.1.25623.1.0.51662)
Version used: 2022-10-17T11:13:19Z
","","","",""
172.31.1.97,vsftpd.trabalho_vulnnet,21,tcp,0.0,Log,80,"","SSL/TLS: FTP Missing Support For AUTH TLS","The remote FTP server does not support the 'AUTH TLS' command.","The remote FTP server does not support the 'AUTH TLS' command.
",1.3.6.1.4.1.25623.1.0.108553,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,a989c0b5-8738-40d7-974d-d0f143820204,"","","","","
Details:
SSL/TLS: FTP Missing Support For AUTH TLS
(OID: 1.3.6.1.4.1.25623.1.0.108553)
Version used: 2021-03-19T08:13:38Z
","","","",""
172.31.1.97,vsftpd.trabalho_vulnnet,21,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","An FTP server is running on this port.
Here is its banner : 
220 (vsFTPd 3.0.2)
",1.3.6.1.4.1.25623.1.0.10330,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,c827cc26-ebf2-423f-9a52-7dfdc0558852,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2025-03-05T05:38:53Z
","","","",""
172.31.1.97,vsftpd.trabalho_vulnnet,21,tcp,0.0,Log,80,"","FTP Banner Detection","This script detects and reports a FTP Server Banner.","Remote FTP server banner:

220 (vsFTPd 3.0.2)

This is probably (a):

- vsFTPd
",1.3.6.1.4.1.25623.1.0.10092,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,e219d0ed-7a09-4262-a399-0df5eb63c5f7,"","","","","
Details:
FTP Banner Detection
(OID: 1.3.6.1.4.1.25623.1.0.10092)
Version used: 2025-04-16T05:39:43Z
","","","",""
172.31.1.97,vsftpd.trabalho_vulnnet,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","172.31.1.97|cpe:/a:beasts:vsftpd:3.0.2
172.31.1.97|cpe:/o:linux:kernel

",1.3.6.1.4.1.25623.1.0.810002,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,98225832-2352-4e96-9fda-7b3b05aa5368,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
172.31.1.97,vsftpd.trabalho_vulnnet,,,0.0,Log,80,"","OS Detection Consolidation and Reporting","This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum.","Best matching OS:

OS:           Linux/Unix
CPE:          cpe:/o:linux:kernel
Found by VT:  1.3.6.1.4.1.25623.1.0.105355 (Operating System (OS) Detection (FTP))
Concluded from FTP banner on port 21/tcp: 220 (vsFTPd 3.0.2)
Setting key ""Host/runs_unixoide"" based on this information
",1.3.6.1.4.1.25623.1.0.105937,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,3168b244-d112-4685-acb1-b582c1c2ad45,"","","","","
Details:
OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
Version used: 2026-01-21T05:50:46Z
","","","",""
172.31.1.97,vsftpd.trabalho_vulnnet,,,0.0,Log,80,"","Hostname Determination Reporting","The script reports information on how the hostname of the target
  was determined.","Hostname determination for IP 172.31.1.97:

Hostname|Source
vsftpd.trabalho_vulnnet|Reverse-DNS
",1.3.6.1.4.1.25623.1.0.108449,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T08:49:59Z,57f37495-a7ed-487c-a23b-15824876dd0e,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
Version used: 2022-07-27T10:11:28Z
","","","",""
