IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.57,gitea14.trabalho_vulnnet,3000,tcp,9.9,Critical,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.11.3
Installed version: 1.11.3
Location/URL:      /vendor/plugins/jquery/jquery.min.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://gitea14.trabalho_vulnnet:3000/vendor/plugins/jquery/jquery.min.js
- Referenced at:   http://gitea14.trabalho_vulnnet:3000/install/
",1.3.6.1.4.1.25623.1.0.117149,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,bee17951-8efd-46dd-a1ff-65b7a4246f25,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.31.1.57,gitea14.trabalho_vulnnet,22,tcp,9.8,Critical,30,"VendorFix","OpenBSD OpenSSH < 9.3p2 RCE Vulnerability","OpenBSD OpenSSH is prone to a remote code execution (RCE)
  vulnerability in OpenSSH's forwarded ssh-agent.","Installed version: 7.5
Fixed version:     9.3p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.104869,"CVE-2023-38408",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,d6c919e1-21c5-40b4-b1b2-7047424f085d,"","Update to version 9.3p2 or later.","OpenBSD OpenSSH prior to version 9.3p2.

  The following conditions needs to be met:

  - Exploitation requires the presence of specific libraries on the victim system.

  - Remote exploitation requires that the agent was forwarded to an attacker-controlled system.","A condition where specific libraries loaded via ssh-agent(1)'s
  PKCS#11 support could be abused to achieve remote code execution via a forwarded agent socket.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH < 9.3p2 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.104869)
Version used: 2023-10-13T05:06:10Z
","Product: cpe:/a:openbsd:openssh:7.5
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-2802,DFN-CERT-2024-1260,DFN-CERT-2024-0491,DFN-CERT-2023-2792,DFN-CERT-2023-2179,DFN-CERT-2023-1961,DFN-CERT-2023-1920,DFN-CERT-2023-1845,DFN-CERT-2023-1773,DFN-CERT-2023-1665,WID-SEC-2024-3195,WID-SEC-2024-1248,WID-SEC-2024-1082,WID-SEC-2024-0064,WID-SEC-2023-2679,WID-SEC-2023-2625,WID-SEC-2023-2240,WID-SEC-2023-1843,WID-SEC-2023-1819",""
172.31.1.57,gitea14.trabalho_vulnnet,22,tcp,7.5,High,30,"Mitigation","Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)","The remote SSH server is supporting Diffie-Hellman ephemeral
  (DHE) Key Exchange (KEX) algorithms and thus could be prone to a denial of service (DoS)
  vulnerability.","The remote SSH server supports the following DHE KEX algorithm(s):

diffie-hellman-group14-sha1
diffie-hellman-group14-sha256
diffie-hellman-group16-sha512
diffie-hellman-group18-sha512
diffie-hellman-group-exchange-sha256
",1.3.6.1.4.1.25623.1.0.117839,"CVE-2002-20001,CVE-2022-40735,CVE-2024-41996",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,167b3cfc-cca5-4dea-b8d3-16ef066b236c,"This vulnerability allows remote attackers (from the client side)
  to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE
  modular-exponentiation calculations, also known as a D(HE)ater attack.

  There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe
  issues such as a slowdown in SSH connections.","'- DHE key exchange should be disabled if no other mitigation
  mechanism can be used and either elliptic-curve variant of Diffie-Hellman (ECDHE) or RSA key
  exchange is supported by the clients. The fact that RSA key exchange is not forward secret should
  be considered.

  - Limit the maximum number of concurrent connections in e.g. the configuration of the remote
  server. For OpenSSH this limit can be configured via the 'MaxStartups' option, for other products
  please refer to the manual of the product in question on configuration possibilities.","","'- CVE-2002-20001: The Diffie-Hellman Key Agreement Protocol
  allows remote attackers (from the client side) to send arbitrary numbers that are actually not
  public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a
  D(HE)ater attack. The client needs very little CPU resources and network bandwidth. The attack may
  be more disruptive in cases where a client can require a server to select its largest supported
  key size. The basic attack scenario is that the client must claim that it can only communicate
  with DHE, and the server must be configured to allow DHE.

  - CVE-2022-40735: The Diffie-Hellman Key Agreement Protocol allows use of long exponents that
  arguably make certain calculations unnecessarily expensive, because the 1996 van Oorschot and
  Wiener paper found that '(appropriately) short exponents' can be used when there are adequate
  subgroup constraints, and these short exponents can lead to less expensive calculations than for
  long exponents. This issue is different from CVE-2002-20001 because it is based on an observation
  about exponent size, rather than an observation about numbers that are not public keys. The
  specific situations in which calculation expense would constitute a server-side vulnerability
  depend on the protocol (e.g., TLS, SSH, or IKE) and the DHE implementation details. In general,
  there might be an availability concern because of server-side resource consumption from DHE
  modular-exponentiation calculations. Finally, it is possible for an attacker to exploit this
  vulnerability and CVE-2002-20001 together.

  - CVE-2024-41996: Validating the order of the public keys in the Diffie-Hellman Key Agreement
  Protocol, when an approved safe prime is used, allows remote attackers (from the client side) to
  trigger unnecessarily expensive server-side DHE modular-exponentiation calculations. The client
  may cause asymmetric resource consumption. The basic attack scenario is that the client must claim
  that it can only communicate with DHE, and the server must be configured to allow DHE and validate
  the order of the public key.","Checks the supported KEX algorithms of the remote SSH
  server.
Details:
Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)
(OID: 1.3.6.1.4.1.25623.1.0.117839)
Version used: 2024-10-03T05:05:33Z
","Product: cpe:/a:ietf:secure_shell_protocol
Method: SSH Protocol Algorithms Supported
(OID: 1.3.6.1.4.1.25623.1.0.105565)
","","DFN-CERT-2025-3324,DFN-CERT-2024-2847,DFN-CERT-2024-2578,DFN-CERT-2024-1671,DFN-CERT-2023-1697,DFN-CERT-2023-1332,DFN-CERT-2022-2147,DFN-CERT-2022-0437,DFN-CERT-2021-2622,WID-SEC-2024-3056,WID-SEC-2023-1886,WID-SEC-2023-1352,WID-SEC-2022-2251,WID-SEC-2022-2000,CB-K22/0224,CB-K21/1276",""
172.31.1.57,gitea14.trabalho_vulnnet,22,tcp,7.4,High,30,"WillNotFix","OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability","OpenBSD OpenSSH is prone to a command injection
  vulnerability.","Installed version: 7.5
Fixed version:     None
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.113736,"CVE-2020-15778",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,a5dc5a1d-869b-4a42-a4fc-a23215823a98,"Successful exploitation would allow an attacker to execute
  arbitrary code on the target machine.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","OpenBSD OpenSSH through version 8.6 (initially reported for
  8.3p1).","scp of OpenSSH allows command injection in spc.c via backtick
  characters in the destination argument.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.113736)
Version used: 2025-07-29T05:44:59Z
","Product: cpe:/a:openbsd:openssh:7.5
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2020-1691,WID-SEC-2024-1082,WID-SEC-2023-1599,WID-SEC-2022-2413,WID-SEC-2022-1308,CB-K21/1268",""
172.31.1.57,gitea14.trabalho_vulnnet,22,tcp,7.0,High,30,"VendorFix","OpenSSH 6.2 <= 8.7 Privilege Escalation Vulnerability","OpenSSH is prone to a privilege scalation vulnerability in
  certain configurations.","Installed version: 7.5
Fixed version:     8.8
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.117696,"CVE-2021-41617",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,5c7a3a95-5303-4429-8b5b-f225bc59726e,"","Update to version 8.8 or later.","OpenSSH versions 6.2 through 8.7.","sshd failed to correctly initialise supplemental groups when
  executing an AuthorizedKeysCommand or AuthorizedPrincipalsCommand, where a
  AuthorizedKeysCommandUser or AuthorizedPrincipalsCommandUser directive has been set to run the
  command as a different user. Instead these commands would inherit the groups that sshd was started
  with.

  Depending on system configuration, inherited groups may allow
  AuthorizedKeysCommand/AuthorizedPrincipalsCommand helper programs to gain unintended privilege.

  Neither AuthorizedKeysCommand nor AuthorizedPrincipalsCommand are enabled by default in
  sshd_config.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH 6.2 <= 8.7 Privilege Escalation Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.117696)
Version used: 2021-10-11T08:01:31Z
","Product: cpe:/a:openbsd:openssh:7.5
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2024-0022,DFN-CERT-2023-3218,DFN-CERT-2023-3210,DFN-CERT-2022-1571,DFN-CERT-2022-0579,DFN-CERT-2021-2586,DFN-CERT-2021-2017,DFN-CERT-2021-2015,WID-SEC-2024-1082,WID-SEC-2023-1969,WID-SEC-2023-0426,WID-SEC-2022-1308,WID-SEC-2022-0676,WID-SEC-2022-0534,CB-K22/0310,CB-K22/0011,CB-K21/1268,CB-K21/1017",""
172.31.1.57,gitea14.trabalho_vulnnet,22,tcp,6.8,Medium,30,"VendorFix","OpenBSD OpenSSH 6.8p1 - 9.9p1 MitM Vulnerability","OpenBSD OpenSSH is prone to a man-in-the-middle (MitM)
  vulnerability.","Installed version: 7.5
Fixed version:     9.9p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.114946,"CVE-2025-26465",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,43aeca65-dca5-423c-8157-dd61d41a6dc1,"","Update to version 9.9p2 or later.","OpenBSD OpenSSH versions 6.8p1 through 9.9p1.","ssh(1) in OpenSSH contained a logic error that allowed an
  on-path attacker (a.k.a MITM) to impersonate any server when the VerifyHostKeyDNS option is
  enabled. This option is off by default.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH 6.8p1 - 9.9p1 MitM Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.114946)
Version used: 2025-02-20T08:47:14Z
","Product: cpe:/a:openbsd:openssh:7.5
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-1201,DFN-CERT-2025-1200,DFN-CERT-2025-0993,DFN-CERT-2025-0819,DFN-CERT-2025-0470,DFN-CERT-2025-0428,WID-SEC-2025-1439,WID-SEC-2025-1007,WID-SEC-2025-0394",""
172.31.1.57,gitea14.trabalho_vulnnet,22,tcp,6.8,Medium,30,"VendorFix","OpenBSD OpenSSH <= 7.9 Multiple Vulnerabilities","OpenBSD OpenSSH is prone to multiple vulnerabilities.","Installed version: 7.5
Fixed version:     8.0
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.117786,"CVE-2018-20685,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,37c08d1e-fdce-4d1c-a9e7-245550187e4a,"","Update to version 8.0 or later.","OpenBSD OpenSSH versions 7.9 and prior.","The following flaws exist:

  - CVE-2018-20685: bypass of intended access restrictions in the scp client

  - CVE-2019-6109, CVE-2019-6110: manipulation of the output in the scp client by a malicious server

  - CVE-2019-6111: overwrite of arbitrary files in the scp client by a malicious server","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH <= 7.9 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.117786)
Version used: 2023-10-20T16:09:12Z
","Product: cpe:/a:openbsd:openssh:7.5
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2019-2157,DFN-CERT-2019-1470,DFN-CERT-2019-0970,DFN-CERT-2019-0776,DFN-CERT-2019-0563,DFN-CERT-2019-0415,DFN-CERT-2019-0357,DFN-CERT-2019-0275,DFN-CERT-2019-0136,DFN-CERT-2019-0094,WID-SEC-2024-1082,WID-SEC-2024-0872,WID-SEC-2023-1995,WID-SEC-2023-0561,CB-K19/0627,CB-K19/0312,CB-K19/0058,CB-K19/0037",""
172.31.1.57,gitea14.trabalho_vulnnet,22,tcp,6.5,Medium,30,"VendorFix","OpenBSD OpenSSH < 9.6 Multiple Vulnerabilities (Terrapin Attack)","OpenBSD OpenSSH is prone to multiple vulnerabilities.","Installed version: 7.5
Fixed version:     9.6
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.118572,"CVE-2023-48795,CVE-2023-51384,CVE-2023-51385",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,292cb170-5fdf-4b95-8945-551966b3ba6e,"","Update to version 9.6 or later.

  Note: Client and Server implementations need to run a fixed version to mitigate the Terrapin
  flaw.","OpenBSD OpenSSH prior to version 9.6.","The following vulnerabilities exist:

  - CVE-2023-48795: The SSH transport protocol with certain OpenSSH extensions allows remote
  attackers to bypass integrity checks such that some packets are omitted (from the extension
  negotiation message), and a client and server may consequently end up with a connection for which
  some security features have been downgraded or disabled, aka a 'Terrapin attack'.

  - CVE-2023-51384: In ssh-agent certain destination constraints can be incompletely applied. When
  destination constraints are specified during addition of PKCS#11-hosted private keys, these
  constraints are only applied to the first key, even if a PKCS#11 token returns multiple keys.

  - CVE-2023-51385: OS command injection might occur if a user name or host name has shell
  metacharacters, and this name is referenced by an expansion token in certain situations. For
  example, an untrusted Git repository can have a submodule with shell metacharacters in a user
  name or host name.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH < 9.6 Multiple Vulnerabilities (Terrapin Attack)
(OID: 1.3.6.1.4.1.25623.1.0.118572)
Version used: 2025-10-08T05:38:55Z
","Product: cpe:/a:openbsd:openssh:7.5
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-3629,DFN-CERT-2025-3272,DFN-CERT-2025-2058,DFN-CERT-2025-2037,DFN-CERT-2025-1447,DFN-CERT-2025-1177,DFN-CERT-2025-1025,DFN-CERT-2025-0660,DFN-CERT-2025-0502,DFN-CERT-2025-0294,DFN-CERT-2025-0173,DFN-CERT-2025-0165,DFN-CERT-2025-0024,DFN-CERT-2024-3171,DFN-CERT-2024-2818,DFN-CERT-2024-2759,DFN-CERT-2024-2741,DFN-CERT-2024-2682,DFN-CERT-2024-2602,DFN-CERT-2024-2573,DFN-CERT-2024-2392,DFN-CERT-2024-2210,DFN-CERT-2024-2209,DFN-CERT-2024-2194,DFN-CERT-2024-2169,DFN-CERT-2024-2048,DFN-CERT-2024-2030,DFN-CERT-2024-2028,DFN-CERT-2024-1930,DFN-CERT-2024-1895,DFN-CERT-2024-1869,DFN-CERT-2024-1868,DFN-CERT-2024-1865,DFN-CERT-2024-1862,DFN-CERT-2024-1854,DFN-CERT-2024-1846,DFN-CERT-2024-1817,DFN-CERT-2024-1794,DFN-CERT-2024-1715,DFN-CERT-2024-1698,DFN-CERT-2024-1688,DFN-CERT-2024-1655,DFN-CERT-2024-1600,DFN-CERT-2024-1443,DFN-CERT-2024-1442,DFN-CERT-2024-1413,DFN-CERT-2024-1382,DFN-CERT-2024-1380,DFN-CERT-2024-1373,DFN-CERT-2024-1260,DFN-CERT-2024-1259,DFN-CERT-2024-1108,DFN-CERT-2024-1061,DFN-CERT-2024-1029,DFN-CERT-2024-1003,DFN-CERT-2024-1000,DFN-CERT-2024-0896,DFN-CERT-2024-0779,DFN-CERT-2024-0762,DFN-CERT-2024-0744,DFN-CERT-2024-0698,DFN-CERT-2024-0633,DFN-CERT-2024-0619,DFN-CERT-2024-0618,DFN-CERT-2024-0616,DFN-CERT-2024-0597,DFN-CERT-2024-0545,DFN-CERT-2024-0526,DFN-CERT-2024-0491,DFN-CERT-2024-0480,DFN-CERT-2024-0451,DFN-CERT-2024-0440,DFN-CERT-2024-0420,DFN-CERT-2024-0388,DFN-CERT-2024-0343,DFN-CERT-2024-0306,DFN-CERT-2024-0299,DFN-CERT-2024-0285,DFN-CERT-2024-0267,DFN-CERT-2024-0251,DFN-CERT-2024-0215,DFN-CERT-2024-0211,DFN-CERT-2024-0164,DFN-CERT-2024-0154,DFN-CERT-2024-0101,DFN-CERT-2024-0092,DFN-CERT-2024-0088,DFN-CERT-2024-0067,DFN-CERT-2024-0063,DFN-CERT-2024-0062,DFN-CERT-2024-0024,DFN-CERT-2024-0022,DFN-CERT-2024-0013,DFN-CERT-2023-3219,DFN-CERT-2023-3218,DFN-CERT-2023-3210,DFN-CERT-2023-3201,DFN-CERT-2023-3200,DFN-CERT-2023-3195,DFN-CERT-2023-3193,DFN-CERT-2023-3191,DFN-CERT-2023-3185,DFN-CERT-2023-3184,DFN-CERT-2023-3183,DFN-CERT-2023-3182,DFN-CERT-2023-3175,WID-SEC-2025-0810,WID-SEC-2025-0168,WID-SEC-2025-0144,WID-SEC-2025-0139,WID-SEC-2024-3377,WID-SEC-2024-3320,WID-SEC-2024-3198,WID-SEC-2024-3195,WID-SEC-2024-3140,WID-SEC-2024-1913,WID-SEC-2024-1781,WID-SEC-2024-1701,WID-SEC-2024-1656,WID-SEC-2024-1655,WID-SEC-2024-1643,WID-SEC-2024-1642,WID-SEC-2024-1639,WID-SEC-2024-1637,WID-SEC-2024-1630,WID-SEC-2024-1474,WID-SEC-2024-1248,WID-SEC-2024-1228,WID-SEC-2024-1186,WID-SEC-2024-1082,WID-SEC-2024-0899,WID-SEC-2024-0892,WID-SEC-2024-0889,WID-SEC-2024-0885,WID-SEC-2024-0874,WID-SEC-2024-0869,WID-SEC-2024-0578,WID-SEC-2024-0564,WID-SEC-2024-0523,WID-SEC-2023-3182,WID-SEC-2023-3174",""
172.31.1.57,gitea14.trabalho_vulnnet,3000,tcp,6.1,Medium,30,"VendorFix","jQuery < 3.0.0 XSS Vulnerability","jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.11.3
Fixed version:     3.0.0
Installation
path / port:       /vendor/plugins/jquery/jquery.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://gitea14.trabalho_vulnnet:3000/vendor/plugins/jquery/jquery.min.js
- Referenced at:   http://gitea14.trabalho_vulnnet:3000/install/
",1.3.6.1.4.1.25623.1.0.141635,"CVE-2015-9251",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,5b7f9fda-bb99-4a7e-9a9a-2a7aea789407,"","Update to version 3.0.0 or later.","jQuery prior to version 3.0.0.","When a cross-domain Ajax request is performed without the
  dataType option, causing text/javascript responses to be executed.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 3.0.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141635)
Version used: 2023-07-14T05:06:08Z
","","","DFN-CERT-2023-1197,DFN-CERT-2023-0245,DFN-CERT-2020-2423,DFN-CERT-2020-2130,DFN-CERT-2020-0630,DFN-CERT-2020-0590,DFN-CERT-2020-0318,DFN-CERT-2019-2158,DFN-CERT-2019-1455,DFN-CERT-2019-0777,DFN-CERT-2019-0772,DFN-CERT-2019-0119,DFN-CERT-2019-0111,DFN-CERT-2018-2103,DFN-CERT-2018-1163,WID-SEC-2025-1660,WID-SEC-2025-1212,WID-SEC-2024-1872,WID-SEC-2024-1682,WID-SEC-2023-0239,WID-SEC-2022-0673,CB-K22/0045,CB-K20/1030,CB-K20/0309,CB-K20/0041,CB-K19/0911,CB-K19/0909,CB-K19/0615,CB-K19/0321,CB-K19/0313,CB-K19/0054,CB-K19/0052,CB-K19/0049,CB-K19/0048,CB-K19/0046,CB-K18/1006",""
172.31.1.57,gitea14.trabalho_vulnnet,3000,tcp,6.1,Medium,30,"VendorFix","jQuery 1.0.3 < 3.5.0 XSS Vulnerability","jQuery is prone to a cross-site scripting (XSS) vulnerability
  when appending HTML containing option elements.","Installed version: 1.11.3
Fixed version:     3.5.0
Installation
path / port:       /vendor/plugins/jquery/jquery.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://gitea14.trabalho_vulnnet:3000/vendor/plugins/jquery/jquery.min.js
- Referenced at:   http://gitea14.trabalho_vulnnet:3000/install/
",1.3.6.1.4.1.25623.1.0.143813,"CVE-2020-11023",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:41:41Z,d231bea2-a014-4c07-959b-6081c42a4a90,"","Update to version 3.5.0 or later.","jQuery versions starting from 1.0.3 and prior to version
  3.5.0.","Passing HTML containing <option> elements from untrusted
  sources - even after sanitizing them - to one of jQuery's DOM manipulation methods (i.e. .html(),
  .append(), and others) may execute untrusted code.","Checks if a vulnerable version is present on the target host.
Details:
jQuery 1.0.3 < 3.5.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.143813)
Version used: 2025-01-31T15:39:24Z
","","","DFN-CERT-2025-2802,DFN-CERT-2025-1803,DFN-CERT-2025-0559,DFN-CERT-2025-0497,DFN-CERT-2025-0373,DFN-CERT-2025-0348,DFN-CERT-2024-2743,DFN-CERT-2023-2027,DFN-CERT-2023-1197,DFN-CERT-2023-0481,DFN-CERT-2023-0245,DFN-CERT-2022-1988,DFN-CERT-2022-1610,DFN-CERT-2022-0119,DFN-CERT-2022-0074,DFN-CERT-2021-2348,DFN-CERT-2021-1687,DFN-CERT-2021-1111,DFN-CERT-2021-0820,DFN-CERT-2021-0633,DFN-CERT-2021-0563,DFN-CERT-2021-0545,DFN-CERT-2020-2776,DFN-CERT-2020-2423,DFN-CERT-2020-2335,DFN-CERT-2020-2287,DFN-CERT-2020-2227,DFN-CERT-2020-2209,DFN-CERT-2020-2074,DFN-CERT-2020-1743,DFN-CERT-2020-1712,DFN-CERT-2020-1509,DFN-CERT-2020-1506,DFN-CERT-2020-1433,DFN-CERT-2020-1163,DFN-CERT-2020-1099,WID-SEC-2025-1459,WID-SEC-2024-3191,WID-SEC-2024-1872,WID-SEC-2023-0239,WID-SEC-2023-0063,WID-SEC-2022-1347,WID-SEC-2022-1189,WID-SEC-2022-0757,WID-SEC-2022-0732,CB-K21/1085,CB-K21/1067,CB-K21/0418,CB-K20/1049,CB-K20/1027,CB-K20/1025,CB-K20/1024,CB-K20/1021,CB-K20/1008,CB-K20/0870,CB-K20/0800,CB-K20/0705,CB-K20/0521",""
