IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,9.8,Critical,80,"VendorFix","Grafana Authentication Bypass Vulnerability","Grafana is prone to an Authentication Bypass vulnerability.","Installed version: 5.1.0
Fixed version:     5.2.3

",1.3.6.1.4.1.25623.1.0.113260,"CVE-2018-15727",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,9405b57c-0c97-45d2-8aef-922e5bdfaf59,"Knowing only the username, an attacker can get access with the privilege level of any user.","Update to version 4.6.4 and 5.2.3 respectively.","Grafana 2.0.0 through 4.6.3 and 5.0.0 through 5.2.2.","An attacker can generate a valid remember me cookie knowing only a username of an LDAP or OAuth user.","Checks if a vulnerable version is present on the target host.
Details:
Grafana Authentication Bypass Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.113260)
Version used: 2023-07-20T05:05:17Z
","","","DFN-CERT-2020-1033,DFN-CERT-2019-2274,DFN-CERT-2019-2166,DFN-CERT-2018-2574,CB-K18/1179",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,8.8,High,80,"VendorFix","Grafana CSRF Vulnerability (GHSA-cmf4-h3xc-jw8w)","Grafana is prone to a cross-site request forgery (CSRF)
  vulnerability.","Installed version: 5.1.0
Fixed version:     7.5.15
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.147617,"CVE-2022-21703",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,45ac6c48-51e7-45e5-b0e2-49974110b0fe,"","Update to version 7.5.15, 8.3.5 or later.","Grafana version 3.0-beta1 through 7.5.14 and 8.x through 8.3.4.","","An attacker can exploit this vulnerability for privilege
  escalation by tricking an authenticated user into inviting the attacker as a new user with
  high privileges.
Details:
Grafana CSRF Vulnerability (GHSA-cmf4-h3xc-jw8w)
(OID: 1.3.6.1.4.1.25623.1.0.147617)
Version used: 2022-05-02T03:04:50Z
","","","DFN-CERT-2022-2496,DFN-CERT-2022-2397,DFN-CERT-2022-2350,DFN-CERT-2022-1386,DFN-CERT-2022-0922,DFN-CERT-2022-0794,WID-SEC-2022-0407,CB-K22/0159",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,8.2,High,80,"VendorFix","Grafana 3.0.1 < 6.7.4, 7.0 < 7.0.2 SSRF Vulnerability","Grafana is prone to a server-side request forgery (SSRF)
  vulnerability.","Installed version: 5.1.0
Fixed version:     6.7.4
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.144077,"CVE-2020-13379",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,d61712e2-a1b4-4c7e-82a8-5eadb56875d1,"","Update to version 6.7.4, 7.0.2 or later.","Grafana versions 3.0.1 - 7.0.1.","The avatar feature in Grafana has an SSRF Incorrect Access Control issue.
  This vulnerability allows any unauthenticated user/client to make Grafana send HTTP requests to any URL and
  return its result to the user/client. This can be used to gain information about the network that Grafana is
  running on.","Checks if a vulnerable version is present on the target host.
Details:
Grafana 3.0.1 < 6.7.4, 7.0 < 7.0.2 SSRF Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.144077)
Version used: 2024-06-28T15:38:46Z
","","","DFN-CERT-2021-1282,DFN-CERT-2021-0979,DFN-CERT-2021-0786,DFN-CERT-2021-0078,DFN-CERT-2020-2502,DFN-CERT-2020-2246,DFN-CERT-2020-2203,DFN-CERT-2020-2171,DFN-CERT-2020-1587,DFN-CERT-2020-1532,DFN-CERT-2020-1422,DFN-CERT-2020-1371,DFN-CERT-2020-1274,DFN-CERT-2020-1201,CB-K20/0533",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,8.1,High,80,"VendorFix","Grafana < 8.5.15, 9 < 9.2.4 Multiple Vulnerabilities","Grafana is prone to multiple vulnerabilities.","Installed version: 5.1.0
Fixed version:     8.5.15
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.126208,"CVE-2022-39306,CVE-2022-39307",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,ffb385e0-890a-495f-a638-8342da19ea02,"","Update to version 8.5.15, 9.2.4 or later.","Grafana prior to version 8.5.15 and version 9 prior to
  9.2.4.","The following vulnerabilities exist:

  - CVE-2022-39306: Vulnerability makes it possible to use the invitation link to sign up with an
  arbitrary username/email with a malicious intent

  - CVE-2022-39307: The impacted endpoint leaks information to unauthenticated users and introduces
  a security risk.","Checks if a vulnerable version is present on the target host.
Details:
Grafana < 8.5.15, 9 < 9.2.4 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.126208)
Version used: 2023-10-18T05:05:17Z
","","","DFN-CERT-2023-2756,DFN-CERT-2023-1395,DFN-CERT-2023-0322,WID-SEC-2023-0334",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,8.1,High,80,"VendorFix","Grafana Image Renderer Vulnerability (GHSA-2cfh-233g-m4c5)","Grafana is prone to a vulnerability in Grafana Image Renderer.","Installed version: 5.1.0
Fixed version:     8.3.11
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.148673,"CVE-2022-31176",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,fecbc7f4-e14b-4ef8-b238-c5cf8892cfef,"","Update to version 8.3.11, 8.4.11, 8.5.11, 9.0.8, 9.1.2 or
  later.","Grafana version 9.x and prior.","The Chromium browser embedded in the Grafana image renderer
  allows for 'printing' of unauthorized files in a PNG file. This makes it possible for a malicious
  user to retrieve unauthorized files under some network conditions or via a fake datasource (if
  the user has admin permissions in Grafana). This vulnerability permits unauthorized file
  disclosure and is a potential DoS vector through targeting of extremely large files.","Checks if a vulnerable version is present on the target host.
Details:
Grafana Image Renderer Vulnerability (GHSA-2cfh-233g-m4c5)
(OID: 1.3.6.1.4.1.25623.1.0.148673)
Version used: 2023-10-18T05:05:17Z
","","","WID-SEC-2022-1221",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,7.5,High,80,"VendorFix","Grafana 2.0.0 < 5.4.5, 6.x < 6.3.4 DoS Vulnerability","Grafana is prone to a denial of service vulnerability.","Installed version: 5.1.0
Fixed version:     5.4.5
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.142855,"CVE-2019-15043",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,dd8d7783-dc48-45d2-91e1-69e020428d4c,"","Update to version 5.4.5, 6.3.4 or later.","Grafana versions 2.0.0 to 6.3.3.","Parts of the HTTP API allow unauthenticated use. This makes it possible to run
  a denial of service attack against a server running Grafana.","Checks if a vulnerable version is present on the target host.
Details:
Grafana 2.0.0 < 5.4.5, 6.x < 6.3.4 DoS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.142855)
Version used: 2021-08-30T14:01:20Z
","","","DFN-CERT-2021-1282,DFN-CERT-2021-0786,DFN-CERT-2020-2502,DFN-CERT-2020-2246,DFN-CERT-2020-2203,DFN-CERT-2020-2171,DFN-CERT-2020-1587,DFN-CERT-2020-1532,DFN-CERT-2020-1371,DFN-CERT-2020-1033,DFN-CERT-2019-2321,DFN-CERT-2019-2274,DFN-CERT-2019-2166,DFN-CERT-2019-1811,CB-K20/0394",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,7.5,High,80,"VendorFix","Grafana Privilege Escalation Vulnerability (GHSA-x744-mm8v-vpgr)","Grafana is prone to a privilege escalation vulnerability.","Installed version: 5.1.0
Fixed version:     8.5.14
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.124198,"CVE-2022-39201",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,b82b2d08-970d-4e9b-827f-8fa6067379bb,"The destination plugin could receive a Grafana authentication
  cookie of the user.","Update to version 8.5.14, 9.1.8 or later.","Grafana version 5.0.0-beta1 through 8.5.13, 9.x through 9.1.7.","","Checks if a vulnerable version is present on the target host.
Details:
Grafana Privilege Escalation Vulnerability (GHSA-x744-mm8v-vpgr)
(OID: 1.3.6.1.4.1.25623.1.0.124198)
Version used: 2023-10-18T05:05:17Z
","","","DFN-CERT-2023-2756,DFN-CERT-2023-1395,DFN-CERT-2023-0322,WID-SEC-2022-1702",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,7.5,High,80,"VendorFix","Grafana < 7.4.2 DoS Vulnerability","Grafana is prone to a denial of service (DoS) vulnerability.","Installed version: 5.1.0
Fixed version:     7.4.2
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.145598,"CVE-2021-27358",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,9b3332cb-d775-4597-94a0-8ece1639b326,"","Update to version 7.4.2 or later.","Grafana versions through 7.4.1.","The snapshot feature in Grafana can allow an unauthenticated remote
  attacker to trigger a DoS via a remote API call if a commonly used configuration is set.","Checks if a vulnerable version is present on the target host.
Details:
Grafana < 7.4.2 DoS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.145598)
Version used: 2021-08-17T14:01:00Z
","","","DFN-CERT-2021-2376,DFN-CERT-2021-1739,DFN-CERT-2021-1670,DFN-CERT-2021-1622,DFN-CERT-2021-1282,DFN-CERT-2021-1281,CB-K21/0294",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,7.3,High,80,"VendorFix","Grafana 2.0.1 < 7.5.11, 8.x < 8.1.6 Snapshot Authentication Bypass Vulnerability (GHSA-69j6-29vr-p3j9)","Grafana is prone to an authentication bypass vulnerability in
  the snapshot functionality.","Installed version: 5.1.0
Fixed version:     7.5.11
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.146863,"CVE-2021-39226",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,c63f1d1e-34b9-4caa-8a6d-8315bda1c065,"","Update to version 7.5.11, 8.1.6 or later.","Grafana version 2.0.1 through 7.5.10 and 8.x through 8.1.5.","Unauthenticated and authenticated users are able to view the
  snapshot with the lowest database key by accessing the literal paths:

    /dashboard/snapshot/:key, or

    /api/snapshots/:key

  If the snapshot 'public_mode' configuration setting is set to true (vs default of false),
  unauthenticated users are able to delete the snapshot with the lowest database key by accessing
  the literal path:

    /api/snapshots-delete/:deleteKey

  Regardless of the snapshot 'public_mode' setting, authenticated users are able to delete the
  snapshot with the lowest database key by accessing the literal paths:

    /api/snapshots/:key, or

    /api/snapshots-delete/:deleteKey

  The combination of deletion and viewing enables a complete walk through all snapshot data while
  resulting in complete snapshot data loss.","Checks if a vulnerable version is present on the target host.
Details:
Grafana 2.0.1 < 7.5.11, 8.x < 8.1.6 Snapshot Authentication Bypass Vulnerabi...
(OID: 1.3.6.1.4.1.25623.1.0.146863)
Version used: 2022-09-14T10:57:19Z
","","","DFN-CERT-2022-2121,DFN-CERT-2022-2048,DFN-CERT-2022-2003,DFN-CERT-2022-1386,DFN-CERT-2022-0922,DFN-CERT-2022-0569,DFN-CERT-2022-0152,DFN-CERT-2021-2110,WID-SEC-2022-0401,CB-K21/1040",""
172.30.19.2,grafana-old.trabalho_vulnnet,3000,tcp,6.6,Medium,80,"VendorFix","Grafana Privilege Escalation Vulnerability (GHSA-ff5c-938w-8c9q)","Grafana is prone to a privilege escalation vulnerability.","Installed version: 5.1.0
Fixed version:     8.5.13
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.148743,"CVE-2022-35957",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:12:33Z,f03cc50b-7c1a-47d0-8362-e044be4e3ede,"","Update to version 8.5.13, 9.0.9, 9.1.6 or later.","Grafana prior to version 8.5.13, version 9.0.x through 9.0.8
  and 9.1.x through 9.1.5 if the Auth Proxy is used.","Grafana allows an escalation from Admin privileges to Server
  Admin when Auth proxy authentication is used.

  Auth proxy allows to authenticate a user by only providing the username (or email) in a
  X-WEBAUTH-USER HTTP header: the trust assumption is that a front proxy will take care of
  authentication and that Grafana server is publicly reachable only with this front proxy.

  Datasource proxy breaks this assumption:

  - it is possible to configure a fake datasource pointing to a localhost Grafana install with a
  X-WEBAUTH-USER HTTP header containing admin username.

  - This fake datasource can be called publicly via this proxying feature.","Checks if a vulnerable version is present on the target host.
Details:
Grafana Privilege Escalation Vulnerability (GHSA-ff5c-938w-8c9q)
(OID: 1.3.6.1.4.1.25623.1.0.148743)
Version used: 2023-10-18T05:05:17Z
","","","DFN-CERT-2023-1430,DFN-CERT-2023-1395,DFN-CERT-2023-1045,DFN-CERT-2022-2825,DFN-CERT-2022-2350,WID-SEC-2022-1486",""
