IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.9.4,bwapp-alt.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:5.5.9
Installed version: 5.5.9
EOL version:       5.5
EOL date:          2016-07-21
",1.3.6.1.4.1.25623.1.0.105889,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,77abf63a-ee25-46af-99f9-231c6d65156e,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,80,tcp,9.8,Critical,30,"WillNotFix","PHP <= 7.1.5 Multiple DoS Vulnerabilities","PHP is prone to multiple denial of service (DoS)
  vulnerabilities.","Installed version: 5.5.9
Fixed version:     None
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117799,"CVE-2017-8923,CVE-2017-9119",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,49687d3e-8cb4-45f1-90be-26801204477a,"","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","PHP versions through 7.1.5.","The following flaws exist:

  - CVE-2017-8923: The zend_string_extend function in Zend/zend_string.h does not prevent changes to
  string objects that result in a negative length, which allows remote attackers to cause a denial
  of service (application crash) or possibly have unspecified other impact by leveraging a script's
  use of .= with a long string.

  - CVE-2017-9119: The i_zval_ptr_dtor function in Zend/zend_variables.h allows attackers to cause a
  denial of service (memory consumption and application crash) or possibly have unspecified other
  impact by triggering crafted operations on array data structures.","Checks if a vulnerable version is present on the target host.
Details:
PHP <= 7.1.5 Multiple DoS Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.117799)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-0485,DFN-CERT-2022-0455,DFN-CERT-2022-0431,DFN-CERT-2022-0410,WID-SEC-2024-3760",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.0.12 RCE / DoS Vulnerability - Linux","PHP is prone to a remote code execution (RCE) or denial of
  service (DoS) vulnerability.","Installed version: 5.5.9
Fixed version:     7.0.12
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117800,"CVE-2016-7480",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,f140734b-7c54-475b-84eb-41e034925af6,"","Update to version 7.0.12 or later.","PHP versions prior to 7.0.12.","The SplObjectStorage unserialize implementation in
  ext/spl/spl_observer.c does not verify that a key is an object, which allows remote attackers to
  execute arbitrary code or cause a denial of service (uninitialized memory access) via crafted
  serialized data.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.0.12 RCE / DoS Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117800)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2017-0325,CB-K17/0318",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,80,tcp,9.8,Critical,30,"WillNotFix","PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability","PHP is prone to a denial of service (DoS) vulnerability.","Installed version: 5.5.9
Fixed version:     None
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117802,"CVE-2016-9138",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,b4c4609d-8d9e-4a65-8771-9abf9ff71ddc,"","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","PHP versions through 5.6.27 and 7.0.x through 7.0.12.","PHP mishandles property modification during __wakeup
  processing, which allows remote attackers to cause a denial of service or possibly have
  unspecified other impact via crafted serialized data, as demonstrated by Exception::__toString
  with DateInterval::__wakeup.","Checks if a vulnerable version is present on the target host.
Details:
PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.117802)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2017-0325,DFN-CERT-2016-2053,CB-K17/0318,CB-K16/1943",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.1.33, 7.2.x < 7.2.24, 7.3.x < 7.3.11 RCE Vulnerability - Version Check","PHP is prone to a remote code execution (RCE) vulnerability in
  certain nginx + php-fpm configurations.","Installed version: 5.5.9
Fixed version:     7.1.33
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.108692,"CVE-2019-11043",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,faa9b2a0-938a-4287-8726-c65016986edb,"Successful exploitation would allow an unauthenticated remote
  attacker to execute arbitrary code on the target machine.","Update to version 7.1.33, 7.2.24, 7.3.11 or later.

  As an alternative a workaround to update the nginx configuration to mitigate this vulnerability is
  described at the PHP.net bugtracker linked in the references.","PHP prior to version 7.1.33, 7.2.x prior to 7.2.24 and 7.3.x
  prior to 7.3.11.","The file sapi/fpm/fpm/fpm_main.c contains pointer arithmetic
  that assumes that env_path_info has a prefix equal to the path to the php script. However, the
  code does not check this assumption is satisfied. The absence of the check can lead to an invalid
  pointer in the 'path_info' variable.

  Such conditions can be achieved in a pretty standard Nginx configuration. The regexp in
  `fastcgi_split_path_info` directive can be broken using the newline character (in encoded form,
  %0a). Broken regexp leads to empty PATH_INFO, which triggers the bug.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.1.33, 7.2.x < 7.2.24, 7.3.x < 7.3.11 RCE Vulnerability - Version Che...
(OID: 1.3.6.1.4.1.25623.1.0.108692)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2022-2638,DFN-CERT-2020-0415,DFN-CERT-2020-0193,DFN-CERT-2019-2283,DFN-CERT-2019-2206,WID-SEC-2022-0418,CB-K20/0081,CB-K19/0943",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,3306,tcp,9.8,Critical,30,"VendorFix","Oracle MySQL Server <= 5.7.43, 8.x <= 8.0.34, 8.1.0 Security Update (cpuoct2023) - Linux","Oracle MySQL Server is prone to multiple vulnerabilities.","Installed version: 5.5.47
Fixed version:     5.7.44
Installation
path / port:       3306/tcp

",1.3.6.1.4.1.25623.1.0.151217,"CVE-2023-38545,CVE-2023-22084,CVE-2023-38546",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,94010fd6-d648-43b2-aa14-b25aa6b26cc3,"","Update to version 5.7.44, 8.0.35, 8.1.1 or later.","Oracle MySQL Server version 5.7.43 and prior, 8.x through
  8.0.34 and 8.1.0.","","Checks if a vulnerable version is present on the target host.
Details:
Oracle MySQL Server <= 5.7.43, 8.x <= 8.0.34, 8.1.0 Security Update (cpuoct2...
(OID: 1.3.6.1.4.1.25623.1.0.151217)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mysql:mysql:5.5.47-
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2024-2795,DFN-CERT-2024-2543,DFN-CERT-2024-1601,DFN-CERT-2024-1517,DFN-CERT-2024-1188,DFN-CERT-2024-1090,DFN-CERT-2024-1025,DFN-CERT-2024-0963,DFN-CERT-2024-0869,DFN-CERT-2024-0593,DFN-CERT-2024-0454,DFN-CERT-2024-0376,DFN-CERT-2024-0220,DFN-CERT-2024-0185,DFN-CERT-2024-0184,DFN-CERT-2024-0181,DFN-CERT-2024-0133,DFN-CERT-2024-0132,DFN-CERT-2024-0127,DFN-CERT-2024-0108,DFN-CERT-2023-3124,DFN-CERT-2023-3071,DFN-CERT-2023-3064,DFN-CERT-2023-2988,DFN-CERT-2023-2941,DFN-CERT-2023-2819,DFN-CERT-2023-2763,DFN-CERT-2023-2681,DFN-CERT-2023-2680,DFN-CERT-2023-2643,DFN-CERT-2023-2536,DFN-CERT-2023-2475,DFN-CERT-2023-2458,WID-SEC-2026-0180,WID-SEC-2024-3377,WID-SEC-2024-1226,WID-SEC-2024-1086,WID-SEC-2024-0893,WID-SEC-2024-0290,WID-SEC-2024-0178,WID-SEC-2024-0175,WID-SEC-2024-0123,WID-SEC-2024-0119,WID-SEC-2024-0110,WID-SEC-2023-2788,WID-SEC-2023-2690,WID-SEC-2023-2570",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 5.6.7 DoS Vulnerability - Linux","PHP is prone to a denial of service (DoS) vulnerability.","Installed version: 5.5.9
Fixed version:     5.6.7
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.808673,"CVE-2015-4601",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,2fb036a9-7d4c-4db1-95cb-b4b49c667888,"Successfully exploiting this issue allow remote attackers to
  cause a denial of service.","Update to version 5.6.7 or later.","PHP prior to version 5.6.7 on Linux.","The flaw is due to 'type confusion' issues in
  'ext/soap/php_encoding.c', 'ext/soap/php_http.c', and 'ext/soap/soap.c' scripts.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 5.6.7 DoS Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.808673)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2016-1004,DFN-CERT-2015-1217,DFN-CERT-2015-1083,DFN-CERT-2015-1017,DFN-CERT-2015-0989,DFN-CERT-2015-0983,DFN-CERT-2015-0900,CB-K16/0944,CB-K15/1158,CB-K15/1031,CB-K15/0966,CB-K15/0942,CB-K15/0936,CB-K15/0854",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux","PHP is prone to a denial of service (DoS) vulnerability.","Installed version: 5.5.9
Fixed version:     5.6.29
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117803,"CVE-2016-9935",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,11a5dadf-2261-4502-a1f1-7f944a7325a5,"","Update to version 5.6.29, 7.0.14 or later.","PHP versions prior to 5.6.29 and 7.0.x prior to 7.0.14.","The php_wddx_push_element function in ext/wddx/wddx.c allows
  remote attackers to cause a denial of service (out-of-bounds read and memory corruption) or
  possibly have unspecified other impact via an empty boolean element in a wddxPacket XML
  document.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117803)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2018-0835,DFN-CERT-2017-0532,DFN-CERT-2017-0334,DFN-CERT-2017-0274,DFN-CERT-2017-0058,DFN-CERT-2017-0016,DFN-CERT-2016-2130,DFN-CERT-2016-2084,CB-K17/0527,CB-K17/0327,CB-K17/0269,CB-K17/0053,CB-K17/0015,CB-K16/2015,CB-K16/1982",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,3306,tcp,9.8,Critical,30,"VendorFix","Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.31 Security Update (cpuapr2023) - Linux","Oracle MySQL Server is prone to a vulnerability in InnoDB
  (zlib).","Installed version: 5.5.47
Fixed version:     5.7.42
Installation
path / port:       3306/tcp

",1.3.6.1.4.1.25623.1.0.149535,"CVE-2022-37434",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,dc689df3-1fc1-4a1a-a504-b34e90c548fc,"","Update to version 5.7.42, 8.0.32 or later.","Oracle MySQL Server version 5.7.41 and prior and 8.x through
  8.0.31.","","Checks if a vulnerable version is present on the target host.
Details:
Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.31 Security Update (cpuapr2023) - ...
(OID: 1.3.6.1.4.1.25623.1.0.149535)
Version used: 2025-09-09T05:38:49Z
","Product: cpe:/a:mysql:mysql:5.5.47-
Method: MariaDB / Oracle MySQL Detection (MySQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100152)
","","DFN-CERT-2024-0998,DFN-CERT-2024-0790,DFN-CERT-2024-0125,DFN-CERT-2023-3028,DFN-CERT-2023-2816,DFN-CERT-2023-2799,DFN-CERT-2023-1643,DFN-CERT-2023-0885,DFN-CERT-2023-0881,DFN-CERT-2023-0553,DFN-CERT-2023-0122,DFN-CERT-2023-0119,DFN-CERT-2023-0105,DFN-CERT-2022-2799,DFN-CERT-2022-2421,DFN-CERT-2022-2415,DFN-CERT-2022-2366,DFN-CERT-2022-2365,DFN-CERT-2022-2364,DFN-CERT-2022-2363,DFN-CERT-2022-2323,DFN-CERT-2022-1841,DFN-CERT-2022-1710,WID-SEC-2026-0180,WID-SEC-2024-1653,WID-SEC-2024-1591,WID-SEC-2024-0794,WID-SEC-2024-0122,WID-SEC-2024-0120,WID-SEC-2024-0064,WID-SEC-2023-2031,WID-SEC-2023-1812,WID-SEC-2023-1791,WID-SEC-2023-1790,WID-SEC-2023-1783,WID-SEC-2023-1728,WID-SEC-2023-1542,WID-SEC-2023-1350,WID-SEC-2023-1033,WID-SEC-2023-1031,WID-SEC-2023-1021,WID-SEC-2023-1016,WID-SEC-2023-0140,WID-SEC-2023-0137,WID-SEC-2023-0132,WID-SEC-2023-0126,WID-SEC-2023-0125,WID-SEC-2022-1888,WID-SEC-2022-1438,WID-SEC-2022-0929",""
172.30.9.4,bwapp-alt.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Linux","PHP released new versions which include a security fix.","Installed version: 5.5.9
Fixed version:     7.4.28
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.147657,"CVE-2021-21708",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,445f0d2c-d436-4b37-acbc-5f613fb4ec28,"","Update to version 7.4.28, 8.0.16, 8.1.3 or later.","PHP prior to version 7.4.28, 8.0.x through 8.0.15 and 8.1.x
  through 8.1.2.","Fix #81708: UAF due to php_filter_float() failing for ints.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Lin...
(OID: 1.3.6.1.4.1.25623.1.0.147657)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2024-1062,DFN-CERT-2023-1600,DFN-CERT-2022-2639,DFN-CERT-2022-2598,DFN-CERT-2022-2500,DFN-CERT-2022-2499,DFN-CERT-2022-1605,DFN-CERT-2022-0557,DFN-CERT-2022-0407,DFN-CERT-2022-0365,WID-SEC-2023-1737,WID-SEC-2022-1767,WID-SEC-2022-1335,WID-SEC-2022-1228,WID-SEC-2022-0280,CB-K22/0201",""
