IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.1.4,metasploitable3-alt.trabalho_vulnnet,445,tcp,10.0,Critical,30,"VendorFix","Samba Command Injection Vulnerability (CVE-2025-10230)","Samba is prone to a command injection vulnerability via WINS
  server hook script.","Installed version: 4.3.11
Fixed version:     4.21.9
Installation
path / port:       445/tcp

",1.3.6.1.4.1.25623.1.0.155661,"CVE-2025-10230",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,8203af6a-34ef-4640-a18c-a3b630cf4fa4,"","Update to version 4.21.9, 4.22.5, 4.23.2 or later.","Samba version 4.x prior to 4.21.9, 4.22.x prior to 4.22.5 and
  4.23.x prior to 4.23.2.","If a Samba server has WINS support enabled (it is off by
  default), and it has a 'wins hook' parameter specified, the program specified by that parameter
  will be run whenever a WINS name is changed.

  The WINS server used by the Samba Active Directory Domain Controller did not validate the names
  passed to the wins hook program, and it passed them by inserting them into a string run by a
  shell.

  WINS is an obsolete and trusting protocol, and clients can request any name that fits within the
  15 character NetBIOS limit. This includes some shell metacharacters, making it possible to run
  arbitrary commands on the host.

  The WINS server used by Samba when it is not a domain controller is unaffected.","Checks if a vulnerable version is present on the target host.
Details:
Samba Command Injection Vulnerability (CVE-2025-10230)
(OID: 1.3.6.1.4.1.25623.1.0.155661)
Version used: 2025-11-10T05:40:50Z
","Product: cpe:/a:samba:samba:4.3.11
Method: SMB NativeLanMan
(OID: 1.3.6.1.4.1.25623.1.0.102011)
","","DFN-CERT-2026-0218,DFN-CERT-2025-2874,WID-SEC-2025-2322",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,445,tcp,10.0,Critical,30,"VendorFix","Samba End of Life (EOL) Detection","The Samba version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""Samba"" version on the remote host has reached the end of life.

CPE:               cpe:/a:samba:samba:4.3.11
Installed version: 4.3.11
Location/URL:      445/tcp
EOL version:       4.3
EOL date:          2017-03-07
",1.3.6.1.4.1.25623.1.0.140159,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,ed26b08a-bd48-416d-ae49-8697eaa4e841,"An EOL version of Samba is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the Samba version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
Samba End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.140159)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:samba:samba:4.3.11
Method: SMB NativeLanMan
(OID: 1.3.6.1.4.1.25623.1.0.102011)
","","",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,80,tcp,10.0,Critical,95,"VendorFix","Drupal Coder RCE Vulnerability (SA-CONTRIB-2016-039) - Active Check","Drupal is prone to a remote code execution (RCE)
  vulnerability.","Vulnerable URL: http://metasploitable3-alt.trabalho_vulnnet/drupal/sites/all/modules/coder/coder_upgrade/scripts/coder_upgrade.run.php
",1.3.6.1.4.1.25623.1.0.105818,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,950f01a8-97dc-4871-8774-50856825251f,"","Install the latest version.","","The Coder module checks your Drupal code against coding
  standards and other best practices. It can also fix coding standard violations and perform basic
  upgrades on modules. The module doesn't sufficiently validate user inputs in a script file that
  has the php extension. A malicious unauthenticated user can make requests directly to this file to
  execute arbitrary php code.","Checks for known error message from affected modules.
Details:
Drupal Coder RCE Vulnerability (SA-CONTRIB-2016-039) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.105818)
Version used: 2023-07-21T05:05:22Z
","","","",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,21,tcp,10.0,Critical,99,"VendorFix","ProFTPD mod_copy Unauthenticated Copying Of Files Via SITE CPFR/CPTO Vulnerability (Apr 2015) - Active Check","ProFTPD is prone to an unauthenticated copying of files
  vulnerability.","The target was found to be vulnerable
",1.3.6.1.4.1.25623.1.0.105254,"CVE-2015-3306",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,c8d6b801-8827-4135-b463-77bce4f5d27a,"Under some circumstances this could result in remote code
  execution.","Ask the vendor for an update.","","","Tries to copy /etc/passwd to /tmp/passwd.copy with SITE
  CPFR/CPTO command.
Details:
ProFTPD 'mod_copy' Unauthenticated Copying Of Files Via SITE CPFR/CPTO Vulne...
(OID: 1.3.6.1.4.1.25623.1.0.105254)
Version used: 2025-09-24T05:39:03Z
","","","DFN-CERT-2015-0839,DFN-CERT-2015-0576,CB-K15/0791,CB-K15/0553",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","phpMyAdmin End of Life (EOL) Detection - Linux","The phpMyAdmin version on the remote host has reached the End of Life (EOL) and should not be used anymore.","The ""phpMyAdmin"" version on the remote host has reached the end of life.

CPE:               cpe:/a:phpmyadmin:phpmyadmin:3.5.8
Installed version: 3.5.8
Location/URL:      /phpmyadmin
EOL version:       3.5
EOL date:          unknown
",1.3.6.1.4.1.25623.1.0.113015,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,a2ffa34f-7e37-4040-97ca-0d7e25ecf122,"An EOL version of phpMyAdmin is not receiving any security updates from the vendor. Unfixed security vulnerabilities
  might be leveraged by an attacker to compromise the security of this host.","Update the phpMyAdmin version on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
phpMyAdmin End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113015)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","Drupal End of Life (EOL) Detection - Linux","The Drupal version on the remote host has reached the End of
  Life (EOL) and should not be used anymore.","The ""Drupal"" version on the remote host has reached the end of life.

CPE:               cpe:/a:drupal:drupal:7.5
Installed version: 7.5
Location/URL:      /drupal
EOL version:       7
EOL date:          2025-01-05
",1.3.6.1.4.1.25623.1.0.113023,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,dc5df530-8948-4de9-bbb8-b55ff5b4fd67,"An EOL version of Drupal is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the Drupal version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
Drupal End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113023)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:5.4.5
Installed version: 5.4.5
EOL version:       5.4
EOL date:          2015-09-03
",1.3.6.1.4.1.25623.1.0.105889,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,8d3b07cd-f3b2-4eec-bd1d-78aab0bd392f,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.4.5
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,80,tcp,9.9,Critical,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.6.2
Installed version: 1.6.2
Location/URL:      /phpmyadmin/setup/../js/jquery/jquery-1.6.2.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://metasploitable3-alt.trabalho_vulnnet/phpmyadmin/setup/../js/jquery/jquery-1.6.2.js
- Referenced at:   http://metasploitable3-alt.trabalho_vulnnet/phpmyadmin/setup/
",1.3.6.1.4.1.25623.1.0.117149,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,9e8830de-d20b-45ea-9448-d984dd2e8e59,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,80,tcp,9.9,Critical,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.6.2
Installed version: 1.6.2
Location/URL:      /phpmyadmin/js/jquery/jquery-1.6.2.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://metasploitable3-alt.trabalho_vulnnet/phpmyadmin/js/jquery/jquery-1.6.2.js
- Referenced at:   http://metasploitable3-alt.trabalho_vulnnet/phpmyadmin/
",1.3.6.1.4.1.25623.1.0.117149,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,28c2f18a-37ee-4765-9e22-38d1134a6bce,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.1.4,metasploitable3-alt.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 5.6.28, 7.x < 7.0.13 Multiple Vulnerabilities (Nov 2016) - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 5.4.5
Fixed version:     5.6.28
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.811489,"CVE-2016-8670,CVE-2016-9933,CVE-2016-9934,CVE-2016-10397",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,7595e05f-c322-42f4-85e4-124184c9c875,"","Update to version 5.6.28, 7.0.13 or later.","PHP prior to version 5.6.28 and 7.x prior to 7.0.13.","The following flaws exist:

  - CVE-2016-8670: Stack Buffer Overflow in GD dynamicGetbuf

  - CVE-2016-9933, CVE-2016-9934: Multiple denial of service (DoS) vulnerabilities

  - CVE-2016-10397: Security bypass vulnerability","Checks if a vulnerable version is present on the target host.
Details:
PHP < 5.6.28, 7.x < 7.0.13 Multiple Vulnerabilities (Nov 2016) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.811489)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.4.5
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2019-2707,DFN-CERT-2018-0835,DFN-CERT-2017-1647,DFN-CERT-2017-1529,DFN-CERT-2017-1420,DFN-CERT-2017-1295,DFN-CERT-2017-0274,DFN-CERT-2017-0131,DFN-CERT-2017-0058,DFN-CERT-2017-0016,DFN-CERT-2016-2130,DFN-CERT-2016-2123,DFN-CERT-2016-2053,DFN-CERT-2016-1887,DFN-CERT-2016-1704,CB-K17/1575,CB-K17/1461,CB-K17/1358,CB-K17/1252,CB-K17/0269,CB-K17/0124,CB-K17/0053,CB-K17/0015,CB-K16/2015,CB-K16/2011,CB-K16/1943,CB-K16/1790,CB-K16/1606",""
