IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.2.2,proftpd-vuln.trabalho_vulnnet,22,tcp,9.8,Critical,30,"VendorFix","OpenBSD OpenSSH < 9.3p2 RCE Vulnerability","OpenBSD OpenSSH is prone to a remote code execution (RCE)
  vulnerability in OpenSSH's forwarded ssh-agent.","Installed version: 8.4p1
Fixed version:     9.3p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.104869,"CVE-2023-38408",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,26315dd8-3ac4-451a-82e6-120abcf5df3f,"","Update to version 9.3p2 or later.","OpenBSD OpenSSH prior to version 9.3p2.

  The following conditions needs to be met:

  - Exploitation requires the presence of specific libraries on the victim system.

  - Remote exploitation requires that the agent was forwarded to an attacker-controlled system.","A condition where specific libraries loaded via ssh-agent(1)'s
  PKCS#11 support could be abused to achieve remote code execution via a forwarded agent socket.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH < 9.3p2 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.104869)
Version used: 2023-10-13T05:06:10Z
","Product: cpe:/a:openbsd:openssh:8.4p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-2802,DFN-CERT-2024-1260,DFN-CERT-2024-0491,DFN-CERT-2023-2792,DFN-CERT-2023-2179,DFN-CERT-2023-1961,DFN-CERT-2023-1920,DFN-CERT-2023-1845,DFN-CERT-2023-1773,DFN-CERT-2023-1665,WID-SEC-2024-3195,WID-SEC-2024-1248,WID-SEC-2024-1082,WID-SEC-2024-0064,WID-SEC-2023-2679,WID-SEC-2023-2625,WID-SEC-2023-2240,WID-SEC-2023-1843,WID-SEC-2023-1819",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.59
Fixed version:     2.4.60
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114682,"CVE-2024-36387,CVE-2024-38473,CVE-2024-38474,CVE-2024-38475,CVE-2024-38476,CVE-2024-38477,CVE-2024-39573",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,cd75f888-40dd-4a09-883d-aedc95f6b0c1,"","Update to version 2.4.60 or later.","Apache HTTP Server version 2.4.59 and prior.","The following flaws exist:

  - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2

  - CVE-2024-38473: Proxy encoding problem

  - CVE-2024-38474: Weakness with encoded question marks in backreferences

  - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem
  path

  - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers
  via internal redirect

  - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request

  - CVE-2024-39573: mod_rewrite proxy handler substitution","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114682)
Version used: 2025-08-07T05:44:51Z
","Product: cpe:/a:apache:http_server:2.4.59
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2025-1898,DFN-CERT-2025-1808,DFN-CERT-2025-0974,DFN-CERT-2025-0854,DFN-CERT-2025-0170,DFN-CERT-2024-2841,DFN-CERT-2024-2787,DFN-CERT-2024-2736,DFN-CERT-2024-2342,DFN-CERT-2024-2214,DFN-CERT-2024-2201,DFN-CERT-2024-2180,DFN-CERT-2024-2110,DFN-CERT-2024-2017,DFN-CERT-2024-1963,DFN-CERT-2024-1920,DFN-CERT-2024-1919,DFN-CERT-2024-1911,DFN-CERT-2024-1907,DFN-CERT-2024-1893,DFN-CERT-2024-1816,DFN-CERT-2024-1811,DFN-CERT-2024-1784,DFN-CERT-2024-1741,DFN-CERT-2024-1699,WID-SEC-2025-1572,WID-SEC-2025-0818,WID-SEC-2025-0148,WID-SEC-2025-0143,WID-SEC-2024-3291,WID-SEC-2024-3199,WID-SEC-2024-1913,WID-SEC-2024-1504",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,22,tcp,7.5,High,30,"Mitigation","Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)","The remote SSH server is supporting Diffie-Hellman ephemeral
  (DHE) Key Exchange (KEX) algorithms and thus could be prone to a denial of service (DoS)
  vulnerability.","The remote SSH server supports the following DHE KEX algorithm(s):

diffie-hellman-group14-sha256
diffie-hellman-group16-sha512
diffie-hellman-group18-sha512
diffie-hellman-group-exchange-sha256
",1.3.6.1.4.1.25623.1.0.117839,"CVE-2002-20001,CVE-2022-40735,CVE-2024-41996",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,9f6da285-bd1e-42e5-8be7-b91390c46dc2,"This vulnerability allows remote attackers (from the client side)
  to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE
  modular-exponentiation calculations, also known as a D(HE)ater attack.

  There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe
  issues such as a slowdown in SSH connections.","'- DHE key exchange should be disabled if no other mitigation
  mechanism can be used and either elliptic-curve variant of Diffie-Hellman (ECDHE) or RSA key
  exchange is supported by the clients. The fact that RSA key exchange is not forward secret should
  be considered.

  - Limit the maximum number of concurrent connections in e.g. the configuration of the remote
  server. For OpenSSH this limit can be configured via the 'MaxStartups' option, for other products
  please refer to the manual of the product in question on configuration possibilities.","","'- CVE-2002-20001: The Diffie-Hellman Key Agreement Protocol
  allows remote attackers (from the client side) to send arbitrary numbers that are actually not
  public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a
  D(HE)ater attack. The client needs very little CPU resources and network bandwidth. The attack may
  be more disruptive in cases where a client can require a server to select its largest supported
  key size. The basic attack scenario is that the client must claim that it can only communicate
  with DHE, and the server must be configured to allow DHE.

  - CVE-2022-40735: The Diffie-Hellman Key Agreement Protocol allows use of long exponents that
  arguably make certain calculations unnecessarily expensive, because the 1996 van Oorschot and
  Wiener paper found that '(appropriately) short exponents' can be used when there are adequate
  subgroup constraints, and these short exponents can lead to less expensive calculations than for
  long exponents. This issue is different from CVE-2002-20001 because it is based on an observation
  about exponent size, rather than an observation about numbers that are not public keys. The
  specific situations in which calculation expense would constitute a server-side vulnerability
  depend on the protocol (e.g., TLS, SSH, or IKE) and the DHE implementation details. In general,
  there might be an availability concern because of server-side resource consumption from DHE
  modular-exponentiation calculations. Finally, it is possible for an attacker to exploit this
  vulnerability and CVE-2002-20001 together.

  - CVE-2024-41996: Validating the order of the public keys in the Diffie-Hellman Key Agreement
  Protocol, when an approved safe prime is used, allows remote attackers (from the client side) to
  trigger unnecessarily expensive server-side DHE modular-exponentiation calculations. The client
  may cause asymmetric resource consumption. The basic attack scenario is that the client must claim
  that it can only communicate with DHE, and the server must be configured to allow DHE and validate
  the order of the public key.","Checks the supported KEX algorithms of the remote SSH
  server.
Details:
Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)
(OID: 1.3.6.1.4.1.25623.1.0.117839)
Version used: 2024-10-03T05:05:33Z
","Product: cpe:/a:ietf:secure_shell_protocol
Method: SSH Protocol Algorithms Supported
(OID: 1.3.6.1.4.1.25623.1.0.105565)
","","DFN-CERT-2025-3324,DFN-CERT-2024-2847,DFN-CERT-2024-2578,DFN-CERT-2024-1671,DFN-CERT-2023-1697,DFN-CERT-2023-1332,DFN-CERT-2022-2147,DFN-CERT-2022-0437,DFN-CERT-2021-2622,WID-SEC-2024-3056,WID-SEC-2023-1886,WID-SEC-2023-1352,WID-SEC-2022-2251,WID-SEC-2022-2000,CB-K22/0224,CB-K21/1276",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,22,tcp,7.4,High,30,"WillNotFix","OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability","OpenBSD OpenSSH is prone to a command injection
  vulnerability.","Installed version: 8.4p1
Fixed version:     None
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.113736,"CVE-2020-15778",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,68a55554-d07d-4b1f-92d8-1d09c184a8ca,"Successful exploitation would allow an attacker to execute
  arbitrary code on the target machine.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","OpenBSD OpenSSH through version 8.6 (initially reported for
  8.3p1).","scp of OpenSSH allows command injection in spc.c via backtick
  characters in the destination argument.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.113736)
Version used: 2025-07-29T05:44:59Z
","Product: cpe:/a:openbsd:openssh:8.4p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2020-1691,WID-SEC-2024-1082,WID-SEC-2023-1599,WID-SEC-2022-2413,WID-SEC-2022-1308,CB-K21/1268",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,22,tcp,7.0,High,30,"VendorFix","OpenSSH 6.2 <= 8.7 Privilege Escalation Vulnerability","OpenSSH is prone to a privilege scalation vulnerability in
  certain configurations.","Installed version: 8.4p1
Fixed version:     8.8
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.117696,"CVE-2021-41617",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,24a26c7b-b9cb-49a4-b65f-f6abc7950501,"","Update to version 8.8 or later.","OpenSSH versions 6.2 through 8.7.","sshd failed to correctly initialise supplemental groups when
  executing an AuthorizedKeysCommand or AuthorizedPrincipalsCommand, where a
  AuthorizedKeysCommandUser or AuthorizedPrincipalsCommandUser directive has been set to run the
  command as a different user. Instead these commands would inherit the groups that sshd was started
  with.

  Depending on system configuration, inherited groups may allow
  AuthorizedKeysCommand/AuthorizedPrincipalsCommand helper programs to gain unintended privilege.

  Neither AuthorizedKeysCommand nor AuthorizedPrincipalsCommand are enabled by default in
  sshd_config.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH 6.2 <= 8.7 Privilege Escalation Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.117696)
Version used: 2021-10-11T08:01:31Z
","Product: cpe:/a:openbsd:openssh:8.4p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2024-0022,DFN-CERT-2023-3218,DFN-CERT-2023-3210,DFN-CERT-2022-1571,DFN-CERT-2022-0579,DFN-CERT-2021-2586,DFN-CERT-2021-2017,DFN-CERT-2021-2015,WID-SEC-2024-1082,WID-SEC-2023-1969,WID-SEC-2023-0426,WID-SEC-2022-1308,WID-SEC-2022-0676,WID-SEC-2022-0534,CB-K22/0310,CB-K22/0011,CB-K21/1268,CB-K21/1017",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,22,tcp,6.8,Medium,30,"VendorFix","OpenBSD OpenSSH 6.8p1 - 9.9p1 MitM Vulnerability","OpenBSD OpenSSH is prone to a man-in-the-middle (MitM)
  vulnerability.","Installed version: 8.4p1
Fixed version:     9.9p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.114946,"CVE-2025-26465",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,762db42a-0698-4123-be0b-46769183c0a5,"","Update to version 9.9p2 or later.","OpenBSD OpenSSH versions 6.8p1 through 9.9p1.","ssh(1) in OpenSSH contained a logic error that allowed an
  on-path attacker (a.k.a MITM) to impersonate any server when the VerifyHostKeyDNS option is
  enabled. This option is off by default.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH 6.8p1 - 9.9p1 MitM Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.114946)
Version used: 2025-02-20T08:47:14Z
","Product: cpe:/a:openbsd:openssh:8.4p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-1201,DFN-CERT-2025-1200,DFN-CERT-2025-0993,DFN-CERT-2025-0819,DFN-CERT-2025-0470,DFN-CERT-2025-0428,WID-SEC-2025-1439,WID-SEC-2025-1007,WID-SEC-2025-0394",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,22,tcp,6.5,Medium,30,"VendorFix","OpenBSD OpenSSH < 9.6 Multiple Vulnerabilities (Terrapin Attack)","OpenBSD OpenSSH is prone to multiple vulnerabilities.","Installed version: 8.4p1
Fixed version:     9.6
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.118572,"CVE-2023-48795,CVE-2023-51384,CVE-2023-51385",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,d5fcbaec-e31f-4647-848d-b5961f685ac3,"","Update to version 9.6 or later.

  Note: Client and Server implementations need to run a fixed version to mitigate the Terrapin
  flaw.","OpenBSD OpenSSH prior to version 9.6.","The following vulnerabilities exist:

  - CVE-2023-48795: The SSH transport protocol with certain OpenSSH extensions allows remote
  attackers to bypass integrity checks such that some packets are omitted (from the extension
  negotiation message), and a client and server may consequently end up with a connection for which
  some security features have been downgraded or disabled, aka a 'Terrapin attack'.

  - CVE-2023-51384: In ssh-agent certain destination constraints can be incompletely applied. When
  destination constraints are specified during addition of PKCS#11-hosted private keys, these
  constraints are only applied to the first key, even if a PKCS#11 token returns multiple keys.

  - CVE-2023-51385: OS command injection might occur if a user name or host name has shell
  metacharacters, and this name is referenced by an expansion token in certain situations. For
  example, an untrusted Git repository can have a submodule with shell metacharacters in a user
  name or host name.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH < 9.6 Multiple Vulnerabilities (Terrapin Attack)
(OID: 1.3.6.1.4.1.25623.1.0.118572)
Version used: 2025-10-08T05:38:55Z
","Product: cpe:/a:openbsd:openssh:8.4p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-3629,DFN-CERT-2025-3272,DFN-CERT-2025-2058,DFN-CERT-2025-2037,DFN-CERT-2025-1447,DFN-CERT-2025-1177,DFN-CERT-2025-1025,DFN-CERT-2025-0660,DFN-CERT-2025-0502,DFN-CERT-2025-0294,DFN-CERT-2025-0173,DFN-CERT-2025-0165,DFN-CERT-2025-0024,DFN-CERT-2024-3171,DFN-CERT-2024-2818,DFN-CERT-2024-2759,DFN-CERT-2024-2741,DFN-CERT-2024-2682,DFN-CERT-2024-2602,DFN-CERT-2024-2573,DFN-CERT-2024-2392,DFN-CERT-2024-2210,DFN-CERT-2024-2209,DFN-CERT-2024-2194,DFN-CERT-2024-2169,DFN-CERT-2024-2048,DFN-CERT-2024-2030,DFN-CERT-2024-2028,DFN-CERT-2024-1930,DFN-CERT-2024-1895,DFN-CERT-2024-1869,DFN-CERT-2024-1868,DFN-CERT-2024-1865,DFN-CERT-2024-1862,DFN-CERT-2024-1854,DFN-CERT-2024-1846,DFN-CERT-2024-1817,DFN-CERT-2024-1794,DFN-CERT-2024-1715,DFN-CERT-2024-1698,DFN-CERT-2024-1688,DFN-CERT-2024-1655,DFN-CERT-2024-1600,DFN-CERT-2024-1443,DFN-CERT-2024-1442,DFN-CERT-2024-1413,DFN-CERT-2024-1382,DFN-CERT-2024-1380,DFN-CERT-2024-1373,DFN-CERT-2024-1260,DFN-CERT-2024-1259,DFN-CERT-2024-1108,DFN-CERT-2024-1061,DFN-CERT-2024-1029,DFN-CERT-2024-1003,DFN-CERT-2024-1000,DFN-CERT-2024-0896,DFN-CERT-2024-0779,DFN-CERT-2024-0762,DFN-CERT-2024-0744,DFN-CERT-2024-0698,DFN-CERT-2024-0633,DFN-CERT-2024-0619,DFN-CERT-2024-0618,DFN-CERT-2024-0616,DFN-CERT-2024-0597,DFN-CERT-2024-0545,DFN-CERT-2024-0526,DFN-CERT-2024-0491,DFN-CERT-2024-0480,DFN-CERT-2024-0451,DFN-CERT-2024-0440,DFN-CERT-2024-0420,DFN-CERT-2024-0388,DFN-CERT-2024-0343,DFN-CERT-2024-0306,DFN-CERT-2024-0299,DFN-CERT-2024-0285,DFN-CERT-2024-0267,DFN-CERT-2024-0251,DFN-CERT-2024-0215,DFN-CERT-2024-0211,DFN-CERT-2024-0164,DFN-CERT-2024-0154,DFN-CERT-2024-0101,DFN-CERT-2024-0092,DFN-CERT-2024-0088,DFN-CERT-2024-0067,DFN-CERT-2024-0063,DFN-CERT-2024-0062,DFN-CERT-2024-0024,DFN-CERT-2024-0022,DFN-CERT-2024-0013,DFN-CERT-2023-3219,DFN-CERT-2023-3218,DFN-CERT-2023-3210,DFN-CERT-2023-3201,DFN-CERT-2023-3200,DFN-CERT-2023-3195,DFN-CERT-2023-3193,DFN-CERT-2023-3191,DFN-CERT-2023-3185,DFN-CERT-2023-3184,DFN-CERT-2023-3183,DFN-CERT-2023-3182,DFN-CERT-2023-3175,WID-SEC-2025-0810,WID-SEC-2025-0168,WID-SEC-2025-0144,WID-SEC-2025-0139,WID-SEC-2024-3377,WID-SEC-2024-3320,WID-SEC-2024-3198,WID-SEC-2024-3195,WID-SEC-2024-3140,WID-SEC-2024-1913,WID-SEC-2024-1781,WID-SEC-2024-1701,WID-SEC-2024-1656,WID-SEC-2024-1655,WID-SEC-2024-1643,WID-SEC-2024-1642,WID-SEC-2024-1639,WID-SEC-2024-1637,WID-SEC-2024-1630,WID-SEC-2024-1474,WID-SEC-2024-1248,WID-SEC-2024-1228,WID-SEC-2024-1186,WID-SEC-2024-1082,WID-SEC-2024-0899,WID-SEC-2024-0892,WID-SEC-2024-0889,WID-SEC-2024-0885,WID-SEC-2024-0874,WID-SEC-2024-0869,WID-SEC-2024-0578,WID-SEC-2024-0564,WID-SEC-2024-0523,WID-SEC-2023-3182,WID-SEC-2023-3174",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,21,tcp,6.4,Medium,80,"Mitigation","Anonymous FTP Login Reporting","Reports if the remote FTP Server allows anonymous logins.","It was possible to login to the remote FTP service with the following anonymous account(s):

anonymous:anonymous@example.com
ftp:anonymous@example.com

Here are the contents of the remote FTP directory listing:

Account ""anonymous"":

-rw-r--r--    1 0        0            1864 May 04  2024 welcome-letter.txt

Account ""ftp"":

-rw-r--r--    1 0        0            1864 May 04  2024 welcome-letter.txt

",1.3.6.1.4.1.25623.1.0.900600,"CVE-1999-0497",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,f9adcde7-f879-4191-aade-3b552bff0654,"Based on the files accessible via this anonymous FTP login and
  the permissions of this account an attacker might be able to:

  - gain access to sensitive files

  - upload or delete files.","If you do not want to share files, you should disable anonymous
  logins.","","A host that provides an FTP service may additionally provide
  Anonymous FTP access as well. Under this arrangement, users do not strictly need an account on the
  host. Instead the user typically enters 'anonymous' or 'ftp' when prompted for username. Although
  users are commonly asked to send their email address as their password, little to no verification
  is actually performed on the supplied data.

  Remark: NIST don't see 'configuration issues' as software flaws so the referenced CVE has a
  severity of 0.0. The severity of this VT has been raised by Greenbone to still report a
  configuration issue on the target.","
Details:
Anonymous FTP Login Reporting
(OID: 1.3.6.1.4.1.25623.1.0.900600)
Version used: 2021-10-20T09:03:29Z
","","","",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,22,tcp,5.9,Medium,30,"VendorFix","Prefix Truncation Attacks in SSH Specification (Terrapin Attack)","The remote SSH server is supporting an specific encryption
  algorithm or MAC. Parts of their SSH specification are vulnerable to a novel prefix truncation
  attack (a.k.a. Terrapin attack).","The remote SSH server supports the following possible affected client-to-server encryption algorithm(s):

chacha20-poly1305@openssh.com

The remote SSH server supports the following possible affected server-to-client encryption algorithm(s):

chacha20-poly1305@openssh.com

The remote SSH server supports the following ""strict kex"" algorithm as a possible mitigation:

kex-strict-s-v00@openssh.com
",1.3.6.1.4.1.25623.1.0.114238,"CVE-2023-48795,CVE-2024-41909",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,fb507d3a-e119-4165-9e33-6b31df9a3ddc,"","'- Update OpenSSH to version 9.6 or later

  - Update Apache MINA SSHD to version 2.12.0 or later

  - For other products please contact the vendor for possible fixes / updates

  Mitigation:

  - To mitigate this protocol vulnerability, OpenSSH suggested a so-called 'strict kex' which alters
  the SSH handshake to ensure a Man-in-the-Middle attacker cannot introduce unauthenticated messages
  as well as convey sequence number manipulation across handshakes. Support for strict key exchange
  has been added to a variety of SSH implementations, including OpenSSH itself, PuTTY, libssh, and
  more.

  Warning: To take effect, both the client and server must support this countermeasure.

  As a stop-gap measure, peers may also (temporarily) disable the affected algorithms and use
  unaffected alternatives like AES-GCM instead until patches are available.","Systems supporting the following encryption algorithm and/or
  MACs:

  - ChaCha20-Poly1305 (chacha20-poly1305@openssh.com) encryption algorithm

  - CBC encryption algorithm and Encrypt-then-MAC (*-etm@openssh.com) MAC","Parts of the SSH specification are vulnerable to a novel prefix
  truncation attack (a.k.a. Terrapin attack), which allows a man-in-the-middle attacker to strip an
  arbitrary number of messages right after the initial key exchange, breaking SSH extension
  negotiation (RFC8308) in the process and thus downgrading connection security.","Checks the supported algorithms and MACs of the remote SSH
  server.

  Note: This VT has a low QoD because mitigation is possible / available via software updates.
Details:
Prefix Truncation Attacks in SSH Specification (Terrapin Attack)
(OID: 1.3.6.1.4.1.25623.1.0.114238)
Version used: 2025-04-23T05:39:47Z
","Product: cpe:/a:ietf:secure_shell_protocol
Method: SSH Protocol Algorithms Supported
(OID: 1.3.6.1.4.1.25623.1.0.105565)
","","DFN-CERT-2026-0097,DFN-CERT-2025-3629,DFN-CERT-2025-3272,DFN-CERT-2025-2941,DFN-CERT-2025-2058,DFN-CERT-2025-2037,DFN-CERT-2025-1447,DFN-CERT-2025-1177,DFN-CERT-2025-1025,DFN-CERT-2025-0660,DFN-CERT-2025-0502,DFN-CERT-2025-0294,DFN-CERT-2025-0173,DFN-CERT-2025-0165,DFN-CERT-2025-0024,DFN-CERT-2024-3171,DFN-CERT-2024-2818,DFN-CERT-2024-2759,DFN-CERT-2024-2741,DFN-CERT-2024-2602,DFN-CERT-2024-2573,DFN-CERT-2024-2392,DFN-CERT-2024-2210,DFN-CERT-2024-2209,DFN-CERT-2024-2194,DFN-CERT-2024-2169,DFN-CERT-2024-2048,DFN-CERT-2024-2030,DFN-CERT-2024-2028,DFN-CERT-2024-1930,DFN-CERT-2024-1895,DFN-CERT-2024-1869,DFN-CERT-2024-1868,DFN-CERT-2024-1865,DFN-CERT-2024-1862,DFN-CERT-2024-1854,DFN-CERT-2024-1846,DFN-CERT-2024-1817,DFN-CERT-2024-1715,DFN-CERT-2024-1698,DFN-CERT-2024-1688,DFN-CERT-2024-1655,DFN-CERT-2024-1600,DFN-CERT-2024-1443,DFN-CERT-2024-1442,DFN-CERT-2024-1413,DFN-CERT-2024-1382,DFN-CERT-2024-1380,DFN-CERT-2024-1373,DFN-CERT-2024-1260,DFN-CERT-2024-1259,DFN-CERT-2024-1108,DFN-CERT-2024-1061,DFN-CERT-2024-1029,DFN-CERT-2024-1003,DFN-CERT-2024-1000,DFN-CERT-2024-0896,DFN-CERT-2024-0779,DFN-CERT-2024-0762,DFN-CERT-2024-0744,DFN-CERT-2024-0698,DFN-CERT-2024-0633,DFN-CERT-2024-0619,DFN-CERT-2024-0618,DFN-CERT-2024-0616,DFN-CERT-2024-0597,DFN-CERT-2024-0545,DFN-CERT-2024-0526,DFN-CERT-2024-0491,DFN-CERT-2024-0451,DFN-CERT-2024-0440,DFN-CERT-2024-0420,DFN-CERT-2024-0388,DFN-CERT-2024-0343,DFN-CERT-2024-0306,DFN-CERT-2024-0299,DFN-CERT-2024-0285,DFN-CERT-2024-0267,DFN-CERT-2024-0251,DFN-CERT-2024-0215,DFN-CERT-2024-0211,DFN-CERT-2024-0164,DFN-CERT-2024-0154,DFN-CERT-2024-0101,DFN-CERT-2024-0092,DFN-CERT-2024-0088,DFN-CERT-2024-0067,DFN-CERT-2024-0063,DFN-CERT-2024-0062,DFN-CERT-2024-0024,DFN-CERT-2024-0013,DFN-CERT-2023-3219,DFN-CERT-2023-3218,DFN-CERT-2023-3210,DFN-CERT-2023-3201,DFN-CERT-2023-3200,DFN-CERT-2023-3195,DFN-CERT-2023-3193,DFN-CERT-2023-3191,DFN-CERT-2023-3185,DFN-CERT-2023-3184,DFN-CERT-2023-3183,DFN-CERT-2023-3182,DFN-CERT-2023-3175,WID-SEC-2025-2359,WID-SEC-2025-0810,WID-SEC-2025-0168,WID-SEC-2025-0144,WID-SEC-2025-0139,WID-SEC-2024-3377,WID-SEC-2024-3320,WID-SEC-2024-3221,WID-SEC-2024-3198,WID-SEC-2024-3195,WID-SEC-2024-1913,WID-SEC-2024-1781,WID-SEC-2024-1701,WID-SEC-2024-1656,WID-SEC-2024-1655,WID-SEC-2024-1643,WID-SEC-2024-1642,WID-SEC-2024-1639,WID-SEC-2024-1637,WID-SEC-2024-1630,WID-SEC-2024-1474,WID-SEC-2024-1248,WID-SEC-2024-1228,WID-SEC-2024-1186,WID-SEC-2024-1082,WID-SEC-2024-0899,WID-SEC-2024-0892,WID-SEC-2024-0889,WID-SEC-2024-0885,WID-SEC-2024-0874,WID-SEC-2024-0869,WID-SEC-2024-0578,WID-SEC-2024-0564,WID-SEC-2024-0523,WID-SEC-2023-3174",""
172.30.2.2,proftpd-vuln.trabalho_vulnnet,80,tcp,5.8,Medium,30,"VendorFix","Apache HTTP Server 2.4.7 - 2.4.65 Authentication Bypass Vulnerability - Linux","Apache HTTP Server is prone to an authentication bypass
  vulnerability.","Installed version: 2.4.59
Fixed version:     2.4.66
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.125567,"CVE-2025-66200",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:19:16Z,c8a0cdc8-7e07-441f-afc0-c272886ab83e,"","Update to version 2.4.66 or later.","Apache HTTP Server version 2.4.7 through 2.4.65.","mod_userdir+suexec bypass via AllowOverride FileInfo
  vulnerability in Apache HTTP Server. Users with access to use the RequestHeader directive in
  htaccess can cause some CGI scripts to run under an unexpected userid.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.7 - 2.4.65 Authentication Bypass Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.125567)
Version used: 2025-12-05T05:44:55Z
","Product: cpe:/a:apache:http_server:2.4.59
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2025-3602,DFN-CERT-2025-3581,DFN-CERT-2025-3512,DFN-CERT-2025-3405,WID-SEC-2025-2750",""
