IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.1.3,metasploitable3.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:5.4.5
Installed version: 5.4.5
EOL version:       5.4
EOL date:          2015-09-03
",1.3.6.1.4.1.25623.1.0.105889,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,e222793a-b209-4cf3-bade-90ac9a30e046,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:5.4.5
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","",""
172.30.1.3,metasploitable3.trabalho_vulnnet,445,tcp,10.0,Critical,30,"VendorFix","Samba End of Life (EOL) Detection","The Samba version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""Samba"" version on the remote host has reached the end of life.

CPE:               cpe:/a:samba:samba:4.3.11
Installed version: 4.3.11
Location/URL:      445/tcp
EOL version:       4.3
EOL date:          2017-03-07
",1.3.6.1.4.1.25623.1.0.140159,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,16615994-f428-4003-bdf7-9102783d76ee,"An EOL version of Samba is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the Samba version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
Samba End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.140159)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:samba:samba:4.3.11
Method: SMB NativeLanMan
(OID: 1.3.6.1.4.1.25623.1.0.102011)
","","",""
172.30.1.3,metasploitable3.trabalho_vulnnet,445,tcp,10.0,Critical,30,"VendorFix","Samba Command Injection Vulnerability (CVE-2025-10230)","Samba is prone to a command injection vulnerability via WINS
  server hook script.","Installed version: 4.3.11
Fixed version:     4.21.9
Installation
path / port:       445/tcp

",1.3.6.1.4.1.25623.1.0.155661,"CVE-2025-10230",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,970d07b6-5365-40bd-af27-56e60957df09,"","Update to version 4.21.9, 4.22.5, 4.23.2 or later.","Samba version 4.x prior to 4.21.9, 4.22.x prior to 4.22.5 and
  4.23.x prior to 4.23.2.","If a Samba server has WINS support enabled (it is off by
  default), and it has a 'wins hook' parameter specified, the program specified by that parameter
  will be run whenever a WINS name is changed.

  The WINS server used by the Samba Active Directory Domain Controller did not validate the names
  passed to the wins hook program, and it passed them by inserting them into a string run by a
  shell.

  WINS is an obsolete and trusting protocol, and clients can request any name that fits within the
  15 character NetBIOS limit. This includes some shell metacharacters, making it possible to run
  arbitrary commands on the host.

  The WINS server used by Samba when it is not a domain controller is unaffected.","Checks if a vulnerable version is present on the target host.
Details:
Samba Command Injection Vulnerability (CVE-2025-10230)
(OID: 1.3.6.1.4.1.25623.1.0.155661)
Version used: 2025-11-10T05:40:50Z
","Product: cpe:/a:samba:samba:4.3.11
Method: SMB NativeLanMan
(OID: 1.3.6.1.4.1.25623.1.0.102011)
","","DFN-CERT-2026-0218,DFN-CERT-2025-2874,WID-SEC-2025-2322",""
172.30.1.3,metasploitable3.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","phpMyAdmin End of Life (EOL) Detection - Linux","The phpMyAdmin version on the remote host has reached the End of Life (EOL) and should not be used anymore.","The ""phpMyAdmin"" version on the remote host has reached the end of life.

CPE:               cpe:/a:phpmyadmin:phpmyadmin:3.5.8
Installed version: 3.5.8
Location/URL:      /phpmyadmin
EOL version:       3.5
EOL date:          unknown
",1.3.6.1.4.1.25623.1.0.113015,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,d6e0f898-344d-4959-b563-4c4a18654585,"An EOL version of phpMyAdmin is not receiving any security updates from the vendor. Unfixed security vulnerabilities
  might be leveraged by an attacker to compromise the security of this host.","Update the phpMyAdmin version on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
phpMyAdmin End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113015)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.1.3,metasploitable3.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","Drupal End of Life (EOL) Detection - Linux","The Drupal version on the remote host has reached the End of
  Life (EOL) and should not be used anymore.","The ""Drupal"" version on the remote host has reached the end of life.

CPE:               cpe:/a:drupal:drupal:7.5
Installed version: 7.5
Location/URL:      /drupal
EOL version:       7
EOL date:          2025-01-05
",1.3.6.1.4.1.25623.1.0.113023,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,bfb4efca-8f15-4566-8c65-bcddda9dbe51,"An EOL version of Drupal is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the Drupal version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
Drupal End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113023)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.1.3,metasploitable3.trabalho_vulnnet,21,tcp,10.0,Critical,99,"VendorFix","ProFTPD mod_copy Unauthenticated Copying Of Files Via SITE CPFR/CPTO Vulnerability (Apr 2015) - Active Check","ProFTPD is prone to an unauthenticated copying of files
  vulnerability.","The target was found to be vulnerable
",1.3.6.1.4.1.25623.1.0.105254,"CVE-2015-3306",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,4acb4f2d-1c13-4798-9270-5b02582b1267,"Under some circumstances this could result in remote code
  execution.","Ask the vendor for an update.","","","Tries to copy /etc/passwd to /tmp/passwd.copy with SITE
  CPFR/CPTO command.
Details:
ProFTPD 'mod_copy' Unauthenticated Copying Of Files Via SITE CPFR/CPTO Vulne...
(OID: 1.3.6.1.4.1.25623.1.0.105254)
Version used: 2025-09-24T05:39:03Z
","","","DFN-CERT-2015-0839,DFN-CERT-2015-0576,CB-K15/0791,CB-K15/0553",""
172.30.1.3,metasploitable3.trabalho_vulnnet,80,tcp,10.0,Critical,95,"VendorFix","Drupal Coder RCE Vulnerability (SA-CONTRIB-2016-039) - Active Check","Drupal is prone to a remote code execution (RCE)
  vulnerability.","Vulnerable URL: http://metasploitable3.trabalho_vulnnet/drupal/sites/all/modules/coder/coder_upgrade/scripts/coder_upgrade.run.php
",1.3.6.1.4.1.25623.1.0.105818,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,53db8830-232a-4a3c-8415-3ef620c031f5,"","Install the latest version.","","The Coder module checks your Drupal code against coding
  standards and other best practices. It can also fix coding standard violations and perform basic
  upgrades on modules. The module doesn't sufficiently validate user inputs in a script file that
  has the php extension. A malicious unauthenticated user can make requests directly to this file to
  execute arbitrary php code.","Checks for known error message from affected modules.
Details:
Drupal Coder RCE Vulnerability (SA-CONTRIB-2016-039) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.105818)
Version used: 2023-07-21T05:05:22Z
","","","",""
172.30.1.3,metasploitable3.trabalho_vulnnet,80,tcp,9.9,Critical,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.6.2
Installed version: 1.6.2
Location/URL:      /phpmyadmin/js/jquery/jquery-1.6.2.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://metasploitable3.trabalho_vulnnet/phpmyadmin/js/jquery/jquery-1.6.2.js
- Referenced at:   http://metasploitable3.trabalho_vulnnet/phpmyadmin/
",1.3.6.1.4.1.25623.1.0.117149,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,428cdaf9-615b-4c1a-bffa-16c63ce498e9,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.1.3,metasploitable3.trabalho_vulnnet,80,tcp,9.9,Critical,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.6.2
Installed version: 1.6.2
Location/URL:      /phpmyadmin/setup/../js/jquery/jquery-1.6.2.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://metasploitable3.trabalho_vulnnet/phpmyadmin/setup/../js/jquery/jquery-1.6.2.js
- Referenced at:   http://metasploitable3.trabalho_vulnnet/phpmyadmin/setup/
",1.3.6.1.4.1.25623.1.0.117149,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,27d7dc37-3bec-4c38-a3be-4d779fe2f3de,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.1.3,metasploitable3.trabalho_vulnnet,445,tcp,9.8,Critical,30,"VendorFix","Samba RCE Vulnerability (SambaCry)","Samba is prone to a remote code execution (RCE) vulnerability.","Installed version: 4.3.11
Fixed version:     4.4.14 or apply patch
Installation
path / port:       445/tcp

",1.3.6.1.4.1.25623.1.0.811055,"CVE-2017-7494",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,20ecf757-ca91-4c75-8964-340fe265c35f,"Successfully exploiting this issue will allow
  remote attackers to execute arbitrary code as root on an affected system.","Upgrade to Samba 4.6.4 or 4.5.10 or 4.4.14 or later.","All Samba Server versions 3.5.0 onwards,

  Samba Server versions 4.4.x before 4.4.14,

  Samba Server versions 4.5.x before 4.5.10, and

  Samba Server versions 4.6.x before 4.6.4","The flaw exists due to an input validation error,
  which allows a malicious client to upload a shared library to a writable share.","Checks if a vulnerable version is present on the target host.
Details:
Samba RCE Vulnerability (SambaCry)
(OID: 1.3.6.1.4.1.25623.1.0.811055)
Version used: 2025-09-17T05:39:26Z
","Product: cpe:/a:samba:samba:4.3.11
Method: SMB NativeLanMan
(OID: 1.3.6.1.4.1.25623.1.0.102011)
","","DFN-CERT-2017-1801,DFN-CERT-2017-0906,CB-K17/1719,CB-K17/0879",""
