IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:7.1.32
Installed version: 7.1.32
EOL version:       7.1
EOL date:          2019-12-01
",1.3.6.1.4.1.25623.1.0.105889,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,bfcffb1b-615f-457d-8a96-ecf36c2f5a30,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.1.32
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,,,10.0,Critical,80,"Mitigation","Operating System (OS) End of Life (EOL) Detection","The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Debian GNU/Linux"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:debian:debian_linux:10
Installed version,
build or SP:       10
EOL date:          2024-06-30
EOL info:          https://en.wikipedia.org/wiki/List_of_Debian_releases#Release_table
",1.3.6.1.4.1.25623.1.0.103674,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,fde99df2-2d31-4665-8300-4d363b43a218,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.

  Note / Important: Please create an override for this result if the target host is a:

  - Windows system with Extended Security Updates (ESU)

  - System with additional 3rd-party / non-vendor security updates like e.g. from 'TuxCare',
  'Freexian Extended LTS' or similar","","","Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2025-05-21T05:40:19Z
","Product: cpe:/o:debian:debian_linux:10
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
","","",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,9.9,Critical,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.11.3
Installed version: 1.11.3
Location/URL:      /mw-config/../resources/lib/jquery/jquery.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://mediawiki-old.trabalho_vulnnet/mw-config/../resources/lib/jquery/jquery.js
- Referenced at:   http://mediawiki-old.trabalho_vulnnet/mw-config/
",1.3.6.1.4.1.25623.1.0.117149,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,769e5240-0ccb-4286-aa00-af33e0b74468,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.1.32
Fixed version:     8.1.31
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.153495,"CVE-2024-8929,CVE-2024-8932,CVE-2024-11233,CVE-2024-11234,CVE-2024-11236",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,c2ead59c-7579-4992-9f18-01346025f100,"","Update to version 8.1.31, 8.2.26, 8.3.14 or later.","PHP versions prior to 8.1.31, 8.2.x prior to 8.2.26 and 8.3.x
  prior to 8.3.14.","The following vulnerabilities exist:

  - CVE-2024-8929: Leak partial content of the heap through heap buffer over-read

  - CVE-2024-8932: OOB access in ldap_escape

  - CVE-2024-11233: Single byte overread with convert.quoted-printable-decode filter

  - CVE-2024-11234: Configuring a proxy in a stream context might allow for CRLF injection in URIs

  - CVE-2024-11236: Integer overflow in the firebird/dblib quoter causing OOB writes

  - No CVE: Heap-Use-After-Free in sapi_read_post_data Processing in CLI SAPI Interface","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.153495)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.1.32
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1211,DFN-CERT-2025-1082,DFN-CERT-2025-0179,DFN-CERT-2024-3200,DFN-CERT-2024-3172,DFN-CERT-2024-3108,WID-SEC-2024-3519",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.1.32
Fixed version:     8.1.32
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.154187,"CVE-2025-1217,CVE-2025-1219,CVE-2025-1734,CVE-2025-1736,CVE-2025-1861",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,2c0a53b2-73c5-4206-83b7-7167b2c59d9c,"","Update to version 8.1.32, 8.2.28 or later.","PHP versions prior to 8.1.32, and 8.2.x prior to 8.2.28.","The following vulnerabilities exist:

  - CVE-2025-1217: Header parser of 'http' stream wrapper does not handle folded headers

  - CVE-2025-1219: libxml streams use wrong 'content-type' header when requesting a redirected
  resource

  - CVE-2025-1734: Streams HTTP wrapper does not fail for headers without colon

  - CVE-2025-1736: Stream HTTP wrapper header check might omit basic auth header

  - CVE-2025-1861: Stream HTTP wrapper truncate redirect location to 1024 bytes","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154187)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.1.32
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1939,DFN-CERT-2025-1082,DFN-CERT-2025-0665,WID-SEC-2025-0566",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server 2.4.32 < 2.4.44 mod_proxy_uwsgi Buffer Overflow Vulnerability - Linux","Apache HTTP Server is prone to a buffer overflow vulnerability in mod_proxy_uwsgi.","Installed version: 2.4.38
Fixed version:     2.4.44
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.144374,"CVE-2020-11984",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,a4d92459-4919-446c-92ca-79f35d05cfa6,"","Update to version 2.4.44 or later.","Apache HTTP Server version 2.4.32 to 2.4.43.","mod_proxy_uwsgi is prone to an information disclosure and possible remote code
  execution vulnerability.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.32 < 2.4.44 mod_proxy_uwsgi Buffer Overflow Vulnerabi...
(OID: 1.3.6.1.4.1.25623.1.0.144374)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.38
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-0074,DFN-CERT-2021-1069,DFN-CERT-2021-0135,DFN-CERT-2020-2628,DFN-CERT-2020-2345,DFN-CERT-2020-2006,DFN-CERT-2020-1908,DFN-CERT-2020-1854,DFN-CERT-2020-1793,DFN-CERT-2020-1744,WID-SEC-2024-3319,WID-SEC-2024-1591,WID-SEC-2023-1048,WID-SEC-2023-0063,CB-K21/0071,CB-K21/0068,CB-K21/0067,CB-K21/0059,CB-K20/0798",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.1.32
Fixed version:     8.0.30
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.170529,"CVE-2023-3823,CVE-2023-3824",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,4d1b7e58-aa96-4567-8e20-6ff7ca9e95ea,"","Update to version 8.0.30, 8.1.22, 8.2.9 or later.","PHP prior to version 8.0.30, 8.1.x prior to 8.1.22 and 8.2.x
  prior to 8.2.9.","The following flaws exist:

  - CVE-2023-3823: Fixed bug GHSA-3qrf-m4j2-pcrr (Security issue with external entity loading in XML
  without enabling it)

  - CVE-2023-3824: Fixed bug GHSA-jqcx-ccgc-xwhv (Buffer mismanagement in phar_dir_read())","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux
(OID: 1.3.6.1.4.1.25623.1.0.170529)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.1.32
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2024-3330,DFN-CERT-2024-2681,DFN-CERT-2024-0993,DFN-CERT-2023-2570,DFN-CERT-2023-2542,DFN-CERT-2023-1775,WID-SEC-2023-2917,WID-SEC-2023-2679,WID-SEC-2023-1970",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.1.32
Fixed version:     8.1.29
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.152369,"CVE-2024-4577,CVE-2024-5458,CVE-2024-5585",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,fe2b98ef-0850-418a-a640-a90395f6fd35,"","Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.","The following vulnerabilities exist:

  - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)

  - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL

  - CVE-2024-5585: Bypass of CVE-2024-1874

  Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on
  Windows systems only.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.152369)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.1.32
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1211,DFN-CERT-2024-3330,DFN-CERT-2024-3329,DFN-CERT-2024-2707,DFN-CERT-2024-1853,DFN-CERT-2024-1586,DFN-CERT-2024-1574,DFN-CERT-2024-1563,DFN-CERT-2024-1476,WID-SEC-2024-3196,WID-SEC-2024-3195,WID-SEC-2024-1320",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.1.32
Fixed version:     7.4.33
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.148830,"CVE-2022-31630,CVE-2022-37454",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,9c0993d0-da75-4d17-b18e-978cc5f990c0,"","Update to version 7.4.33, 8.0.25, 8.1.12 or later.","PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.","The following vulnerabilities exist:

  - CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()

  - CVE-2022-37454: Buffer overflow in hash_update() on long parameter","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148830)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.1.32
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2026-0215,DFN-CERT-2023-0552,DFN-CERT-2023-0422,DFN-CERT-2023-0028,DFN-CERT-2022-2869,DFN-CERT-2022-2793,DFN-CERT-2022-2715,DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-2598,DFN-CERT-2022-2535,DFN-CERT-2022-2523,DFN-CERT-2022-2420,DFN-CERT-2022-2380,WID-SEC-2023-1021,WID-SEC-2023-0561,WID-SEC-2023-0138,WID-SEC-2022-1934,WID-SEC-2022-1816",""
172.30.32.1,mediawiki-old.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Linux","PHP released new versions which include a security fix.","Installed version: 7.1.32
Fixed version:     7.4.28
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.147657,"CVE-2021-21708",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:12:32Z,e04a8abe-be1f-4009-977b-221037fab321,"","Update to version 7.4.28, 8.0.16, 8.1.3 or later.","PHP prior to version 7.4.28, 8.0.x through 8.0.15 and 8.1.x
  through 8.1.2.","Fix #81708: UAF due to php_filter_float() failing for ints.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Lin...
(OID: 1.3.6.1.4.1.25623.1.0.147657)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.1.32
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2024-1062,DFN-CERT-2023-1600,DFN-CERT-2022-2639,DFN-CERT-2022-2598,DFN-CERT-2022-2500,DFN-CERT-2022-2499,DFN-CERT-2022-1605,DFN-CERT-2022-0557,DFN-CERT-2022-0407,DFN-CERT-2022-0365,WID-SEC-2023-1737,WID-SEC-2022-1767,WID-SEC-2022-1335,WID-SEC-2022-1228,WID-SEC-2022-0280,CB-K22/0201",""
