IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.14.3,mongodb-noauth.trabalho_vulnnet,27017,tcp,9.8,Critical,30,"VendorFix","MongoDB Certificate Validation Vulnerability (SERVER-72839) - Linux","MongoDB is prone to a certificate validation vulnerability.","Installed version: 3.4.24
Fixed version:     4.4.29

",1.3.6.1.4.1.25623.1.0.151888,"CVE-2024-1351",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,a6b32c50-44fd-443d-b571-6bb7f9ffb9d2,"","Update to version 4.4.29, 5.0.25, 6.0.14, 7.0.6 or later.","MongoDB version 3.2.6 through 4.4.28, 5.x through 5.0.24,
  5.1.x through 6.0.13 and 6.1.x through 7.0.5.","Under certain configurations of --tlsCAFile and tls.CAFile,
  MongoDB Server may skip peer certificate validation which may result in untrusted connections to
  succeed. This may effectively reduce the security guarantees provided by TLS and open connections
  that should have been closed due to failing certificate validation.

  Required Configuration: A server process will allow incoming connections to skip peer certificate
  validation if the server process was started with TLS enabled (net.tls.mode set to allowTLS,
  preferTLS, or requireTLS) and without a net.tls.CAFile configured.","Checks if a vulnerable version is present on the target host.
Details:
MongoDB Certificate Validation Vulnerability (SERVER-72839) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.151888)
Version used: 2026-01-09T05:47:51Z
","","","WID-SEC-2024-0583",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,27017,tcp,7.5,High,30,"VendorFix","MongoDB DoS Vulnerability (SERVER-58203, SERVER-59299, SERVER-60218) - Linux","MongoDB is prone to a denial of service (DoS) vulnerability.","Installed version: 3.4.24
Fixed version:     4.2.16

",1.3.6.1.4.1.25623.1.0.147978,"CVE-2021-32040",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,7db74c69-7d28-4973-8992-3f5e6b33a881,"If an attacker could cause such an aggregation to occur, they
  could maliciously crash MongoDB in a DoS attack.","Update to version 4.2.16, 4.4.11, 5.0.4 or later.","MongoDB prior to version 4.2.16, 4.4.x through 4.4.10 and
  5.x through 5.0.3.","It may be possible to have an extremely long aggregation
  pipeline in conjunction with a specific stage/operator and cause a stack overflow due to the size
  of the stack frames used by that stage.","Checks if a vulnerable version is present on the target host.
Details:
MongoDB DoS Vulnerability (SERVER-58203, SERVER-59299, SERVER-60218) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.147978)
Version used: 2026-01-09T05:47:51Z
","","","",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,27017,tcp,7.5,High,99,"Workaround","Unprotected MongoDB Service (TCP)","The remote MongoDB service is unprotected.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.105235,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,d5dfe8e8-aef5-4c2f-85de-739f06e7d2f2,"Attackers can exploit this issue to obtain sensitive information
  that may lead to further attacks.","Enable authentication or restrict access to the MongoDB
  service.","","","Send a local.startup_log query and check the response.
Details:
Unprotected MongoDB Service (TCP)
(OID: 1.3.6.1.4.1.25623.1.0.105235)
Version used: 2026-01-09T05:47:51Z
","","","",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,27017,tcp,7.1,High,30,"VendorFix","MongoDB DoS Vulnerability (SERVER-59294) - Linux","MongoDB is prone to a denial of service (DoS) vulnerability.","Installed version: 3.4.24
Fixed version:     4.2.18

",1.3.6.1.4.1.25623.1.0.147596,"CVE-2021-32036",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,b46d1244-eda2-4004-8ee1-0052eb213593,"This may result in denial of service and in rare cases could
  result in id field collisions.","Update to version 4.2.18, 4.4.10, 5.0.4 or later.","MongoDB version 2.x through 4.2.16, 4.4.x through 4.4.9 and
  5.x through 5.0.3.","An authenticated user without any specific authorizations may
  be able to repeatedly invoke the features command where at a high volume may lead to resource
  depletion or generate high lock contention.","Checks if a vulnerable version is present on the target host.
Details:
MongoDB DoS Vulnerability (SERVER-59294) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.147596)
Version used: 2026-01-09T05:47:51Z
","","","",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 631616982
Packet 2: 631618110
",1.3.6.1.4.1.25623.1.0.80091,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,c06828c9-d15c-4b6c-8534-d81461240835,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,8152727b-1f9e-4cf1-8b58-2d2a7e8c1b43,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,27017,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","A MongoDB server is running on this port
",1.3.6.1.4.1.25623.1.0.10330,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,ef3eb960-1906-4daf-883c-8d51c7bee75c,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2025-03-05T05:38:53Z
","","","",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,,,0.0,Log,80,"","Hostname Determination Reporting","The script reports information on how the hostname of the target
  was determined.","Hostname determination for IP 172.30.14.3:

Hostname|Source
mongodb-noauth.trabalho_vulnnet|Reverse-DNS
",1.3.6.1.4.1.25623.1.0.108449,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,8fe15117-77bd-49c2-b1fd-ab6279378849,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
Version used: 2022-07-27T10:11:28Z
","","","",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,27017,tcp,0.0,Log,80,"","MongoDB Detection (MongoDB Wire Protocol)","MongoDB Wire Protocol based detection of MongoDB.","Detected MongoDB

Version:       3.4.24
Location:      /
CPE:           cpe:/a:mongodb:mongodb:3.4.24

Concluded from version/product identification result:
version3.4.24
",1.3.6.1.4.1.25623.1.0.100747,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,d2f63783-08ed-4b50-8aa7-ec674401a24a,"","","","","
Details:
MongoDB Detection (MongoDB Wire Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.100747)
Version used: 2026-01-09T05:47:51Z
","","","",""
172.30.14.3,mongodb-noauth.trabalho_vulnnet,,,0.0,Log,80,"","OS Detection Consolidation and Reporting","This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum.","Best matching OS:

OS:           Linux Kernel
CPE:          cpe:/o:linux:kernel
Found by VT:  1.3.6.1.4.1.25623.1.0.102002 (Operating System (OS) Detection (ICMP))
Concluded from ICMP based OS fingerprint
Setting key ""Host/runs_unixoide"" based on this information
",1.3.6.1.4.1.25623.1.0.105937,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,5a4d2e69-e79f-46b4-b62e-61dbe9e27382,"","","","","
Details:
OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
Version used: 2026-01-21T05:50:46Z
","","","",""
