IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.29.1,openldap.trabalho_vulnnet,636,tcp,5.0,Medium,99,"Mitigation","SSL/TLS: Certificate In Chain Expired","The remote service is using a SSL/TLS certificate chain where
  one or multiple CA certificates have expired.","The following certificates which are part of the certificate chain have expired:

Subject:     CN=docker-light-baseimage,ST=New Mexico,L=Albuquerque,OU=Information Technology Dep.,O=A1A Car Wash,C=US
Expired on:  2020-12-21 13:53:00


",1.3.6.1.4.1.25623.1.0.106237,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,ed0d6957-b794-42ff-8922-7943d76060bf,"","Sign your server certificate with a valid CA certificate.","","Checks if the CA certificates in the SSL/TLS certificate chain
  have expired.","Checks the expire date of the CA certificates.
Details:
SSL/TLS: Certificate In Chain Expired
(OID: 1.3.6.1.4.1.25623.1.0.106237)
Version used: 2021-09-24T07:45:50Z
","","","",""
172.30.29.1,openldap.trabalho_vulnnet,389,tcp,5.0,Medium,99,"Mitigation","SSL/TLS: Certificate In Chain Expired","The remote service is using a SSL/TLS certificate chain where
  one or multiple CA certificates have expired.","The following certificates which are part of the certificate chain have expired:

Subject:     CN=docker-light-baseimage,ST=New Mexico,L=Albuquerque,OU=Information Technology Dep.,O=A1A Car Wash,C=US
Expired on:  2020-12-21 13:53:00


",1.3.6.1.4.1.25623.1.0.106237,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,1f2ffa91-94d6-4ee1-bf23-6531feee91d0,"","Sign your server certificate with a valid CA certificate.","","Checks if the CA certificates in the SSL/TLS certificate chain
  have expired.","Checks the expire date of the CA certificates.
Details:
SSL/TLS: Certificate In Chain Expired
(OID: 1.3.6.1.4.1.25623.1.0.106237)
Version used: 2021-09-24T07:45:50Z
","","","",""
172.30.29.1,openldap.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 2151183515
Packet 2: 2151184631
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,6e669e8b-727f-4105-86af-28c0a79f8db2,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.30.29.1,openldap.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,96f161dc-1adb-4be0-822f-836eb85eb0c7,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
172.30.29.1,openldap.trabalho_vulnnet,636,tcp,0.0,Log,98,"","SSL/TLS: Collect and Report Certificate Details","This script collects and reports the details of all SSL/TLS
  certificates.

  This data will be used by other tests to verify server certificates.","The following certificate details of the remote service were collected.

Certificate details:
fingerprint (SHA-1)             | 2571BE1CA737CA2368BFA49831F3E8D1D15E287F
fingerprint (SHA-256)           | C0734BA2BF7875F7443552F0AD1B5E00DE985ABBC37A740D6BDEC049B5E93A3E
issued by                       | CN=docker-light-baseimage,ST=New Mexico,L=Albuquerque,OU=Information Technology Dep.,O=A1A Car Wash,C=US
public key algorithm            | EC/ECDSA
public key size (bits)          | 384
serial                          | 265BC03861BE776800EB202CFF6AA2AA6DD5812B
signature algorithm             | ecdsa-with-SHA384
subject                         | CN=ebc5cc83c2f7,OU=Information Technology Dep.,O=A1A Car Wash,L=Albuquerque,ST=New Mexico,C=US
subject alternative names (SAN) | ebc5cc83c2f7
valid from                      | 2026-01-25 21:18:00 UTC
valid until                     | 2027-01-25 21:18:00 UTC
",1.3.6.1.4.1.25623.1.0.103692,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,63c7f227-56db-414a-8ef2-d443eed9cef7,"","","","","
Details:
SSL/TLS: Collect and Report Certificate Details
(OID: 1.3.6.1.4.1.25623.1.0.103692)
Version used: 2024-09-27T05:05:23Z
","","","",""
172.30.29.1,openldap.trabalho_vulnnet,389,tcp,0.0,Log,98,"","SSL/TLS: Collect and Report Certificate Details","This script collects and reports the details of all SSL/TLS
  certificates.

  This data will be used by other tests to verify server certificates.","The following certificate details of the remote service were collected.

Certificate details:
fingerprint (SHA-1)             | 2571BE1CA737CA2368BFA49831F3E8D1D15E287F
fingerprint (SHA-256)           | C0734BA2BF7875F7443552F0AD1B5E00DE985ABBC37A740D6BDEC049B5E93A3E
issued by                       | CN=docker-light-baseimage,ST=New Mexico,L=Albuquerque,OU=Information Technology Dep.,O=A1A Car Wash,C=US
public key algorithm            | EC/ECDSA
public key size (bits)          | 384
serial                          | 265BC03861BE776800EB202CFF6AA2AA6DD5812B
signature algorithm             | ecdsa-with-SHA384
subject                         | CN=ebc5cc83c2f7,OU=Information Technology Dep.,O=A1A Car Wash,L=Albuquerque,ST=New Mexico,C=US
subject alternative names (SAN) | ebc5cc83c2f7
valid from                      | 2026-01-25 21:18:00 UTC
valid until                     | 2027-01-25 21:18:00 UTC
",1.3.6.1.4.1.25623.1.0.103692,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,455f6ee8-7eb4-4893-b285-4b82ecac9d4b,"","","","","
Details:
SSL/TLS: Collect and Report Certificate Details
(OID: 1.3.6.1.4.1.25623.1.0.103692)
Version used: 2024-09-27T05:05:23Z
","","","",""
172.30.29.1,openldap.trabalho_vulnnet,,,0.0,Log,98,"","SSL/TLS: Hostname discovery from server certificate","It was possible to discover an additional hostname
  of this server from its certificate Common or Subject Alt Name.","The following additional and resolvable hostnames were detected:

ebc5cc83c2f7


",1.3.6.1.4.1.25623.1.0.111010,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,20111b39-fc4a-4645-afd5-8f9b0af63650,"","","","","
Details:
SSL/TLS: Hostname discovery from server certificate
(OID: 1.3.6.1.4.1.25623.1.0.111010)
Version used: 2021-11-22T15:32:39Z
","","","",""
172.30.29.1,openldap.trabalho_vulnnet,,,0.0,Log,80,"","OS Detection Consolidation and Reporting","This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum.","Best matching OS:

OS:           Linux Kernel
CPE:          cpe:/o:linux:kernel
Found by VT:  1.3.6.1.4.1.25623.1.0.102002 (Operating System (OS) Detection (ICMP))
Concluded from ICMP based OS fingerprint
Setting key ""Host/runs_unixoide"" based on this information
",1.3.6.1.4.1.25623.1.0.105937,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,c4dbbf5d-1375-45ba-81f7-dbe9ad6e95ac,"","","","","
Details:
OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
Version used: 2026-01-21T05:50:46Z
","","","",""
172.30.29.1,openldap.trabalho_vulnnet,,,0.0,Log,70,"","IP Forwarding Enabled - Active Check","Checks if the remote host has IP forwarding enabled.","It was possible to route a TCP packet through the target host and received an answer which means IP forwarding is enabled.
",1.3.6.1.4.1.25623.1.0.147205,"CVE-1999-0511",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,05b47067-bbe3-4475-aa18-2353e0780d62,"","","","","Sends a crafted Local Link Layer (LLL) frame and checks the
  response.
Details:
IP Forwarding Enabled - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.147205)
Version used: 2021-12-03T08:27:06Z
","","","",""
172.30.29.1,openldap.trabalho_vulnnet,,,0.0,Log,80,"","Traceroute","Collect information about the network route and
  network distance between the scanner host and the target host.","Network route from scanner (172.30.0.2) to target (172.30.29.1):

172.30.0.2
172.30.29.1

Network distance between scanner and target: 2
",1.3.6.1.4.1.25623.1.0.51662,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:34:47Z,41fab376-55f8-4d57-ab06-bb373bbf0746,"","","","For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more.","A combination of the protocols ICMP and TCP is used
  to determine the route. This method is applicable for IPv4 only and it is also known as
  'traceroute'.
Details:
Traceroute
(OID: 1.3.6.1.4.1.25623.1.0.51662)
Version used: 2022-10-17T11:13:19Z
","","","",""
