IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.29.2,phpldapadmin.trabalho_vulnnet,443,tcp,6.1,Medium,30,"VendorFix","phpLDAPadmin < 1.2.4 XSS Vulnerability - Linux","phpLDAPadmin is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.2.3
Fixed version:     1.2.4
Installation
path / port:       /phpldapadmin

",1.3.6.1.4.1.25623.1.0.117015,"CVE-2017-11107",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,8b8f3319-4a6e-45e2-bb56-9d7483e2b931,"The flaw allows remote users to inject arbitrary web script or
  HTML.","Update to version 1.2.4 or later.","phpLDAPadmin version 1.2.3 and prior.","A XSS vulnerability exists in htdocs/entry_chooser.php via the
  form, element, rdn, or container parameter.","Checks if a vulnerable version is present on the target host.
Details:
phpLDAPadmin < 1.2.4 XSS Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117015)
Version used: 2024-12-24T05:05:31Z
","","","DFN-CERT-2017-1228,CB-K17/1188",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,443,tcp,6.1,Medium,30,"VendorFix","phpLDAPadmin < 1.2.4 XSS Vulnerability - Linux","phpLDAPadmin is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.2.3
Fixed version:     1.2.4
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.117015,"CVE-2017-11107",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,2cdaacf0-4e4d-4599-935f-4f98c34e1dbb,"The flaw allows remote users to inject arbitrary web script or
  HTML.","Update to version 1.2.4 or later.","phpLDAPadmin version 1.2.3 and prior.","A XSS vulnerability exists in htdocs/entry_chooser.php via the
  form, element, rdn, or container parameter.","Checks if a vulnerable version is present on the target host.
Details:
phpLDAPadmin < 1.2.4 XSS Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117015)
Version used: 2024-12-24T05:05:31Z
","","","DFN-CERT-2017-1228,CB-K17/1188",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,443,tcp,5.9,Medium,30,"Mitigation","SSL/TLS: BREACH attack against HTTP compression","SSL/TLS connections are vulnerable to the 'BREACH' (Browser
  Reconnaissance & Exfiltration via Adaptive Compression of Hypertext) attack.","Based on the following information it was determined that the remote web server has HTTP compression enabled:

HTTP headers : Content-Encoding: gzip
URL          : https://ddd74033f57d/
",1.3.6.1.4.1.25623.1.0.117414,"CVE-2013-3587",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,245768e3-d36a-4e3b-9d8e-c5f6578ffd9e,"The flaw makes it easier for man-in-the-middle attackers to
  obtain plaintext secret values.","The following mitigation possibilities are available:

  1. Disabling HTTP compression

  2. Separating secrets from user input

  3. Randomizing secrets per request

  4. Masking secrets (effectively randomizing by XORing with a random secret per request)

  5. Protecting vulnerable pages with CSRF

  6. Length hiding (by adding random number of bytes to the responses)

  7. Rate-limiting the requests

  Note: The mitigations are ordered by effectiveness (not by their practicality - as this may differ
  from one application to another).","BREACH is a category of vulnerabilities and not a specific
  instance affecting a specific piece of software. To be vulnerable, a web application must:

  - Be served from a server that uses HTTP-level compression

  - Reflect user-input in HTTP response bodies

  - Reflect a secret (such as a CSRF token) in HTTP response bodies","Angelo Prado, Neal Harris and Yoel Gluck reported that SSL/TLS
  attacks are still viable via a 'BREACH' (Browser Reconnaissance & Exfiltration via Adaptive
  Compression of Hypertext) attack, which they describe as:

  While CRIME was mitigated by disabling TLS/SPDY compression (and by modifying gzip to allow for
  explicit separation of compression contexts in SPDY), BREACH attacks HTTP responses. These are
  compressed using the common HTTP compression, which is much more common than TLS-level
  compression. This allows essentially the same attack demonstrated by Duong and Rizzo, but without
  relying on TLS-level compression (as they anticipated).

  It is important to note that the attack is agnostic to the version of TLS/SSL, and does not
  require TLS-layer compression. Additionally, the attack works against any cipher suite. Against a
  stream cipher, the attack is simpler: The difference in sizes across response bodies is much more
  granular in this case. If a block cipher is used, additional work must be done to align the output
  to the cipher text blocks.","Checks if the remote web server has HTTP compression enabled.

  Note: Even with HTTP compression enabled the web application hosted on the web server might not
  be vulnerable. The low Quality of Detection (QoD) of this VT reflects this fact.
Details:
SSL/TLS: BREACH attack against HTTP compression
(OID: 1.3.6.1.4.1.25623.1.0.117414)
Version used: 2024-09-27T05:05:23Z
","","","DFN-CERT-2018-2395,DFN-CERT-2014-1525,WID-SEC-2024-2086,CB-K14/1447",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,443,tcp,5.0,Medium,70,"Mitigation","Missing Secure Cookie Attribute (HTTP)","The remote HTTP web server / application is missing to set the
  'Secure' cookie attribute for one or more sent HTTP cookie.","The cookie(s):

Set-Cookie: 5d89dac18813e15aa2f75788275e3588=***replaced***; path=/

is/are missing the ""Secure"" cookie attribute.
",1.3.6.1.4.1.25623.1.0.902661,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,c73512a2-3e42-4eba-adda-5b136e7a5773,"","'- Set the 'Secure' cookie attribute for any cookies that are
  sent over a SSL/TLS connection

  - Evaluate / do an own assessment of the security impact on the web server / application and create
  an override for this result if there is none (this can't be checked automatically by this VT)","Any web application accessible via a SSL/TLS connection (HTTPS)
  and at the same time also accessible over a cleartext connection (HTTP).","The flaw exists if a cookie is not using the 'Secure' cookie
  attribute and is sent over a SSL/TLS connection.

  This allows a cookie to be passed to the server by the client over non-secure channels (HTTP) and
  subsequently allows an attacker to e.g. conduct session hijacking attacks.","Checks all cookies sent by the remote HTTP web server /
  application over a SSL/TLS connection for a missing 'Secure' cookie attribute.
Details:
Missing 'Secure' Cookie Attribute (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.902661)
Version used: 2024-09-27T05:05:23Z
","","","",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,443,tcp,5.0,Medium,99,"Mitigation","SSL/TLS: Certificate In Chain Expired","The remote service is using a SSL/TLS certificate chain where
  one or multiple CA certificates have expired.","The following certificates which are part of the certificate chain have expired:

Subject:     CN=docker-light-baseimage,ST=New Mexico,L=Albuquerque,OU=Information Technology Dep.,O=A1A Car Wash,C=US
Expired on:  2020-12-21 13:53:00


",1.3.6.1.4.1.25623.1.0.106237,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,d2a68d63-6216-4d40-a5e5-5a37cd958897,"","Sign your server certificate with a valid CA certificate.","","Checks if the CA certificates in the SSL/TLS certificate chain
  have expired.","Checks the expire date of the CA certificates.
Details:
SSL/TLS: Certificate In Chain Expired
(OID: 1.3.6.1.4.1.25623.1.0.106237)
Version used: 2021-09-24T07:45:50Z
","","","",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,443,tcp,5.0,Medium,70,"Mitigation","Missing HttpOnly Cookie Attribute (HTTP)","The remote HTTP web server / application is missing to set the
  'HttpOnly' cookie attribute for one or more sent HTTP cookie.","The cookie(s):

Set-Cookie: 5d89dac18813e15aa2f75788275e3588=***replaced***; path=/

is/are missing the ""HttpOnly"" cookie attribute.
",1.3.6.1.4.1.25623.1.0.105925,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,8b58f92c-e25b-4eb5-8236-0d931e8e445a,"","'- Set the 'HttpOnly' cookie attribute for any session cookie

  - Evaluate / do an own assessment of the security impact on the web server / application and create
  an override for this result if there is none (this can't be checked automatically by this VT)","Any web application with session handling in cookies.","The flaw exists if a session cookie is not using the 'HttpOnly'
  cookie attribute.

  This allows a cookie to be accessed by JavaScript which could lead to session hijacking
  attacks.","Checks all cookies sent by the remote HTTP web server /
  application for a missing 'HttpOnly' cookie attribute.
Details:
Missing 'HttpOnly' Cookie Attribute (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.105925)
Version used: 2024-01-12T16:12:12Z
","","","",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,443,tcp,4.3,Medium,30,"VendorFix","phpLDAPadmin < 1.2.5 Multiple XSS Vulnerabilities - Linux","phpLDAPadmin is prone to multiple cross-site scripting (XSS)
  vulnerabilities.","Installed version: 1.2.3
Fixed version:     1.2.5
Installation
path / port:       /phpldapadmin

",1.3.6.1.4.1.25623.1.0.117017,"CVE-2019-14375,CVE-2019-14376,CVE-2019-14377",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,096bb3dc-88b6-4dd0-8eba-6c93299bd3b4,"The flaw allows remote users to inject arbitrary web script or
  HTML.","Update to version 1.2.5 or later.","phpLDAPadmin version 1.2.4 and prior.","The following vulnerabilities exist:

  - CVE-2019-14377: XSS in htdocs/create.php

  - CVE-2019-14376: XSS in htdocs/password_checker.php

  - CVE-2019-14375: XSS in htdocs/rename_form.php","Checks if a vulnerable version is present on the target host.
Details:
phpLDAPadmin < 1.2.5 Multiple XSS Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117017)
Version used: 2024-12-24T05:05:31Z
","","","",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,443,tcp,4.3,Medium,30,"VendorFix","phpLDAPadmin < 1.2.5 Multiple XSS Vulnerabilities - Linux","phpLDAPadmin is prone to multiple cross-site scripting (XSS)
  vulnerabilities.","Installed version: 1.2.3
Fixed version:     1.2.5
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.117017,"CVE-2019-14375,CVE-2019-14376,CVE-2019-14377",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,f3ba426a-59b0-4e7a-928b-133b84286027,"The flaw allows remote users to inject arbitrary web script or
  HTML.","Update to version 1.2.5 or later.","phpLDAPadmin version 1.2.4 and prior.","The following vulnerabilities exist:

  - CVE-2019-14377: XSS in htdocs/create.php

  - CVE-2019-14376: XSS in htdocs/password_checker.php

  - CVE-2019-14375: XSS in htdocs/rename_form.php","Checks if a vulnerable version is present on the target host.
Details:
phpLDAPadmin < 1.2.5 Multiple XSS Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117017)
Version used: 2024-12-24T05:05:31Z
","","","",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 1710860366
Packet 2: 1710861466
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,f212408e-cbdf-4a21-a5b5-c95e1298eb3e,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.30.29.2,phpldapadmin.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T06:59:32Z,9bcd7bb9-27d9-47db-9331-afb41e838843,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
