IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.92,owncloud9.trabalho_vulnnet,,,10.0,Critical,80,"Mitigation","Operating System (OS) End of Life (EOL) Detection","The Operating System (OS) on the remote host has reached the end
  of life (EOL) and should not be used anymore.","The ""Debian GNU/Linux"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:debian:debian_linux:9
Installed version,
build or SP:       9
EOL date:          2022-06-30
EOL info:          https://en.wikipedia.org/wiki/List_of_Debian_releases#Release_table
",1.3.6.1.4.1.25623.1.0.103674,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,fbff6be3-9b0b-4fa6-9ae1-fead1c2e258c,"An EOL version of an OS is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update the OS on the remote host to a version which is still
  supported and receiving security updates by the vendor.

  Note / Important: Please create an override for this result if the target host is a:

  - Windows system with Extended Security Updates (ESU)

  - System with additional 3rd-party / non-vendor security updates like e.g. from 'TuxCare',
  'Freexian Extended LTS' or similar","","","Checks if an EOL version of an OS is present on the target
  host.
Details:
Operating System (OS) End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: 2025-05-21T05:40:19Z
","Product: cpe:/o:debian:debian_linux:9
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
","","",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server Multiple Vulnerabilities (Jun 2017) - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.26
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.811214,"CVE-2017-7679,CVE-2017-3169,CVE-2017-3167",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,db500728-054a-4b63-b153-b15f8d45ff2d,"Successful exploitation will allow remote
  attackers to bypass authentication and perform unauthorized actions, cause
  a denial-of-service condition and gain access to potentially sensitive
  information.","Update to Apache HTTP Server 2.2.33 or 2.4.26
  or later.","Apache HTTP Server 2.2.x before 2.2.33 and
  2.4.x before 2.4.26.","Multiple flaws exist as,

  - The mod_mime can read one byte past the end of a buffer when sending a malicious
    Content-Type response header.

  - The mod_ssl may dereference a NULL pointer when third-party modules call
    ap_hook_process_connection() during an HTTP request to an HTTPS port.

  - An use of the ap_get_basic_auth_pw() by third-party modules outside of the
    authentication phase may lead to authentication requirements being
    bypassed.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server Multiple Vulnerabilities (Jun 2017) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.811214)
Version used: 2024-02-16T05:06:55Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2019-0358,DFN-CERT-2018-0077,DFN-CERT-2017-2290,DFN-CERT-2017-2104,DFN-CERT-2017-2021,DFN-CERT-2017-1926,DFN-CERT-2017-1925,DFN-CERT-2017-1843,DFN-CERT-2017-1828,DFN-CERT-2017-1692,DFN-CERT-2017-1443,DFN-CERT-2017-1327,DFN-CERT-2017-1193,DFN-CERT-2017-1058,WID-SEC-2025-0370,WID-SEC-2022-0673,CB-K22/0045,CB-K18/0066,CB-K17/2188,CB-K17/2013,CB-K17/1936,CB-K17/1854,CB-K17/1842,CB-K17/1768,CB-K17/1747,CB-K17/1622,CB-K17/1382,CB-K17/1279,CB-K17/1154,CB-K17/1023",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server Multiple Vulnerabilities (Apr 2018) - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.30
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.812844,"CVE-2018-1312,CVE-2018-1283,CVE-2017-15715,CVE-2017-15710,CVE-2018-1301",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,c8f8809b-a6b9-4d18-b262-d93a8b5d33fa,"Successful exploitation will allow an attacker
  to replay HTTP requests across servers without detection, influence the user
  content, upload a malicious file, crash the Apache HTTP Server and perform
  denial of service attack.","Update to version 2.4.30 or later. Please see the references for more information.","Apache HTTP Server versions from 2.4.1 to
  2.4.4, 2.4.6, 2.4.7, 2.4.9, 2.4.10, 2.4.12, 2.4.16 to 2.4.18, 2.4.20, 2.4.23,
  2.4.25 to 2.4.29.","Multiple flaws exist due to:

  - Apache HTTP Server fails to correctly generate the nonce sent to prevent
    reply attacks.

  - Misconfigured mod_session variable, HTTP_SESSION.

  - Apache HTTP Server fails to sanitize the expression specified in '<FilesMatch>'.

  - An error in Apache HTTP Server 'mod_authnz_ldap' when configured with
    AuthLDAPCharsetConfig.

  - Apache HTTP Server fails to sanitize against a specially crafted request.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server Multiple Vulnerabilities (Apr 2018) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.812844)
Version used: 2024-02-09T05:06:25Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2020-2133,DFN-CERT-2020-0673,DFN-CERT-2019-1550,DFN-CERT-2019-0736,DFN-CERT-2019-0359,DFN-CERT-2019-0351,DFN-CERT-2018-2316,DFN-CERT-2018-0985,DFN-CERT-2018-0795,DFN-CERT-2018-0703,DFN-CERT-2018-0570,WID-SEC-2023-1594,CB-K20/1030,CB-K19/0354,CB-K18/0535",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server <= 2.4.52 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.53
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.113837,"CVE-2022-22719,CVE-2022-22720,CVE-2022-22721,CVE-2022-23943",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,f609b639-4231-4f07-b161-45701593988a,"","Update to version 2.4.53 or later.","Apache HTTP Server version 2.4.52 and prior.","The following vulnerabilities exist:

  - CVE-2022-22719: mod_lua Use of uninitialized value of in r:parsebody

  - CVE-2022-22720: HTTP request smuggling vulnerability

  - CVE-2022-22721: Possible buffer overflow with very large or unlimited LimitXMLRequestBody

  - CVE-2022-23943: mod_sed: Read/write beyond bounds","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server <= 2.4.52 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113837)
Version used: 2022-03-21T03:03:41Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-2799,DFN-CERT-2022-2509,DFN-CERT-2022-2305,DFN-CERT-2022-2167,DFN-CERT-2022-1116,DFN-CERT-2022-1115,DFN-CERT-2022-1114,DFN-CERT-2022-0899,DFN-CERT-2022-0898,DFN-CERT-2022-0865,DFN-CERT-2022-0747,DFN-CERT-2022-0678,DFN-CERT-2022-0582,WID-SEC-2024-1591,WID-SEC-2022-1772,WID-SEC-2022-1335,WID-SEC-2022-1228,WID-SEC-2022-1161,WID-SEC-2022-1057,WID-SEC-2022-0898,WID-SEC-2022-0799,WID-SEC-2022-0755,WID-SEC-2022-0646,WID-SEC-2022-0432,WID-SEC-2022-0302,WID-SEC-2022-0290,CB-K22/0619,CB-K22/0306",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server <= 2.4.51 Buffer Overflow Vulnerability - Linux","Apache HTTP Server is prone to a buffer overflow
  vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.52
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117856,"CVE-2021-44790",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,4b733438-c769-4ce5-aaf1-6bf78b2a0e9d,"","Update to version 2.4.52 or later.","Apache HTTP Server versions through 2.4.51.","A carefully crafted request body can cause a buffer overflow in
  the mod_lua multipart parser (r:parsebody() called from Lua scripts).","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server <= 2.4.51 Buffer Overflow Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117856)
Version used: 2021-12-23T12:12:57Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-1116,DFN-CERT-2022-1115,DFN-CERT-2022-1114,DFN-CERT-2022-0747,DFN-CERT-2022-0369,DFN-CERT-2022-0192,DFN-CERT-2022-0098,DFN-CERT-2022-0068,DFN-CERT-2021-2656,WID-SEC-2024-1591,WID-SEC-2024-0064,WID-SEC-2022-1908,WID-SEC-2022-1767,WID-SEC-2022-1057,WID-SEC-2022-0727,WID-SEC-2022-0432,WID-SEC-2022-0302,WID-SEC-2022-0190,CB-K22/0619,CB-K21/1296",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.60
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114682,"CVE-2024-36387,CVE-2024-38473,CVE-2024-38474,CVE-2024-38475,CVE-2024-38476,CVE-2024-38477,CVE-2024-39573",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,c54710cd-1c9a-424b-9f2a-91134dea5c86,"","Update to version 2.4.60 or later.","Apache HTTP Server version 2.4.59 and prior.","The following flaws exist:

  - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2

  - CVE-2024-38473: Proxy encoding problem

  - CVE-2024-38474: Weakness with encoded question marks in backreferences

  - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem
  path

  - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers
  via internal redirect

  - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request

  - CVE-2024-39573: mod_rewrite proxy handler substitution","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114682)
Version used: 2025-08-07T05:44:51Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2025-1898,DFN-CERT-2025-1808,DFN-CERT-2025-0974,DFN-CERT-2025-0854,DFN-CERT-2025-0170,DFN-CERT-2024-2841,DFN-CERT-2024-2787,DFN-CERT-2024-2736,DFN-CERT-2024-2342,DFN-CERT-2024-2214,DFN-CERT-2024-2201,DFN-CERT-2024-2180,DFN-CERT-2024-2110,DFN-CERT-2024-2017,DFN-CERT-2024-1963,DFN-CERT-2024-1920,DFN-CERT-2024-1919,DFN-CERT-2024-1911,DFN-CERT-2024-1907,DFN-CERT-2024-1893,DFN-CERT-2024-1816,DFN-CERT-2024-1811,DFN-CERT-2024-1784,DFN-CERT-2024-1741,DFN-CERT-2024-1699,WID-SEC-2025-1572,WID-SEC-2025-0818,WID-SEC-2025-0148,WID-SEC-2025-0143,WID-SEC-2024-3291,WID-SEC-2024-3199,WID-SEC-2024-1913,WID-SEC-2024-1504",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server < 2.4.54 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.54
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.148252,"CVE-2022-26377,CVE-2022-28614,CVE-2022-28615,CVE-2022-29404,CVE-2022-30556,CVE-2022-31813",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,c813fa1b-e64e-4841-b90b-5126b569a804,"","Update to version 2.4.54 or later.","Apache HTTP Server version 2.4.53 and prior.","The following vulnerabilities exist:

  - CVE-2022-26377: mod_proxy_ajp: Possible request smuggling

  - CVE-2022-28614: Read beyond bounds via ap_rwrite()

  - CVE-2022-28615: Read beyond bounds in ap_strcmp_match()

  - CVE-2022-29404: Denial of service in mod_lua r:parsebody

  - CVE-2022-30556: Information disclosure in mod_lua with websockets

  - CVE-2022-31813: mod_proxy X-Forwarded-For dropped by hop-by-hop mechanism","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.54 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148252)
Version used: 2022-06-20T03:04:15Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2023-0119,DFN-CERT-2022-2799,DFN-CERT-2022-2789,DFN-CERT-2022-2652,DFN-CERT-2022-2509,DFN-CERT-2022-2310,DFN-CERT-2022-2167,DFN-CERT-2022-1837,DFN-CERT-2022-1833,DFN-CERT-2022-1720,DFN-CERT-2022-1353,DFN-CERT-2022-1296,WID-SEC-2024-1591,WID-SEC-2023-1969,WID-SEC-2023-0134,WID-SEC-2023-0132,WID-SEC-2022-1767,WID-SEC-2022-1766,WID-SEC-2022-1764,WID-SEC-2022-0858,WID-SEC-2022-0192,CB-K22/0692",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server < 2.4.49 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.49
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.146725,"CVE-2021-34798,CVE-2021-39275,CVE-2021-40438",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,303058c7-2640-4b44-a279-33a991bb37aa,"","Update to version 2.4.49 or later.","Apache HTTP Server version 2.4.48 and prior.","The following vulnerabilities exist:

  - CVE-2021-34798: NULL pointer dereference in httpd core

  - CVE-2021-39275: ap_escape_quotes buffer overflow

  - CVE-2021-40438: mod_proxy SSRF","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.49 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.146725)
Version used: 2022-08-09T10:11:17Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2023-0881,DFN-CERT-2022-2405,DFN-CERT-2022-2167,DFN-CERT-2022-0904,DFN-CERT-2022-0878,DFN-CERT-2022-0872,DFN-CERT-2022-0869,DFN-CERT-2022-0672,DFN-CERT-2022-0207,DFN-CERT-2022-0119,DFN-CERT-2022-0098,DFN-CERT-2021-2629,DFN-CERT-2021-2471,DFN-CERT-2021-2185,DFN-CERT-2021-2164,DFN-CERT-2021-2153,DFN-CERT-2021-2098,DFN-CERT-2021-2090,DFN-CERT-2021-2047,DFN-CERT-2021-2020,DFN-CERT-2021-1961,WID-SEC-2024-2180,WID-SEC-2024-1591,WID-SEC-2024-0186,WID-SEC-2024-0064,WID-SEC-2023-1969,WID-SEC-2023-1016,WID-SEC-2022-1298,WID-SEC-2022-1189,WID-SEC-2022-0724,WID-SEC-2022-0190,CB-K22/0476,CB-K22/0465,CB-K22/0463,CB-K21/0992",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server 2.4.0 - 2.4.46 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.48
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.112897,"CVE-2020-35452,CVE-2021-26690,CVE-2021-26691",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,84e0ee70-1472-4bc9-9400-108f84ed295a,"'- CVE-2020-35452: A specially crafted Digest nonce can cause a
  stack overflow in mod_auth_digest.

  - CVE-2021-26690: A specially crafted Cookie header handled by mod_session can cause a NULL
  pointer dereference and crash, leading to a possible Denial Of Service.

  - CVE-2021-26691: A specially crafted SessionHeader sent by an origin server could cause a heap
  overflow.","Update to version 2.4.48 or later.","Apache HTTP Server versions 2.4.0 to 2.4.46 on Linux.","The following vulnerabilities exist:

  - CVE-2020-35452: mod_auth_digest possible stack overflow by one null byte

  - CVE-2021-26690: mod_session NULL pointer dereference

  - CVE-2021-26691: mod_session response handling heap overflow","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.0 - 2.4.46 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.112897)
Version used: 2021-08-24T09:01:06Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-1047,DFN-CERT-2022-0207,DFN-CERT-2022-0122,DFN-CERT-2022-0098,DFN-CERT-2021-2394,DFN-CERT-2021-2365,DFN-CERT-2021-2300,DFN-CERT-2021-2187,DFN-CERT-2021-2153,DFN-CERT-2021-1467,DFN-CERT-2021-1412,DFN-CERT-2021-1355,DFN-CERT-2021-1340,DFN-CERT-2021-1333,DFN-CERT-2021-1321,DFN-CERT-2021-1273,WID-SEC-2024-1591,WID-SEC-2024-0064,WID-SEC-2022-0438,WID-SEC-2022-0190,CB-K22/0072,CB-K21/1092,CB-K21/1090,CB-K21/0646",""
172.31.1.92,owncloud9.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","Apache HTTP Server 2.4.0 - 2.4.55 HTTP Request Smuggling Vulnerability - Linux","Apache HTTP Server is prone to a HTTP request smuggling
  vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.56
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.104597,"CVE-2023-25690",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T05:24:54Z,247330e1-bc87-4cb9-a889-dda4f6846240,"Request splitting/smuggling could result in bypass of access
  controls in the proxy server, proxying unintended URLs to existing origin servers, and cache
  poisoning.","Update to version 2.4.56 or later.","Apache HTTP Server versions 2.4.0 through 2.4.55.","Some mod_proxy configurations allow a HTTP Request Smuggling
  attack.

  Configurations are affected when mod_proxy is enabled along with some form of RewriteRule or
  ProxyPassMatch in which a non-specific pattern matches some portion of the user-supplied
  request-target (URL) data and is then re-inserted into the proxied request-target using variable
  substitution.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.0 - 2.4.55 HTTP Request Smuggling Vulnerability - Lin...
(OID: 1.3.6.1.4.1.25623.1.0.104597)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2023-1648,DFN-CERT-2023-1297,DFN-CERT-2023-1232,DFN-CERT-2023-0884,DFN-CERT-2023-0788,DFN-CERT-2023-0658,DFN-CERT-2023-0546,WID-SEC-2025-1285,WID-SEC-2024-1591,WID-SEC-2024-0794,WID-SEC-2023-3129,WID-SEC-2023-2694,WID-SEC-2023-2031,WID-SEC-2023-1809,WID-SEC-2023-1807,WID-SEC-2023-1424,WID-SEC-2023-1021,WID-SEC-2023-0657,WID-SEC-2023-0583",""
