IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.30.1,snmpd.trabalho_vulnnet,161,udp,7.6,High,99,"VendorFix","Report default community names of the SNMP Agent","Simple Network Management Protocol (SNMP) is a protocol which
  can be used by administrators to remotely manage a computer or network device. There are typically
  2 modes of remote SNMP monitoring. These modes are roughly 'READ' and 'WRITE' (or PUBLIC and
  PRIVATE).","SNMP Agent responded as expected when using the following community name:

public

",1.3.6.1.4.1.25623.1.0.10264,"CVE-1999-0186,CVE-1999-0254,CVE-1999-0472,CVE-1999-0516,CVE-1999-0517,CVE-1999-0792,CVE-2000-0147,CVE-2001-0380,CVE-2001-0514,CVE-2001-1210,CVE-2002-0109,CVE-2002-0478,CVE-2002-1229,CVE-2004-0311,CVE-2004-1474,CVE-2004-1775,CVE-2004-1776,CVE-2006-4950,CVE-2008-1524,CVE-2010-1574,CVE-2010-2976,CVE-2011-0890,CVE-2012-4964,CVE-2014-4862,CVE-2014-4863,CVE-2016-1452,CVE-2016-1473,CVE-2016-5645,CVE-2017-7922,CVE-2020-5364,CVE-2024-5460,CVE-2024-8450,CVE-2025-12217",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,35ab89c4-ade9-4d67-8af4-7dafcf07c93d,"If an attacker is able to guess a PUBLIC community string, they
  would be able to read SNMP data (depending on which MIBs are installed) from the remote device.
  This information might include system time, IP addresses, interfaces, processes running, etc.

  If an attacker is able to guess a PRIVATE community string (WRITE or 'writeall' access), they will
  have the ability to change information on the remote machine. This could be a huge security hole,
  enabling remote attackers to wreak complete havoc such as routing network traffic, initiating
  processes, etc. In essence, 'writeall' access will give the remote attacker full administrative
  rights over the remote machine.

  Note that this test only gathers information and does not attempt to write to the remote device.
  Thus it is not possible to determine automatically whether the reported community is public or
  private.

  Also note that information made available through a guessable community string might or might not
  contain sensitive data. Please review the information available through the reported community
  string to determine the impact of this disclosure.","Determine if the detected community string is a private
  community string. Determine whether a public community string exposes sensitive information.
  Disable the SNMP service if you don't use it or change the default community string.","","","
Details:
Report default community names of the SNMP Agent
(OID: 1.3.6.1.4.1.25623.1.0.10264)
Version used: 2025-10-28T05:40:26Z
","","","DFN-CERT-2016-1423,DFN-CERT-2016-1130,DFN-CERT-2010-0866,WID-SEC-2024-1255,CB-K18/1132,CB-K16/1338,CB-K16/1061",""
172.30.30.1,snmpd.trabalho_vulnnet,161,udp,5.0,Medium,99,"Workaround","SNMP GETBULK Reflected DRDoS","The remote SNMP daemon allows distributed reflection and
  amplification (DRDoS) attacks.","By sending an SNMP GetBulk request of 41 bytes, we received a response of 1456 bytes.
",1.3.6.1.4.1.25623.1.0.105062,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,88869e01-a1e4-4d5e-b3ed-ef3a774ca569,"Successfully exploiting this vulnerability allows attackers to
  cause denial-of-service conditions against remote hosts.","Disable the SNMP service on the remote host if you do not use it or
  restrict access to this service.","","","Send an SNMP GetBulk request and check the response.
Details:
SNMP GETBULK Reflected DRDoS
(OID: 1.3.6.1.4.1.25623.1.0.105062)
Version used: 2023-07-27T05:05:09Z
","","","",""
172.30.30.1,snmpd.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,532b042c-956d-4db6-aa24-161f8d6bb2f0,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
172.30.30.1,snmpd.trabalho_vulnnet,,,0.0,Log,80,"","OS Detection Consolidation and Reporting","This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum.","Best matching OS:

OS:           Unraid OS
CPE:          cpe:/o:unraid:unraid
Found by VT:  1.3.6.1.4.1.25623.1.0.153874 (Unraid OS Detection Consolidation)
Setting key ""Host/runs_unixoide"" based on this information

Other OS detections (in order of reliability):

OS:           Linux 6.6.87.2-microsoft-standard-WSL2
Version:      6.6.87.2-microsoft-standard-WSL2
CPE:          cpe:/o:linux:kernel:6.6.87.2-microsoft-standard-wsl2
Found by VT:  1.3.6.1.4.1.25623.1.0.103429 (Operating System (OS) Detection (SNMP))
Concluded from SNMP sysDescr on port 161/udp: Linux 3261c2cf33a6 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64


",1.3.6.1.4.1.25623.1.0.105937,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,6af9ab6c-5faa-4951-96b6-5f1b46372158,"","","","","
Details:
OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
Version used: 2026-01-21T05:50:46Z
","","","",""
172.30.30.1,snmpd.trabalho_vulnnet,,,0.0,Log,70,"","IP Forwarding Enabled - Active Check","Checks if the remote host has IP forwarding enabled.","It was possible to route a TCP packet through the target host and received an answer which means IP forwarding is enabled.
",1.3.6.1.4.1.25623.1.0.147205,"CVE-1999-0511",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,624093fc-952d-4e8e-83e4-28da4a9adc5f,"","","","","Sends a crafted Local Link Layer (LLL) frame and checks the
  response.
Details:
IP Forwarding Enabled - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.147205)
Version used: 2021-12-03T08:27:06Z
","","","",""
172.30.30.1,snmpd.trabalho_vulnnet,,,0.0,Log,80,"","Traceroute","Collect information about the network route and
  network distance between the scanner host and the target host.","Network route from scanner (172.30.0.2) to target (172.30.30.1):

172.30.0.2
172.30.30.1

Network distance between scanner and target: 2
",1.3.6.1.4.1.25623.1.0.51662,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,95fd8911-9a8e-42e8-9c7a-2705866095b9,"","","","For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more.","A combination of the protocols ICMP and TCP is used
  to determine the route. This method is applicable for IPv4 only and it is also known as
  'traceroute'.
Details:
Traceroute
(OID: 1.3.6.1.4.1.25623.1.0.51662)
Version used: 2022-10-17T11:13:19Z
","","","",""
172.30.30.1,snmpd.trabalho_vulnnet,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","172.30.30.1|cpe:/o:unraid:unraid

",1.3.6.1.4.1.25623.1.0.810002,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,e3fd1024-241b-41fc-bb6d-46b04645c581,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
172.30.30.1,snmpd.trabalho_vulnnet,161,udp,0.0,Log,80,"","An SNMP Agent is running","This script detects if SNMP is open and if it is possible to
  connect with the given credentials / community string from one of the following resources:

  - SNMPv1/2 community string provided via the target configuration or via 'SNMP Authorization (OID:
  1.3.6.1.4.1.25623.1.0.105076).'

  - SNMPv1/2 community string detected by 'Check default community names of the SNMP Agent (OID:
  1.3.6.1.4.1.25623.1.0.103914).'

  - SNMPv3 credentials provided via the target configuration or via 'SNMP Authorization (OID:
  1.3.6.1.4.1.25623.1.0.105076).'","An SNMP server is running on this host.

The following SNMP versions are supported:
- SNMPv1
- SNMPv2c
- SNMPv3

Additional info:
- SNMPv1: It was possible to log in using the community string 'public' detected by ""Check default community names of the SNMP Agent (OID: 1.3.6.1.4.1.25623.1.0.103914)"".
- SNMPv2c: It was possible to log in using the community string 'public' detected by ""Check default community names of the SNMP Agent (OID: 1.3.6.1.4.1.25623.1.0.103914)"".
- SNMPv3: It was possible to determine that a service is running by using random credentials and based on the following response: Unknown user name
",1.3.6.1.4.1.25623.1.0.10265,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,65e87a7d-5628-4677-b32b-e95c7d80cbf0,"","","","","
Details:
An SNMP Agent is running
(OID: 1.3.6.1.4.1.25623.1.0.10265)
Version used: 2023-08-10T05:05:53Z
","","","",""
172.30.30.1,snmpd.trabalho_vulnnet,,,0.0,Log,80,"","Hostname Determination Reporting","The script reports information on how the hostname of the target
  was determined.","Hostname determination for IP 172.30.30.1:

Hostname|Source
snmpd.trabalho_vulnnet|Reverse-DNS
",1.3.6.1.4.1.25623.1.0.108449,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,3739ad7e-6f6b-4995-8bc9-5971fc15681b,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
Version used: 2022-07-27T10:11:28Z
","","","",""
172.30.30.1,snmpd.trabalho_vulnnet,161,udp,0.0,Log,80,"","SNMP Information Detection and Reporting","SNMP based detection and reporting of generic information like
  e.g. the System Description/sysDescr (OID: 1.3.6.1.2.1.1.1.0) gathered from the remote device.","The following SNMP information was extracted from the remote device:

  System Description (OID: 1.3.6.1.2.1.1.1.0) :            Linux 3261c2cf33a6 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64
  System Name (OID: 1.3.6.1.2.1.1.5.0) :                   3261c2cf33a6
  System Location (OID: 1.3.6.1.2.1.1.6.0) :                   Unknown (edit /etc/snmp/snmpd.conf)
  System ObjectID (OID: 1.3.6.1.2.1.1.2.0) :               iso.3.6.1.4.1.8072.3.2.10
",1.3.6.1.4.1.25623.1.0.103416,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:05Z,468eeb99-ae33-4f8a-9345-6af5cade2e8d,"","","","","
Details:
SNMP Information Detection and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.103416)
Version used: 2025-06-27T05:41:33Z
","","","",""
