IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.29,pg95.trabalho_vulnnet,5432,tcp,10.0,Critical,30,"VendorFix","PostgreSQL Multiple Vulnerabilities (Aug 2025) - Linux","PostgreSQL is prone to multiple vulnerabilities.","Installed version: 9.5.25
Fixed version:     13.22
Installation
path / port:       5432/tcp

",1.3.6.1.4.1.25623.1.0.155168,"CVE-2025-8713,CVE-2025-8714,CVE-2025-8715",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,ae6e332d-3418-48a7-a0c8-27bff3dbff73,"","Update to version 13.22, 14.19, 15.14, 16.10, 17.6 or
  later.","PostgreSQL prior to version 13.22, 14.x prior to 14.19, 15.x
  prior to 15.14, 16.x prior to 16.10 and 17.x prior to 17.6.","The following flaws exist:

  - CVE-2025-8713: Optimizer statistics can expose sampled data within a view, partition, or child
  table

  - CVE-2025-8714: pg_dump lets superuser of origin server execute arbitrary code in psql client

  - CVE-2025-8715: pg_dump newline in object name executes arbitrary code in psql client and in
  restore target server","Checks if a vulnerable version is present on the target host.
Details:
PostgreSQL Multiple Vulnerabilities (Aug 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.155168)
Version used: 2025-08-20T05:40:05Z
","Product: cpe:/a:postgresql:postgresql:9.5.25
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","DFN-CERT-2025-2667,DFN-CERT-2025-2360,DFN-CERT-2025-2233,WID-SEC-2025-2140,WID-SEC-2025-1842",""
172.31.1.29,pg95.trabalho_vulnnet,5432,tcp,10.0,Critical,30,"VendorFix","PostgreSQL End of Life (EOL) Detection - Linux","The PostgreSQL version on the remote host has reached the End of
  Life (EOL) and should not be used anymore.","The ""PostgreSQL"" version on the remote host has reached the end of life.

CPE:               cpe:/a:postgresql:postgresql:9.5.25
Installed version: 9.5.25
Location/URL:      5432/tcp
EOL version:       9.5
EOL date:          2021-02-11
",1.3.6.1.4.1.25623.1.0.140158,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,054590b8-5cc4-442a-b33c-3de2a6c5c057,"An EOL version of PostgreSQL is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the PostgreSQL version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
PostgreSQL End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.140158)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:postgresql:postgresql:9.5.25
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","",""
172.31.1.29,pg95.trabalho_vulnnet,5432,tcp,9.8,Critical,30,"VendorFix","PostgreSQL < 10.6, 11.x < 11.1 SQL Injection Vulnerability - Linux","PostgreSQL is prone to an SQL injection vulnerability.","Installed version: 9.5.25
Fixed version:     10.6
Installation
path / port:       5432/tcp

",1.3.6.1.4.1.25623.1.0.112429,"CVE-2018-16850",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,a668060e-73d2-4d91-b04d-60e5aee03176,"","Update to version 10.6 or 11.1 respectively.","PostgreSQL before versions 10.6 and 11.1.","A SQL Injection flaw has been discovered in PostgreSQL server in the way
  triggers that enable transition relations are dumped. The transition relation name is not correctly quoted
  and it may allow an attacker with CREATE privilege on some non-temporary schema or TRIGGER privilege on some
  table to create a malicious trigger that, when dumped and restored, would result in additional SQL statements being executed.","Checks if a vulnerable version is present on the target host.
Details:
PostgreSQL < 10.6, 11.x < 11.1 SQL Injection Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.112429)
Version used: 2024-07-19T05:05:32Z
","Product: cpe:/a:postgresql:postgresql:9.5.25
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","DFN-CERT-2019-1285,DFN-CERT-2018-2290,CB-K18/1080",""
172.31.1.29,pg95.trabalho_vulnnet,5432,tcp,9.0,Critical,99,"Mitigation","PostgreSQL Default Credentials (PostgreSQL Protocol)","It was possible to login into the remote PostgreSQL as user
  postgres using weak credentials.","It was possible to login as user postgres with password ""postgres"".


",1.3.6.1.4.1.25623.1.0.103552,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,c7ea96a2-2809-42cb-8e59-6e28d6d20306,"","Change the password as soon as possible.","","","
Details:
PostgreSQL Default Credentials (PostgreSQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.103552)
Version used: 2024-07-19T15:39:06Z
","Product: cpe:/a:postgresql:postgresql:9.5.25
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","",""
172.31.1.29,pg95.trabalho_vulnnet,5432,tcp,8.1,High,30,"VendorFix","PostgreSQL < 9.6.24, 10.x < 10.19, 11.x < 11.14, 12.x < 12.9, 13.x < 13.5, 14.x < 14.1 Multiple Vulnerabilities - Linux","PostgreSQL is prone to multiple vulnerabilities.","Installed version: 9.5.25
Fixed version:     9.6.24
Installation
path / port:       5432/tcp

",1.3.6.1.4.1.25623.1.0.147148,"CVE-2021-23214,CVE-2021-23222",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,d4ec9098-cee1-4fd6-b6ca-fb2b38429599,"","Update to version 9.6.24, 10.19, 11.14, 12.9, 13.5, 14.1 or
  later.","PostgreSQL prior to version 9.6.24, version 10.x through 10.18,
  11.x through 11.13, 12.x through 12.8, 13.x through 13.4 and version 14.0.","The following vulnerabilities exist:

  - CVE-2021-23214: Server processes unencrypted bytes from man-in-the-middle

  - CVE-2021-23222: libpq processes unencrypted bytes from man-in-the-middle","Checks if a vulnerable version is present on the target host.
Details:
PostgreSQL < 9.6.24, 10.x < 10.19, 11.x < 11.14, 12.x < 12.9, 13.x < 13.5, 1...
(OID: 1.3.6.1.4.1.25623.1.0.147148)
Version used: 2024-07-19T05:05:32Z
","Product: cpe:/a:postgresql:postgresql:9.5.25
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","DFN-CERT-2022-2776,DFN-CERT-2022-2152,DFN-CERT-2022-1919,DFN-CERT-2022-1885,DFN-CERT-2022-0578,DFN-CERT-2022-0236,DFN-CERT-2021-2638,DFN-CERT-2021-2566,DFN-CERT-2021-2400,WID-SEC-2025-2471,WID-SEC-2023-0426,WID-SEC-2022-1515,WID-SEC-2022-0031,CB-K22/0310,CB-K22/0127,CB-K21/1201",""
172.31.1.29,pg95.trabalho_vulnnet,5432,tcp,7.6,High,30,"VendorFix","PostgreSQL SQLi Vulnerability (Feb 2025) - Linux","PostgreSQL is prone to an SQL injection (SQLi)
  vulnerability.","Installed version: 9.5.25
Fixed version:     13.19
Installation
path / port:       5432/tcp

",1.3.6.1.4.1.25623.1.0.154018,"CVE-2025-1094",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,253a8c38-1e4d-4cc3-982a-917328e8b4a8,"","Update to version 13.19, 14.16, 15.11, 16.7, 17.3 or later.","PostgreSQL prior to version 13.19, 14.x prior to 14.16, 15.x
  prior to 15.11, 16.x prior to 16.7 and 17.x prior to 17.3.","Improper neutralization of quoting syntax in PostgreSQL libpq
  functions PQescapeLiteral(), PQescapeIdentifier(), PQescapeString(), and PQescapeStringConn()
  allows a database input provider to achieve SQL injection in certain usage patterns.
  Specifically, SQL injection requires the application to use the function result to construct
  input to psql, the PostgreSQL interactive terminal. Similarly, improper neutralization of quoting
  syntax in PostgreSQL command line utility programs allows a source of command line arguments to
  achieve SQL injection when client_encoding is BIG5 and server_encoding is one of EUC_TW or
  MULE_INTERNAL.","Checks if a vulnerable version is present on the target host.
Details:
PostgreSQL SQLi Vulnerability (Feb 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154018)
Version used: 2025-05-09T15:42:11Z
","Product: cpe:/a:postgresql:postgresql:9.5.25
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","DFN-CERT-2025-0371,WID-SEC-2025-1439,WID-SEC-2025-0372",""
172.31.1.29,pg95.trabalho_vulnnet,5432,tcp,5.4,Medium,30,"VendorFix","PostgreSQL DoS Vulnerability (Feb 2025) - Linux","PostgreSQL is prone to a denial of service (DoS) vulnerability
  due to a buffer over-read.","Installed version: 9.5.25
Fixed version:     13.21
Installation
path / port:       5432/tcp

",1.3.6.1.4.1.25623.1.0.154470,"CVE-2025-4207",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,eb256279-e9f0-4267-92ea-8a72a368c004,"","Update to version 13.21, 14.18, 15.13, 16.9, 17.5 or later.","PostgreSQL prior to version 13.21, 14.x prior to 14.18, 15.x
  prior to 15.13, 16.x prior to 16.9 and 17.x prior to 17.5.","A buffer over-read in PostgreSQL GB18030 encoding validation
  allows a database input provider to achieve temporary denial of service on platforms where a
  1-byte over-read can elicit process termination.","Checks if a vulnerable version is present on the target host.
Details:
PostgreSQL DoS Vulnerability (Feb 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154470)
Version used: 2025-05-13T05:41:39Z
","Product: cpe:/a:postgresql:postgresql:9.5.25
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","DFN-CERT-2025-1179,WID-SEC-2025-1439,WID-SEC-2025-0986",""
172.31.1.29,pg95.trabalho_vulnnet,5432,tcp,5.4,Medium,30,"VendorFix","PostgreSQL Multiple Vulnerabilities (Nov 2025) - Linux","PostgreSQL is prone to multiple vulnerabilities.","Installed version: 9.5.25
Fixed version:     13.23
Installation
path / port:       5432/tcp

",1.3.6.1.4.1.25623.1.0.155797,"CVE-2025-12817,CVE-2025-12818",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,ccf103e6-6cd3-4d2b-9e4d-f2132420f805,"","Update to version 13.23, 14.20, 15.15, 16.11, 17.7, 18.1 or
  later.","PostgreSQL prior to version 13.23, 14.x prior to 14.20, 15.x
  prior to 15.15, 16.x prior to 16.11, 17.x prior to 17.7 and 18.x prior to 18.1.","The following flaws exist:

  - CVE-2025-12817: CREATE STATISTICS does not check for schema CREATE privilege

  - CVE-2025-12818: libpq undersizes allocations, via integer wraparound","Checks if a vulnerable version is present on the target host.
Details:
PostgreSQL Multiple Vulnerabilities (Nov 2025) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.155797)
Version used: 2025-11-18T05:39:54Z
","Product: cpe:/a:postgresql:postgresql:9.5.25
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","DFN-CERT-2025-3194,WID-SEC-2025-2600",""
172.31.1.29,pg95.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 1311802792
Packet 2: 1311803912
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,d45f8b1e-8375-4dbf-a5f1-50b1cc4655e3,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.31.1.29,pg95.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:18:46Z,5aeb76f8-f75c-476e-90f8-bd52b55b8b96,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
