IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,9.8,Critical,30,"VendorFix","OpenSSH < 7.2 X11 Forwarding Security Bypass Vulnerability - Linux","OpenSSH is prone to a security bypass vulnerability.","Installed version: 6.6.1p1
Fixed version:     7.2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.810769,"CVE-2016-1908",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,8636cad1-8cb9-43e8-b927-81a9a797a874,"Successfully exploiting this issue allows local users to bypass
  certain security restrictions and perform unauthorized actions. This may lead to further
  attacks.","Update to version 7.2 or later.","OpenSSH versions before 7.2 on Linux.","An access flaw was discovered in OpenSSH, it did not correctly
  handle failures to generate authentication cookies for untrusted X11 forwarding. A malicious or
  compromised remote X application could possibly use this flaw to establish a trusted connection to
  the local X server, even if only untrusted X11 forwarding was requested.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH < 7.2 X11 Forwarding Security Bypass Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.810769)
Version used: 2024-12-13T05:05:32Z
","Product: cpe:/a:openbsd:openssh:6.6.1p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2018-1828,DFN-CERT-2016-1574,DFN-CERT-2016-0754,DFN-CERT-2016-0733,DFN-CERT-2016-0488,DFN-CERT-2016-0182,CB-K16/1485,CB-K16/0694,CB-K16/0684,CB-K16/0449,CB-K16/0162",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,9.8,Critical,95,"Mitigation","SSH Brute Force Logins With Default Credentials Reporting","It was possible to login into the remote SSH server using
  default credentials.","It was possible to login with the following credentials <User>:<Password>

root:root
",1.3.6.1.4.1.25623.1.0.103239,"CVE-1999-0502,CVE-1999-0501,CVE-1999-0507,CVE-1999-0508,CVE-2005-1379,CVE-2006-5288,CVE-2009-3710,CVE-2012-4577,CVE-2016-1000245,CVE-2017-16523,CVE-2017-20214,CVE-2018-25138,CVE-2018-25147,CVE-2019-25241,CVE-2019-25291,CVE-2020-29583,CVE-2020-36915,CVE-2020-9473,CVE-2021-27797,CVE-2021-47744,CVE-2023-1944,CVE-2023-53983,CVE-2024-22902,CVE-2024-31970,CVE-2024-46328,CVE-2025-12592,CVE-2025-41696,CVE-2025-68718",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,71ff96a2-7858-4910-959e-2eb426ead8f0,"This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.","Change the password as soon as possible.","The following products are known to use the default credentials
  checked by the VT 'SSH Brute Force Logins With Default Credentials' (OID:
  1.3.6.1.4.1.25623.1.0.108013) used for this reporting:

  - CVE-2017-16523: MitraStar GPT-2541GNAC (HGU) 1.00(VNJ0)b1 and DSL-100HN-T1 ES_113WJY0b16 devices

  - CVE-2017-20214: FLIR Thermal Camera F/FC/PT/D

  - CVE-2018-25138: FLIR AX8 Thermal Camera

  - CVE-2018-25147: Microhard Systems IPn4G

  - CVE-2019-25241: FaceSentry Access Control System

  - CVE-2019-25291: INIM Electronics Smartliving SmartLAN/G/SI

  - CVE-2020-29583: Zyxel Firewall / AP Controller

  - CVE-2020-36915: Adtec Digital SignEdje Digital Signage Player

  - CVE-2020-9473: S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4

  - CVE-2021-27797: Brocade Fabric OS

  - CVE-2021-47744: Cypress Solutions CTM-200/CTM-ONE

  - CVE-2023-1944: minikube 1.29.0 and probably prior

  - CVE-2023-53983: Anevia Flamingo XL/XS

  - CVE-2024-22902: Vinchin Backup & Recovery

  - CVE-2024-31970: AdTran SRG 834-5 HDC17600021F1 devices (with SmartOS 11.1.1.1) during a window
  of time when the device is being set up

  - CVE-2024-46328: VONETS VAP11G-300 v3.3.23.6.9

  - CVE-2025-12592: Legacy Vivotek devices

  - CVE-2025-68718: KAYSUS KS-WR1200

  - Various additional products like e.g. Ubiquiti EdgeMax / EdgeRouter, Crestron AM-100 and similar
  for which no CVE was assigned (See 'default_credentials.inc' file on the file system for a full
  list)

  Other products might be affected as well.","As the VT 'SSH Brute Force Logins With Default Credentials'
  (OID: 1.3.6.1.4.1.25623.1.0.108013) might run into a timeout the actual reporting of this
  vulnerability takes place in this VT instead.","Reports default credentials detected by the VT
  'SSH Brute Force Logins With Default Credentials' (OID: 1.3.6.1.4.1.25623.1.0.108013).
Details:
SSH Brute Force Logins With Default Credentials Reporting
(OID: 1.3.6.1.4.1.25623.1.0.103239)
Version used: 2026-01-16T15:42:49Z
","","","WID-SEC-2025-2760",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,9.8,Critical,30,"VendorFix","OpenBSD OpenSSH < 9.3p2 RCE Vulnerability","OpenBSD OpenSSH is prone to a remote code execution (RCE)
  vulnerability in OpenSSH's forwarded ssh-agent.","Installed version: 6.6.1p1
Fixed version:     9.3p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.104869,"CVE-2023-38408",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,1e351a28-369e-4778-8ed2-281142644cc0,"","Update to version 9.3p2 or later.","OpenBSD OpenSSH prior to version 9.3p2.

  The following conditions needs to be met:

  - Exploitation requires the presence of specific libraries on the victim system.

  - Remote exploitation requires that the agent was forwarded to an attacker-controlled system.","A condition where specific libraries loaded via ssh-agent(1)'s
  PKCS#11 support could be abused to achieve remote code execution via a forwarded agent socket.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH < 9.3p2 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.104869)
Version used: 2023-10-13T05:06:10Z
","Product: cpe:/a:openbsd:openssh:6.6.1p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-2802,DFN-CERT-2024-1260,DFN-CERT-2024-0491,DFN-CERT-2023-2792,DFN-CERT-2023-2179,DFN-CERT-2023-1961,DFN-CERT-2023-1920,DFN-CERT-2023-1845,DFN-CERT-2023-1773,DFN-CERT-2023-1665,WID-SEC-2024-3195,WID-SEC-2024-1248,WID-SEC-2024-1082,WID-SEC-2024-0064,WID-SEC-2023-2679,WID-SEC-2023-2625,WID-SEC-2023-2240,WID-SEC-2023-1843,WID-SEC-2023-1819",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,8.5,High,30,"VendorFix","OpenSSH Multiple Vulnerabilities","OpenSSH is prone to multiple vulnerabilities.","Installed version: 6.6.1p1
Fixed version:     7.0
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.806052,"CVE-2015-6564,CVE-2015-6563,CVE-2015-5600",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,c11e461a-94d8-4240-a607-e9d2625bca6c,"Successful exploitation will allow an attacker
  to gain privileges, to conduct impersonation attacks, to conduct brute-force
  attacks or cause a denial of service.","Upgrade to OpenSSH 7.0 or later.","OpenSSH versions before 7.0.","Multiple flaws are due to:

  - Use-after-free vulnerability in the 'mm_answer_pam_free_ctx' function in
  monitor.c in sshd.

  - Vulnerability in 'kbdint_next_device' function in auth2-chall.c in sshd.

  - Vulnerability in the handler for the MONITOR_REQ_PAM_FREE_CTX request.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.806052)
Version used: 2023-07-25T05:05:58Z
","Product: cpe:/a:openbsd:openssh:6.6.1p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2019-1408,DFN-CERT-2018-1828,DFN-CERT-2018-0077,DFN-CERT-2017-0059,DFN-CERT-2016-1841,DFN-CERT-2016-1401,DFN-CERT-2016-1174,DFN-CERT-2016-1168,DFN-CERT-2016-0754,DFN-CERT-2016-0486,DFN-CERT-2015-1794,DFN-CERT-2015-1679,DFN-CERT-2015-1644,DFN-CERT-2015-1632,DFN-CERT-2015-1591,DFN-CERT-2015-1443,DFN-CERT-2015-1406,DFN-CERT-2015-1263,DFN-CERT-2015-1259,DFN-CERT-2015-1252,DFN-CERT-2015-1239,DFN-CERT-2015-1161,DFN-CERT-2015-1159,CB-K18/0066,CB-K17/0054,CB-K16/1733,CB-K16/1315,CB-K16/1107,CB-K16/1102,CB-K16/0694,CB-K16/0448,CB-K15/1696,CB-K15/1591,CB-K15/1561,CB-K15/1550,CB-K15/1510,CB-K15/1369,CB-K15/1334,CB-K15/1247,CB-K15/1212,CB-K15/1194,CB-K15/1188,CB-K15/1105,CB-K15/1103",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,8.1,High,30,"VendorFix","OpenSSH Client Information Leak","The OpenSSH client code between 5.4 and 7.1p1 contains experimental support for resuming SSH-connections (roaming).
  The matching server code has never been shipped, but the client code was enabled by default and could be tricked by a malicious
  server into leaking client memory to the server, including private client user keys. The authentication of the server host key prevents exploitation
  by a man-in-the-middle, so this information leak is restricted to connections to malicious or compromised servers.","Installed version: 6.6.1p1
Fixed version:     7.1p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.105512,"CVE-2016-0777,CVE-2016-0778",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,544d5d55-0ff7-4a82-984c-1baad752fce1,"","Update to 7.1p2 or newer.","OpenSSH >= 5.4 < 7.1p2","","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH Client Information Leak
(OID: 1.3.6.1.4.1.25623.1.0.105512)
Version used: 2023-07-25T05:05:58Z
","Product: cpe:/a:openbsd:openssh:6.6.1p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2017-0059,DFN-CERT-2016-0864,DFN-CERT-2016-0609,DFN-CERT-2016-0484,DFN-CERT-2016-0301,DFN-CERT-2016-0077,DFN-CERT-2016-0076,WID-SEC-2024-1055,CB-K17/0054,CB-K16/0565,CB-K16/0446,CB-K16/0275,CB-K16/0069,CB-K16/0068",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,7.8,High,30,"VendorFix","OpenSSH < 7.4 Multiple Vulnerabilities (Jan 2017) - Linux","OpenSSH is prone to multiple vulnerabilities.","Installed version: 6.6.1p1
Fixed version:     7.4
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.8103256,"CVE-2016-10009,CVE-2016-10010,CVE-2016-10011,CVE-2016-10012,CVE-2016-10708",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,12406b0b-6108-402f-8c41-b988d510a1b3,"Successfully exploiting this issue allows local users to obtain
  sensitive private-key information, to gain privileges, conduct a senial-of-service condition and
  allows remote attackers to execute arbitrary local PKCS#11 modules.","Update to version 7.4 or later.","OpenSSH versions before 7.4 on Linux.","Multiple flaws exist due to:

  - An 'authfile.c' script does not properly consider the effects of realloc on buffer contents.

  - The shared memory manager (associated with pre-authentication compression) does not ensure that
  a bounds check is enforced by all compilers.

  - The sshd in OpenSSH creates forwarded Unix-domain sockets as root, when privilege separation is
  not used.

  - An untrusted search path vulnerability in ssh-agent.c in ssh-agent.

  - NULL pointer dereference error due to an out-of-sequence NEWKEYS message.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH < 7.4 Multiple Vulnerabilities (Jan 2017) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.8103256)
Version used: 2024-12-13T05:05:32Z
","Product: cpe:/a:openbsd:openssh:6.6.1p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2021-0776,DFN-CERT-2019-1408,DFN-CERT-2018-2259,DFN-CERT-2018-2191,DFN-CERT-2018-2068,DFN-CERT-2018-1828,DFN-CERT-2018-1568,DFN-CERT-2018-1432,DFN-CERT-2018-1112,DFN-CERT-2018-1070,DFN-CERT-2018-1068,DFN-CERT-2018-0150,DFN-CERT-2018-0046,DFN-CERT-2017-2320,DFN-CERT-2017-2208,DFN-CERT-2017-1340,DFN-CERT-2017-1096,DFN-CERT-2017-0532,DFN-CERT-2017-0386,DFN-CERT-2017-0130,DFN-CERT-2017-0042,DFN-CERT-2016-2099,WID-SEC-2023-1996,CB-K18/0919,CB-K18/0591,CB-K18/0137,CB-K18/0041,CB-K17/2219,CB-K17/2112,CB-K17/1292,CB-K17/1061,CB-K17/0527,CB-K17/0377,CB-K17/0127,CB-K17/0041,CB-K16/1991",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,7.8,High,30,"VendorFix","OpenSSH <= 7.2p2 Privilege Escalation Vulnerability (May 2016)","OpenSSH is prone to a privilege escalation vulnerability.","Installed version: 6.6.1p1
Fixed version:     7.2p2-3
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.807574,"CVE-2015-8325",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,645397ed-59b4-4815-92c4-a6e2c9822efe,"Successfully exploiting this issue will allow local users to gain
  privileges.","Update to version 7.2p2-3 or later.","OpenSSH versions through 7.2p2.","The flaw exists due to an error in 'do_setup_env function' in
  the 'session.c' script in sshd which trigger a crafted environment for the /bin/login program when
  the UseLogin feature is enabled and PAM is configured to read .pam_environment files in user home
  directories.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH <= 7.2p2 Privilege Escalation Vulnerability (May 2016)
(OID: 1.3.6.1.4.1.25623.1.0.807574)
Version used: 2024-12-13T05:05:32Z
","Product: cpe:/a:openbsd:openssh:6.6.1p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2019-1408,DFN-CERT-2017-1807,DFN-CERT-2017-0060,DFN-CERT-2017-0059,DFN-CERT-2016-1943,DFN-CERT-2016-1576,DFN-CERT-2016-1574,DFN-CERT-2016-1243,DFN-CERT-2016-0864,DFN-CERT-2016-0733,DFN-CERT-2016-0628,WID-SEC-2024-1053,CB-K17/1725,CB-K17/0055,CB-K17/0054,CB-K16/1837,CB-K16/1487,CB-K16/1485,CB-K16/1221,CB-K16/0684,CB-K16/0577",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,7.5,High,30,"VendorFix","OpenSSH < 7.3 DoS and User Enumeration Vulnerabilities - Linux","OpenSSH is prone to denial of service (DoS) and user enumeration
  vulnerabilities.","Installed version: 6.6.1p1
Fixed version:     7.3
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.809154,"CVE-2016-6515,CVE-2016-6210",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,139b4b54-dc81-4bb4-8e2f-d84c9c1658f2,"Successfully exploiting this issue allows remote attackers to
  cause a denial of service (crypt CPU consumption) and to enumerate users by leveraging the timing
  difference between responses when a large password is provided.","Update to version 7.3 or later.","OpenSSH versions before 7.3 on Linux.","Multiple flaws exist due to:

  - The auth_password function in 'auth-passwd.c' script does not limit password lengths for
  password authentication.

  - The sshd in OpenSSH, when SHA256 or SHA512 are used for user password hashing uses BLOWFISH
  hashing on a static password when the username does not exist and it takes much longer to
  calculate SHA256/SHA512 hash than BLOWFISH hash.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH < 7.3 DoS and User Enumeration Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.809154)
Version used: 2024-12-13T05:05:32Z
","Product: cpe:/a:openbsd:openssh:6.6.1p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2023-1920,DFN-CERT-2019-1408,DFN-CERT-2018-1828,DFN-CERT-2018-1070,DFN-CERT-2018-0046,DFN-CERT-2017-2320,DFN-CERT-2017-2208,DFN-CERT-2017-1831,DFN-CERT-2017-1407,DFN-CERT-2017-1340,DFN-CERT-2017-0060,DFN-CERT-2016-1943,DFN-CERT-2016-1729,DFN-CERT-2016-1576,DFN-CERT-2016-1574,DFN-CERT-2016-1331,DFN-CERT-2016-1243,DFN-CERT-2016-1149,WID-SEC-2023-0450,WID-SEC-2023-0449,CB-K18/0041,CB-K17/2219,CB-K17/2112,CB-K17/1753,CB-K17/1349,CB-K17/1292,CB-K17/0055,CB-K16/1837,CB-K16/1629,CB-K16/1487,CB-K16/1485,CB-K16/1252,CB-K16/1221,CB-K16/1082",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,7.5,High,30,"Mitigation","Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)","The remote SSH server is supporting Diffie-Hellman ephemeral
  (DHE) Key Exchange (KEX) algorithms and thus could be prone to a denial of service (DoS)
  vulnerability.","The remote SSH server supports the following DHE KEX algorithm(s):

diffie-hellman-group1-sha1
diffie-hellman-group14-sha1
diffie-hellman-group-exchange-sha1
diffie-hellman-group-exchange-sha256
",1.3.6.1.4.1.25623.1.0.117839,"CVE-2002-20001,CVE-2022-40735,CVE-2024-41996",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,a629fdad-49da-4a13-a063-6839801bfa74,"This vulnerability allows remote attackers (from the client side)
  to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE
  modular-exponentiation calculations, also known as a D(HE)ater attack.

  There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe
  issues such as a slowdown in SSH connections.","'- DHE key exchange should be disabled if no other mitigation
  mechanism can be used and either elliptic-curve variant of Diffie-Hellman (ECDHE) or RSA key
  exchange is supported by the clients. The fact that RSA key exchange is not forward secret should
  be considered.

  - Limit the maximum number of concurrent connections in e.g. the configuration of the remote
  server. For OpenSSH this limit can be configured via the 'MaxStartups' option, for other products
  please refer to the manual of the product in question on configuration possibilities.","","'- CVE-2002-20001: The Diffie-Hellman Key Agreement Protocol
  allows remote attackers (from the client side) to send arbitrary numbers that are actually not
  public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a
  D(HE)ater attack. The client needs very little CPU resources and network bandwidth. The attack may
  be more disruptive in cases where a client can require a server to select its largest supported
  key size. The basic attack scenario is that the client must claim that it can only communicate
  with DHE, and the server must be configured to allow DHE.

  - CVE-2022-40735: The Diffie-Hellman Key Agreement Protocol allows use of long exponents that
  arguably make certain calculations unnecessarily expensive, because the 1996 van Oorschot and
  Wiener paper found that '(appropriately) short exponents' can be used when there are adequate
  subgroup constraints, and these short exponents can lead to less expensive calculations than for
  long exponents. This issue is different from CVE-2002-20001 because it is based on an observation
  about exponent size, rather than an observation about numbers that are not public keys. The
  specific situations in which calculation expense would constitute a server-side vulnerability
  depend on the protocol (e.g., TLS, SSH, or IKE) and the DHE implementation details. In general,
  there might be an availability concern because of server-side resource consumption from DHE
  modular-exponentiation calculations. Finally, it is possible for an attacker to exploit this
  vulnerability and CVE-2002-20001 together.

  - CVE-2024-41996: Validating the order of the public keys in the Diffie-Hellman Key Agreement
  Protocol, when an approved safe prime is used, allows remote attackers (from the client side) to
  trigger unnecessarily expensive server-side DHE modular-exponentiation calculations. The client
  may cause asymmetric resource consumption. The basic attack scenario is that the client must claim
  that it can only communicate with DHE, and the server must be configured to allow DHE and validate
  the order of the public key.","Checks the supported KEX algorithms of the remote SSH
  server.
Details:
Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)
(OID: 1.3.6.1.4.1.25623.1.0.117839)
Version used: 2024-10-03T05:05:33Z
","Product: cpe:/a:ietf:secure_shell_protocol
Method: SSH Protocol Algorithms Supported
(OID: 1.3.6.1.4.1.25623.1.0.105565)
","","DFN-CERT-2025-3324,DFN-CERT-2024-2847,DFN-CERT-2024-2578,DFN-CERT-2024-1671,DFN-CERT-2023-1697,DFN-CERT-2023-1332,DFN-CERT-2022-2147,DFN-CERT-2022-0437,DFN-CERT-2021-2622,WID-SEC-2024-3056,WID-SEC-2023-1886,WID-SEC-2023-1352,WID-SEC-2022-2251,WID-SEC-2022-2000,CB-K22/0224,CB-K21/1276",""
172.30.3.2,ubuntu-ssh-old.trabalho_vulnnet,22,tcp,7.4,High,30,"WillNotFix","OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability","OpenBSD OpenSSH is prone to a command injection
  vulnerability.","Installed version: 6.6.1p1
Fixed version:     None
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.113736,"CVE-2020-15778",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:56:34Z,80cf2015-e3fb-4d2c-81b0-3e14b1cab421,"Successful exploitation would allow an attacker to execute
  arbitrary code on the target machine.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","OpenBSD OpenSSH through version 8.6 (initially reported for
  8.3p1).","scp of OpenSSH allows command injection in spc.c via backtick
  characters in the destination argument.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.113736)
Version used: 2025-07-29T05:44:59Z
","Product: cpe:/a:openbsd:openssh:6.6.1p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2020-1691,WID-SEC-2024-1082,WID-SEC-2023-1599,WID-SEC-2022-2413,WID-SEC-2022-1308,CB-K21/1268",""
