IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,9.9,Critical,30,"VendorFix","Redis Multiple Vulnerabilities (Oct 2025, RediShell)","Redis is prone to multiple vulnerabilities.","Installed version: 4.0.14
Fixed version:     6.2.20

",1.3.6.1.4.1.25623.1.0.155542,"CVE-2025-46817,CVE-2025-46818,CVE-2025-46819,CVE-2025-49844",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,eca07af5-cdf2-4695-b8d5-d701a6f9cf41,"","Update to version 6.2.20, 7.2.11, 7.4.6, 8.0.4, 8.2.2 or
  later.","Redis prior to version 6.2.20, 7.2.x prior to 7.2.11,
  7.4.x prior to 7.4.6, 8.0.x prior to 8.0.4 and 8.2.x prior to 8.2.2.","The following flaws exist:

  - CVE-2025-46817: Lua library commands may lead to integer overflow and potential remote code
  execution (RCE)

  - CVE-2025-46818: Running Lua function as a different user

  - CVE-2025-46819: Out of bound read due to a bug in LUA

  - CVE-2025-49844: Lua Use-After-Free may lead to RCE and dubbed 'RediShell'","Checks if a vulnerable version is present on the target host.
Details:
Redis Multiple Vulnerabilities (Oct 2025, RediShell)
(OID: 1.3.6.1.4.1.25623.1.0.155542)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2025-3345,DFN-CERT-2025-3320,DFN-CERT-2025-2800,DFN-CERT-2025-2786,DFN-CERT-2025-2745,WID-SEC-2026-0153,WID-SEC-2025-2542,WID-SEC-2025-2196",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,9.8,Critical,30,"VendorFix","Redis RCE Vulnerability (GHSA-39h2-x6c4-6w4c)","Redis is prone to a remote code execution (RCE)
  vulnerability.","Installed version: 4.0.14
Fixed version:     6.2.17

",1.3.6.1.4.1.25623.1.0.153718,"CVE-2024-46981",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,933ee3a7-e1ee-4619-9c99-8fbaf0b96d3c,"","Update to version 6.2.17, 7.2.7, 7.4.2 or later.","Redis prior to version 6.2.17, 7.x prior to 7.2.7 and 7.4.x
  prior to 7.4.2.","An authenticated user may use a specially crafted Lua script to
  manipulate the garbage collector and potentially lead to remote code execution.","Checks if a vulnerable version is present on the target host.
Details:
Redis RCE Vulnerability (GHSA-39h2-x6c4-6w4c)
(OID: 1.3.6.1.4.1.25623.1.0.153718)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2026-0158,DFN-CERT-2025-0588,DFN-CERT-2025-0224,DFN-CERT-2025-0187,DFN-CERT-2025-0151,DFN-CERT-2025-0071,DFN-CERT-2025-0044,DFN-CERT-2025-0019,WID-SEC-2025-0017",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,8.8,High,30,"VendorFix","Redis 2.6 < 6.2.16, 7.0.0. < 7.2.6, 7.4.0 RCE vulnerability","Redis is prone to a remote code execution (RCE) vulnerability.","Installed version: 4.0.14
Fixed version:     6.2.16

",1.3.6.1.4.1.25623.1.0.128055,"CVE-2024-31449",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,61ab8d5f-08b2-4d2d-8fd1-c0d1ea3f6a23,"","Update to version 6.2.16, 7.2.6, 7.4.1 or later.","Redis versions 2.6 through 6.2.15, 7.0.0 through 7.2.5 and
  7.4.0.","Lua library commands may lead to stack overflow and potential
  remote code execution vulnerability","Checks if a vulnerable version is present on the target host.
Details:
Redis 2.6 < 6.2.16, 7.0.0. < 7.2.6, 7.4.0 RCE vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.128055)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2026-0158,DFN-CERT-2025-0224,DFN-CERT-2025-0187,DFN-CERT-2025-0071,DFN-CERT-2025-0044,DFN-CERT-2024-3232,DFN-CERT-2024-2622,WID-SEC-2024-3066",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,8.8,High,30,"VendorFix","Redis Stack Overflow Vulnerability (GHSA-p486-xggp-782c)","Redis is prone to a heap-based stack overflow vulnerability.","Installed version: 4.0.14
Fixed version:     5.0.14

",1.3.6.1.4.1.25623.1.0.146847,"CVE-2021-32626",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,203d6eb9-fc68-4b72-93ff-e73c486c45e7,"","Update to version 5.0.14, 6.0.16, 6.2.6 or later.","Redis version 2.6 and later.","Specially crafted Lua scripts executing in Redis can cause the
  heap-based Lua stack to be overflowed, due to incomplete checks for this condition. This can
  result with heap corruption and potentially remote code execution.","
Details:
Redis Stack Overflow Vulnerability (GHSA-p486-xggp-782c)
(OID: 1.3.6.1.4.1.25623.1.0.146847)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2021-2403,DFN-CERT-2021-2216,DFN-CERT-2021-2214,DFN-CERT-2021-2167,DFN-CERT-2021-2069,WID-SEC-2022-1908,WID-SEC-2022-1579,WID-SEC-2022-1308,CB-K21/1268",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,8.8,High,30,"VendorFix","Redis < 6.0.20, 6.2.x < 6.2.13, 7.x < 7.0.12 Heap Overflow Vulnerability","Redis is prone to a heap overflow vulnerability.","Installed version: 4.0.14
Fixed version:     6.0.20

",1.3.6.1.4.1.25623.1.0.149921,"CVE-2022-24834",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,2b1c639a-9614-447f-87c6-1b088db321e4,"","Update to version 6.0.20, 6.2.13, 7.0.12 or later.","Redis prior to version 6.0.20, version 6.2.x through 6.2.12
  and 7.x through 7.0.11.","A specially crafted Lua script executing in Redis can trigger a
  heap overflow in the cjson and cmsgpack libraries, and result in heap corruption and potentially
  remote code execution.","Checks if a vulnerable version is present on the target host.
Details:
Redis < 6.0.20, 6.2.x < 6.2.13, 7.x < 7.0.12 Heap Overflow Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.149921)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2026-0158,DFN-CERT-2025-0224,DFN-CERT-2025-0187,DFN-CERT-2024-2358,DFN-CERT-2024-0265,DFN-CERT-2023-3039,DFN-CERT-2023-1971,DFN-CERT-2023-1677,DFN-CERT-2023-1559,WID-SEC-2023-2679,WID-SEC-2023-1698",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,8.8,High,30,"VendorFix","Redis Integer Overflow Vulnerability (GHSA-hgj8-vff2-7cjf)","Redis is prone to an integer overflow vulnerability.","Installed version: 4.0.14
Fixed version:     5.0.11

",1.3.6.1.4.1.25623.1.0.145471,"CVE-2021-21309",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,a5864502-7183-4335-984a-2bf4b7c02118,"","Update to version 5.0.11, 6.0.11, 6.2 or later.","Redis version 4.0 and later.","An integer overflow bug in 32-bit Redis could be exploited to corrupt the
  heap and potentially result with remote code execution.

  Redis 4.0 or newer uses a configurable limit for the maximum supported bulk input size. By default, it is
  512MB which is a safe value for all platforms.

  If the limit is significantly increased, receiving a large request from a client may trigger several integer
  overflow scenarios, which would result with buffer overflow and heap corruption. This could in certain
  conditions be exploited for remote code execution.

  By default, authenticated Redis users have access to all configuration parameters and can therefore use the
  'CONFIG SET proto-max-bulk-len' to change the safe default, making the system vulnerable.

  This problem only affects 32-bit Redis (on a 32-bit system, or as a 32-bit executable running on a 64-bit
  system).","
Details:
Redis Integer Overflow Vulnerability (GHSA-hgj8-vff2-7cjf)
(OID: 1.3.6.1.4.1.25623.1.0.145471)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2021-1670,DFN-CERT-2021-1315,DFN-CERT-2021-0985,DFN-CERT-2021-0434",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,8.8,High,30,"VendorFix","Redis < 5.0.14, 6.0.x < 6.0.16, 6.1.x < 6.2.6 Multiple Vulnerabilities","Redis is prone to multiple vulnerabilities.","Installed version: 4.0.14
Fixed version:     5.0.14

",1.3.6.1.4.1.25623.1.0.146848,"CVE-2021-32628,CVE-2021-32675,CVE-2021-32687,CVE-2021-32762,CVE-2021-41099",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,5021d53c-d1d7-4503-a900-2ff0d20adfc2,"","Update to version 5.0.14, 6.0.16, 6.2.6 or later.","Redis prior to version 5.0.14, version 6.0.x through 6.0.15
  and 6.1.x through 6.2.5.","The following vulnerabilities exist:

  - CVE-2021-32628: Integer overflow in the ziplist data structure

  - CVE-2021-32675: Denial of Service (DoS)

  - CVE-2021-32687: Integer overflow in intsets

  - CVE-2021-32762: Integer overflow in redis-cli and redis-sentinel

  - CVE-2021-41099: Integer overflow in the underlying string library","
Details:
Redis < 5.0.14, 6.0.x < 6.0.16, 6.1.x < 6.2.6 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.146848)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2021-2403,DFN-CERT-2021-2216,DFN-CERT-2021-2214,DFN-CERT-2021-2167,DFN-CERT-2021-2069,WID-SEC-2022-1579,WID-SEC-2022-1308,CB-K21/1268",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,7.8,High,30,"VendorFix","Redis < 6.2.7 Multiple Vulnerabilities","Redis is prone to multiple vulnerabilities.","Installed version: 4.0.14
Fixed version:     6.2.7

",1.3.6.1.4.1.25623.1.0.148021,"CVE-2022-24735,CVE-2022-24736",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,18e2f74a-c271-4c99-adab-31a0796db822,"","Update to version 6.2.7 or later.","Redis prior to version 6.2.7.","The following vulnerabilities exist:

  - CVE-2022-24735: Lua scripts can be manipulated to overcome ACL rules

  - CVE-2022-24736: A malformed Lua script can crash Redis","Checks if a vulnerable version is present on the target host.
Details:
Redis < 6.2.7 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.148021)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2022-0950,WID-SEC-2022-0871,WID-SEC-2022-0767,WID-SEC-2022-0070",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,7.8,High,30,"VendorFix","Redis Buffer Overflow Vulnerability (GHSA-rp2m-q4j6-gr43)","Redis is prone to a buffer overflow vulnerability.","Installed version: 4.0.14
Fixed version:     6.2.19

",1.3.6.1.4.1.25623.1.0.127923,"CVE-2025-32023",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,5e8af364-5972-4e61-a905-8c2f54d7926f,"","Update to version 6.2.19, 7.2.10, 7.4.5, 8.0.3 or later.","Redis versions 2.8.x prior to 6.2.19, 7.2.x prior to 7.2.10,
  7.4.x prior to 7.4.5 and 8.0.x prior to 8.0.3.","An authenticated user may use a specially crafted string to
  trigger a stack/heap out of bounds write on hyperloglog operations, potentially leading to
  remote code execution.","Checks if a vulnerable version is present on the target host.
Details:
Redis Buffer Overflow Vulnerability (GHSA-rp2m-q4j6-gr43)
(OID: 1.3.6.1.4.1.25623.1.0.127923)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2025-1922,DFN-CERT-2025-1864,WID-SEC-2025-1463",""
172.30.14.4,redis-noauth.trabalho_vulnnet,6379,tcp,7.8,High,30,"VendorFix","Redis DoS Vulnerability (GHSA-4q32-c38c-pwgq)","Redis is prone to a denial of service (DoS) vulnerability.","Installed version: 4.0.14
Fixed version:     6.2.19

",1.3.6.1.4.1.25623.1.0.127924,"CVE-2025-48367",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T01:48:40Z,46f0bba2-900e-43f0-ad72-b642b2f29c60,"","Update to version 6.2.19, 7.2.10, 7.4.5, 8.0.3 or later.","Redis versions prior to 6.2.19, 7.2.x prior to 7.2.10,
  7.4.x prior to 7.4.5 and 8.0.x prior to 8.0.3.","An unauthenticated connection can cause repeated IP protocol
  errors, leading to client starvation and, ultimately, a denial of service (DoS).","Checks if a vulnerable version is present on the target host.
Details:
Redis DoS Vulnerability (GHSA-4q32-c38c-pwgq)
(OID: 1.3.6.1.4.1.25623.1.0.127924)
Version used: 2025-10-10T05:39:02Z
","","","DFN-CERT-2025-1922,DFN-CERT-2025-1864,WID-SEC-2025-1463",""
