IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,9.8,Critical,30,"VendorFix","Squid Buffer Overflow Vulnerability (GHSA-w4gv-vw3f-29g3, SQUID-2025:1)","Squid is prone to a buffer overflow vulnerability in URN
  handling.","Installed version: 3.3.8
Fixed version:     6.4
Installation
path / port:       3128/tcp

",1.3.6.1.4.1.25623.1.0.155085,"CVE-2025-54574",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,6dad3abc-3e8b-4354-9fad-2cf1953c236c,"","Update to version 6.4 or later.","Squid prior to version 6.4.","Due to incorrect buffer management Squid is vulnerable to a
  heap buffer overflow and possible remote code execution attack when processing URN.","Checks if a vulnerable version is present on the target host.
Details:
Squid Buffer Overflow Vulnerability (GHSA-w4gv-vw3f-29g3, SQUID-2025:1)
(OID: 1.3.6.1.4.1.25623.1.0.155085)
Version used: 2025-08-27T05:39:13Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2025-2910,DFN-CERT-2025-2676,DFN-CERT-2025-2311,DFN-CERT-2025-2302,DFN-CERT-2023-2609,WID-SEC-2025-1696",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,9.8,Critical,30,"VendorFix","Squid Security Update Advisory (SQUID-2020:4)","Squid is prone to multiple vulnerabilities in the HTTP Digest authentication.","Installed version: 3.3.8
Fixed version:     4.11

",1.3.6.1.4.1.25623.1.0.143764,"CVE-2020-11945",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,267440ad-3526-49ec-810e-d07dd4b7790e,"","Update to version 4.11, 5.0.2 or later.","Squid versions 2.x, 3.x through 3.5.28, 4.x through 4.10
  and 5.x through 5.0.1.","Due to an integer overflow bug Squid is vulnerable to credential replay and
  remote code execution attacks against HTTP Digest Authentication tokens.","Checks if a vulnerable version is present on the target host.
Details:
Squid Security Update Advisory (SQUID-2020:4)
(OID: 1.3.6.1.4.1.25623.1.0.143764)
Version used: 2022-07-20T10:33:02Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2020-1848,DFN-CERT-2020-1491,DFN-CERT-2020-1031,DFN-CERT-2020-0986,DFN-CERT-2020-0982,DFN-CERT-2020-0972,DFN-CERT-2020-0962,DFN-CERT-2020-0901,DFN-CERT-2020-0839,WID-SEC-2023-2474,CB-K20/0360",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,9.8,Critical,30,"VendorFix","Squid Multiple Security Update Advisories (SQUID-2019:7, SQUID-2019:8, SQUID-2019:10)","Squid is prone to multiple vulnerabilities.","Installed version: 3.3.8
Fixed version:     4.9

",1.3.6.1.4.1.25623.1.0.143190,"CVE-2019-12526,CVE-2019-18678,CVE-2019-12523,CVE-2019-18676",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,974c525a-2472-486b-899c-752956ea09e9,"","Update to version 4.9 or later.","Squid versions 3.0 through 3.5.28 and 4.x through 4.8.","The following flaws exist:

  - CVE-2019-12526: Heap Overflow issue in URN processing

  - CVE-2019-18678, CVE-2019-18676: Multiple issues in URI processing

  - CVE-2019-18678: HTTP Request Splitting issue in HTTP message processing","Checks if a vulnerable version is present on the target host.
Details:
Squid Multiple Security Update Advisories (SQUID-2019:7, SQUID-2019:8, SQUID...
(OID: 1.3.6.1.4.1.25623.1.0.143190)
Version used: 2022-07-20T10:33:02Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2022-0593,DFN-CERT-2020-2389,DFN-CERT-2020-1848,DFN-CERT-2020-1690,DFN-CERT-2020-1491,DFN-CERT-2020-1078,DFN-CERT-2020-0982,DFN-CERT-2020-0527,DFN-CERT-2019-2599,DFN-CERT-2019-2565,DFN-CERT-2019-2500,DFN-CERT-2019-2414,DFN-CERT-2019-2332,WID-SEC-2023-1391,WID-SEC-2022-1592,CB-K19/0975,CB-K19/0966",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,9.8,Critical,30,"VendorFix","Squid Security Update Advisory (SQUID-2019:12)","Squid is prone to multiple vulnerabilities.","Installed version: 3.3.8
Fixed version:     4.11

",1.3.6.1.4.1.25623.1.0.143763,"CVE-2019-12519,CVE-2019-12521",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,2c185349-6114-4c3b-a115-0d3253fff0e3,"","Update to version 4.11, 5.0.2 or later.","Squid versions 3.x through 3.5.28, 4.x through 4.10 and
  5.x through 5.0.1.","The following flaws exist:

  - CVE-2019-12519: Stack based buffer overflow vulnerability

  - CVE-2019-12521: Heap buffer overflow vulnerability","Checks if a vulnerable version is present on the target host.
Details:
Squid Security Update Advisory (SQUID-2019:12)
(OID: 1.3.6.1.4.1.25623.1.0.143763)
Version used: 2022-07-20T10:33:02Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2020-2389,DFN-CERT-2020-1848,DFN-CERT-2020-1491,DFN-CERT-2020-1289,DFN-CERT-2020-1031,DFN-CERT-2020-0986,DFN-CERT-2020-0982,DFN-CERT-2020-0962,DFN-CERT-2020-0901,DFN-CERT-2020-0839,WID-SEC-2022-1593,CB-K20/0408",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,8.8,High,30,"VendorFix","Squid Multiple Vulnerabilities (SQUID-2016:5, SQUID-2016:6) - Linux","Squid is prone to multiple vulnerabilities.","Installed version: 3.3.8
Fixed version:     3.5.17

",1.3.6.1.4.1.25623.1.0.807963,"CVE-2016-4051,CVE-2016-4052,CVE-2016-4053,CVE-2016-4054",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,7d1eba12-fa90-4fbb-87b2-6fd6fde9344a,"Successful exploitation will allow remote attackers to cause a
  denial of service, execute arbitrary code, or obtain sensitive stack layout information.","Update to version 3.5.17, 4.0.9 or later.","Squid version 3.x before 3.5.17 and 4.x
  before 4.0.9.","Multiple flaws exist due to:

  - A buffer overflow in the cachemgr.cgi tool.

  - Multiple on-stack buffer overflow from incorrect bounds calculation in Squid ESI processing.","Checks if a vulnerable version is present on the target host.
Details:
Squid Multiple Vulnerabilities (SQUID-2016:5, SQUID-2016:6) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.807963)
Version used: 2023-07-21T05:05:22Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2016-1379,DFN-CERT-2016-1297,DFN-CERT-2016-1296,DFN-CERT-2016-0866,DFN-CERT-2016-0750,DFN-CERT-2016-0718,DFN-CERT-2016-0655,CB-K16/1294,CB-K16/1228,CB-K16/1227,CB-K16/0815,CB-K16/0708,CB-K16/0670,CB-K16/0605",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,8.8,High,30,"VendorFix","Squid Security Update Advisory (SQUID-2020:7)","Squid is prone to a cache poisoning vulnerability.","Installed version: 3.3.8
Fixed version:     4.12

",1.3.6.1.4.1.25623.1.0.144212,"CVE-2020-15049",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,3f21ecc3-dec6-47b2-aedd-d2091f72a909,"","Update to version 4.12, 5.0.3 or later.","Squid versions 2.0 through 2.STABLE9, 3.0 through 3.5.28,
  4.0 through 4.11 and 5.0.1 through 5.0.2.","Due to incorrect input validation Squid is vulnerable to a Request Smuggling
  and Poisoning attack against the HTTP cache.","Checks if a vulnerable version is present on the target host.
Details:
Squid Security Update Advisory (SQUID-2020:7)
(OID: 1.3.6.1.4.1.25623.1.0.144212)
Version used: 2022-07-20T10:33:02Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2021-0643,DFN-CERT-2020-2389,DFN-CERT-2020-2146,DFN-CERT-2020-2104,DFN-CERT-2020-1848,DFN-CERT-2020-1608,DFN-CERT-2020-1576,DFN-CERT-2020-1361,CB-K20/1030,CB-K20/0644",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,8.6,High,30,"VendorFix","Squid Poisoning Vulnerability (SQUID-2016:8) - Linux","Squid is prone to a cache poisoning vulnerability.","Installed version: 3.3.8
Fixed version:     3.5.18

",1.3.6.1.4.1.25623.1.0.808041,"CVE-2016-4554",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,4b435df9-ffc8-4e50-bee4-324492f84a7b,"Successful exploitation will allow remote attackers to cause
  cache poisoning and to bypass of same-origin security policy.","Update to version 3.5.18 or later.","Squid version prior to 3.5.18.","The flaw exists due to an incorrect input validation in HTTP
  Request processing.","Checks if a vulnerable version is present on the target host.
Details:
Squid Poisoning Vulnerability (SQUID-2016:8) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.808041)
Version used: 2023-07-21T05:05:22Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2016-1379,DFN-CERT-2016-1297,DFN-CERT-2016-1296,DFN-CERT-2016-0866,DFN-CERT-2016-0750,DFN-CERT-2016-0723,CB-K16/1294,CB-K16/1228,CB-K16/1227,CB-K16/0815,CB-K16/0708,CB-K16/0675",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,8.6,High,30,"VendorFix","Squid 2.0 < 4.14, 5.0.1 < 5.0.5 HTTP Request Smuggling Vulnerability","Squid is prone to an HTTP request smuggling vulnerability.","Installed version: 3.3.8
Fixed version:     4.14
Installation
path / port:       3128/tcp

",1.3.6.1.4.1.25623.1.0.145600,"CVE-2020-25097",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,a00d85d8-251b-44e2-8cd0-f0f1965fbb76,"","Update to version 4.13, 5.0.5 or later. See the referenced vendor
  advisory for a workaround.","Squid version 2.0 through 4.13 and 5.0.1 through 5.0.4.","Due to improper input validation, it allows a trusted client to perform
  HTTP Request Smuggling and access services otherwise forbidden by the security controls. This occurs for
  certain uri_whitespace configuration settings.","Checks if a vulnerable version is present on the target host.
Details:
Squid 2.0 < 4.14, 5.0.1 < 5.0.5 HTTP Request Smuggling Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.145600)
Version used: 2022-07-20T10:33:02Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2022-1573,DFN-CERT-2022-0600,DFN-CERT-2021-2438,DFN-CERT-2021-0997,DFN-CERT-2021-0807,DFN-CERT-2021-0643,DFN-CERT-2021-0587,WID-SEC-2022-0670,CB-K21/0241",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,8.6,High,30,"VendorFix","Squid Buffer Overflow Vulnerability (SQUID-2022:2)","Squid is prone to a buffer overflow vulnerability in SSPI and
  SMB authentication.","Installed version: 3.3.8
Fixed version:     5.7
Installation
path / port:       3128/tcp

",1.3.6.1.4.1.25623.1.0.148788,"CVE-2022-41318",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,670e981a-e5ec-4b08-b657-72042d00d969,"This problem allows a remote client to perform a denial of
  service attack when Squid is configured to use NTLM or Negotiate authentication with one of the
  vulnerable helpers.

  This problem allows a remote client to extract sensitive information from machine memory when
  Squid is configured to use NTLM or Negotiate authentication with one of the vulnerable helpers.
  The scope of this information includes user credentials in decrypted forms, and also arbitrary
  memory areas beyond Squid and the helper itself.

  This attack is limited to authentication helpers built using the libntlmauth library shipped by
  Squid.","Update to version 5.7 or later.","Squid version 2.5.STABLE1 through 2.7.STABLE9, 3.x through
  3.5.28, 4.x through 4.17 and 5.x through 5.6.","Due to an incorrect integer overflow protection Squid SSPI and
  SMB authentication helpers are vulnerable to a buffer overflow attack.","Checks if a vulnerable version is present on the target host.
Details:
Squid Buffer Overflow Vulnerability (SQUID-2022:2)
(OID: 1.3.6.1.4.1.25623.1.0.148788)
Version used: 2023-10-19T05:05:21Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2024-1684,DFN-CERT-2022-2129,WID-SEC-2022-1505",""
172.30.18.1,squid-old.trabalho_vulnnet,3128,tcp,8.6,High,30,"VendorFix","Squid Poisoning Vulnerability (SQUID-2016:7) - Linux","Squid is prone to a cache poisoning vulnerability.","Installed version: 3.3.8
Fixed version:     3.5.18

",1.3.6.1.4.1.25623.1.0.808051,"CVE-2016-4553",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:32:18Z,350da17d-d1e0-4ecb-ba81-2d461c420577,"Successful exploitation will allow remote attackers to cause
  cache poisoning.","Update to version 3.5.18, 4.0.10 or later.","Squid version 3.2.0.11 through 3.5.17 and 4.x before
  4.0.10.","The flaw exists due to an incorrect data validation of
  intercepted HTTP Request messages.","Checks if a vulnerable version is present on the target host.
Details:
Squid Poisoning Vulnerability (SQUID-2016:7) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.808051)
Version used: 2023-07-20T05:05:17Z
","Product: cpe:/a:squid-cache:squid:3.3.8
Method: Squid Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.900611)
","","DFN-CERT-2016-1297,DFN-CERT-2016-1296,DFN-CERT-2016-0866,DFN-CERT-2016-0750,DFN-CERT-2016-0723,CB-K16/1228,CB-K16/1227,CB-K16/0815,CB-K16/0708,CB-K16/0675",""
