IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.52,sonar67.trabalho_vulnnet,9000,tcp,5.0,Medium,30,"Mitigation","Backup File Scanner (HTTP) - Unreliable Detection Reporting","The script reports backup files left on the web server.","The following backup files were identified (<URL>:<Matching pattern>):

http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-114x114.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-120x120.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-144x144.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-152x152.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-180x180.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-57x57.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-60x60.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-72x72.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon-76x76.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.apple-touch-icon.png~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/.favicon.ico~:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.backup:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.bak:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.bkp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.copy:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.old:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.orig:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.save:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.swp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.temp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico.tmp:^HTTP/1\.[01] 200
http://sonar67.trabalho_vulnnet:9000/favicon.ico~:^HTTP/1\.[01] 200
",1.3.6.1.4.1.25623.1.0.108975,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,cb6f44c7-6741-473b-84fb-1030e1cf5b6b,"Based on the information provided in these files an attacker might
  be able to gather sensitive information stored in these files.","Delete the backup files.","","Notes:

  - 'Unreliable Detection' means that a file was detected only based on a HTTP 200 (Found) status
  code reported by the remote web server when a file was requested.

  - As the VT 'Backup File Scanner (HTTP)' (OID: 1.3.6.1.4.1.25623.1.0.140853) might run into a
  timeout the actual reporting of this vulnerability takes place in this VT instead.","Reports previous enumerated backup files accessible on the
  remote web server.
Details:
Backup File Scanner (HTTP) - Unreliable Detection Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108975)
Version used: 2022-09-13T10:15:09Z
","","","",""
172.31.1.52,sonar67.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 3307985612
Packet 2: 3307986748
",1.3.6.1.4.1.25623.1.0.80091,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,8bbb0e51-cfab-42bc-8d69-f04a1520fcb8,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.31.1.52,sonar67.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,16038763-ede3-4231-a201-50df87add6b2,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
172.31.1.52,sonar67.trabalho_vulnnet,,,0.0,Log,80,"","OS Detection Consolidation and Reporting","This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum.","Best matching OS:

OS:           Linux Kernel
CPE:          cpe:/o:linux:kernel
Found by VT:  1.3.6.1.4.1.25623.1.0.102002 (Operating System (OS) Detection (ICMP))
Concluded from ICMP based OS fingerprint
Setting key ""Host/runs_unixoide"" based on this information
",1.3.6.1.4.1.25623.1.0.105937,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,6b7602e4-5189-4b2d-88e5-d7a853da1daa,"","","","","
Details:
OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
Version used: 2026-01-21T05:50:46Z
","","","",""
172.31.1.52,sonar67.trabalho_vulnnet,,,0.0,Log,70,"","IP Forwarding Enabled - Active Check","Checks if the remote host has IP forwarding enabled.","It was possible to route a TCP packet through the target host and received an answer which means IP forwarding is enabled.
",1.3.6.1.4.1.25623.1.0.147205,"CVE-1999-0511",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,7abb1688-6c89-498f-b53c-a92c8c247933,"","","","","Sends a crafted Local Link Layer (LLL) frame and checks the
  response.
Details:
IP Forwarding Enabled - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.147205)
Version used: 2021-12-03T08:27:06Z
","","","",""
172.31.1.52,sonar67.trabalho_vulnnet,,,0.0,Log,80,"","Traceroute","Collect information about the network route and
  network distance between the scanner host and the target host.","Network route from scanner (172.30.0.2) to target (172.31.1.52):

172.30.0.2
172.31.1.52

Network distance between scanner and target: 2
",1.3.6.1.4.1.25623.1.0.51662,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,e412505d-5b6c-4002-92c8-9f49b4a41bfa,"","","","For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more.","A combination of the protocols ICMP and TCP is used
  to determine the route. This method is applicable for IPv4 only and it is also known as
  'traceroute'.
Details:
Traceroute
(OID: 1.3.6.1.4.1.25623.1.0.51662)
Version used: 2022-10-17T11:13:19Z
","","","",""
172.31.1.52,sonar67.trabalho_vulnnet,9000,tcp,0.0,Log,80,"","Web Application Scanning Consolidation / Info Reporting","The script consolidates and reports various information for web
  application (formerly called 'CGI') scanning.

  This information is based on the following scripts / settings:

  - HTTP-Version Detection (OID: 1.3.6.1.4.1.25623.1.0.100034)

  - No 404 check (OID: 1.3.6.1.4.1.25623.1.0.10386)

  - Web mirroring / webmirror.nasl (OID: 1.3.6.1.4.1.25623.1.0.10662)

  - Directory Scanner / DDI_Directory_Scanner.nasl (OID: 1.3.6.1.4.1.25623.1.0.11032)

  - The configured 'cgi_path' within the 'Scanner Preferences' of the scan config in use

  - The configured 'Enable CGI scanning', 'Enable generic web application scanning' and
  'Add historic /scripts and /cgi-bin to directories for CGI scanning' within the
  'Global variable settings' of the scan config in use

  If you think any of this information is wrong please report it to the referenced community
  forum.","The Hostname/IP ""sonar67.trabalho_vulnnet"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

The service is responding with a 200 HTTP status code to non-existent files/urls. The following pattern is used to work around possible false detections:
-----
SonarQube
-----

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT <version replaced>)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for web application scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

The following directories were used for web application scanning:

http://sonar67.trabalho_vulnnet:9000/

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards

The following directories were excluded from web application scanning because the ""Regex pattern to exclude directories from CGI scanning"" setting of the VT ""Global variable settings"" (OID: 1.3.6.1.4.1.25623.1.0.12288) for this scan was: ""/(index\.php|image|img|css|js$|js/|javascript|style|theme|icon|jquery|graphic|grafik|picture|bilder|thumbnail|media/|skins?/)""

http://sonar67.trabalho_vulnnet:9000/css
http://sonar67.trabalho_vulnnet:9000/js
",1.3.6.1.4.1.25623.1.0.111038,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,d01340f8-a244-4bdc-8a1e-0ada6e338bea,"","","","","
Details:
Web Application Scanning Consolidation / Info Reporting
(OID: 1.3.6.1.4.1.25623.1.0.111038)
Version used: 2026-01-13T05:47:36Z
","","","",""
172.31.1.52,sonar67.trabalho_vulnnet,9000,tcp,0.0,Log,80,"Mitigation","robot.txt / robots.txt exists on the Web Server (HTTP)","Web Servers can use a file called /robot(s).txt to ask search engines
  to ignore certain files and directories. By nature this file can not be used to protect private files
  from public read access.","The file 'http://sonar67.trabalho_vulnnet:9000/robots.txt' contains the following:

# We don't want robots to click all Sonar links
User-agent: *
Disallow: /
",1.3.6.1.4.1.25623.1.0.10302,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,230492c2-18ec-4785-ad26-b1f4562e8f9a,"","Review the content of the /robot(s).txt file and consider removing the
  files from the server or protect them in other ways in case you actually intended non-public availability.","","Any serious web search engine will honor the /robot(s).txt file
  and not scan the files and directories listed there.

  Any entries listed in this file are not even hidden anymore.","
Details:
robot.txt / robots.txt exists on the Web Server (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.10302)
Version used: 2024-02-26T14:36:40Z
","","","",""
172.31.1.52,sonar67.trabalho_vulnnet,9000,tcp,0.0,Log,70,"","Allowed HTTP Methods Enumeration","Enumerates which HTTP methods are allowed.","The following list contains the URLs and corresponding supported HTTP methods.

URL                                   | HTTP Methods
----------------------------------------------------------------
http://sonar67.trabalho_vulnnet:9000/ | GET,HEAD,POST,PUT,DELETE
",1.3.6.1.4.1.25623.1.0.153974,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,58a99b50-9335-46cf-9eff-9e9937bdff62,"","","","'- Basic HTTP methods: GET, HEAD, POST, PUT, DELETE, CONNECT,
  OPTIONS, TRACE

  - Extended HTTP methods: ACL, BASELINE-CONTROL, BIND, CHECKIN, CHECKOUT, COPY, LABEL, LINK, LOCK,
  MERGE, MKACTIVITY, MKCALENDAR, MKCOL, MKREDIRECTREF, MKWORKSPACE, MOVE, ORDERPATCH, PATCH, PRI,
  PROPFIND, PROPPATCH, REBIND, REPORT, SEARCH, UNBIND, UNCHECKOUT, UNLINK, UNLOCK, UPDATE,
  UPDATEREDIRECTREF, VERSION-CONTROL","Sends multiple HTTP requests and checks the responses.

  Disclaimer:

  - This enumeration script is provided 'as is' (means no support is given) and only providing
  rudimentary information about the possible enabled methods

  - This script doesn't guarantee completeness or full reliability

  For more reliable determination of the enabled HTTP methods please inspect the configuration of
  the web server manually and directly on the target host.
Details:
Allowed HTTP Methods Enumeration
(OID: 1.3.6.1.4.1.25623.1.0.153974)
Version used: 2025-02-28T05:38:49Z
","","","",""
172.31.1.52,sonar67.trabalho_vulnnet,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","172.31.1.52|cpe:/o:linux:kernel

",1.3.6.1.4.1.25623.1.0.810002,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,ebf82ca6-b582-4fc2-ae9e-451117142407,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
