IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,10.0,Critical,30,"VendorFix","Mort Bay / Eclipse Jetty End of Life (EOL) Detection - Linux","The Mort Bay / Eclipse Jetty version on the remote host has
  reached the End of Life (EOL) and should not be used anymore.","The ""Mort Bay / Eclipse Jetty"" version on the remote host has reached the end of life.

CPE:               cpe:/a:eclipse:jetty:8.1.16.20140903
Installed version: 8.1.16.20140903
Location/URL:      8081/tcp
EOL version:       8.1
EOL date:          2014-12-31
",1.3.6.1.4.1.25623.1.0.117294,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,586e4d06-4d1f-46a6-bc92-d4befe09b2ff,"An EOL version of Mort Bay / Eclipse Jetty is not receiving any
  security updates from the vendor. Unfixed security vulnerabilities might be leveraged by an
  attacker to compromise the security of this host.","Update the Mort Bay / Eclipse Jetty version on the remote host
  to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
Mort Bay / Eclipse Jetty End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117294)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,7.5,High,30,"VendorFix","Eclipse Jetty Multiple Vulnerabilities (Jul 2022) - Linux","Eclipse Jetty is prone to multiple vulnerabilities.","Installed version: 8.1.16.20140903
Fixed version:     9.4.47
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.148412,"CVE-2022-2047,CVE-2022-2048",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,e91275eb-6504-4f18-a1f8-da9bd6bbb274,"","Update to version 9.4.47, 10.0.10, 11.0.10 or later.","Eclipse Jetty version 9.4.46 and prior, version 10.0.x through
  10.0.9 and 11.0.x through 11.0.9.","The following vulnerabilities exist:

  - CVE-2022-2047: Invalid URI parsing may produce invalid HttpURI.authority

  - CVE-2022-2048: Invalid HTTP/2 requests can lead to denial of service","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty Multiple Vulnerabilities (Jul 2022) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148412)
Version used: 2024-06-11T05:05:40Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","DFN-CERT-2023-0776,DFN-CERT-2023-0661,DFN-CERT-2023-0445,DFN-CERT-2023-0112,DFN-CERT-2023-0091,DFN-CERT-2022-2708,DFN-CERT-2022-1994,DFN-CERT-2022-1706,WID-SEC-2024-0794,WID-SEC-2023-2368,WID-SEC-2023-1808,WID-SEC-2023-1017,WID-SEC-2023-0864,WID-SEC-2023-0137,WID-SEC-2023-0133,WID-SEC-2023-0027,WID-SEC-2022-1780,WID-SEC-2022-1778,WID-SEC-2022-1767,WID-SEC-2022-1766,WID-SEC-2022-1373,WID-SEC-2022-0614",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,7.5,High,30,"VendorFix","Eclipse Jetty DoS Vulnerability (GHSA-26vr-8j45-3r4w) - Linux","Eclipse Jetty is prone to a denial of service (DoS)
  vulnerability.","Installed version: 8.1.16.20140903
Fixed version:     9.4.39
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.117487,"CVE-2021-28165",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,bfa8c3ea-f2fd-4790-98a1-59a2fa338a9d,"When using SSL/TLS with Jetty, either with HTTP/1.1, HTTP/2, or
  WebSocket, the server may receive an invalid large (greater than 17408) TLS frame that is
  incorrectly handled, causing CPU resources to eventually reach 100% usage.","Update to version 9.4.39, 10.0.2, 11.0.2 or later. See the
  referenced vendor advisory for a possible mitigation.","Eclipse Jetty version 7.2.2 through 9.4.38, 10.0.0.alpha0
  through 10.0.1 and 11.0.0.alpha0 through 11.0.1.","","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty DoS Vulnerability (GHSA-26vr-8j45-3r4w) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117487)
Version used: 2024-06-11T05:05:40Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","DFN-CERT-2024-3084,DFN-CERT-2023-2545,DFN-CERT-2021-2152,DFN-CERT-2021-2045,DFN-CERT-2021-1780,DFN-CERT-2021-1736,DFN-CERT-2021-1728,DFN-CERT-2021-1665,DFN-CERT-2021-1475,DFN-CERT-2021-1332,DFN-CERT-2021-1103,DFN-CERT-2021-0840,DFN-CERT-2021-0832,WID-SEC-2025-2372,WID-SEC-2025-0227,WID-SEC-2024-0794,WID-SEC-2023-2993,WID-SEC-2023-2674,WID-SEC-2023-1821,WID-SEC-2022-1767,WID-SEC-2022-1365,WID-SEC-2022-1161,WID-SEC-2022-0624,WID-SEC-2022-0623,CB-K22/0071,CB-K21/1094,CB-K21/1093",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,7.0,High,30,"VendorFix","Eclipse Jetty Privilege Escalation Vulnerability - Linux","Eclipse Jetty is prone to a privilege escalation vulnerability through a
  local temp directory.","Installed version: 8.1.16.20140903
Fixed version:     9.4.33.20201020
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.144836,"CVE-2020-27216",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,af04b70d-8c90-46ca-af68-c9e434f78cd0,"","Update to version 9.4.33.v20201020, 10.0.0.beta3, 11.0.0.beta3 or later.","Eclipse Jetty version 9.4.32.v20200930 and prior, 10.0.0.beta2 and prior and
  11.0.0.beta2 and prior.","On Unix like systems, the system's temporary directory is shared between all
  users on that system. A collocated user can observe the process of creating a temporary sub directory in the
  shared temporary directory and race to complete the creation of the temporary subdirectory. If the attacker wins
  the race then they will have read and write permission to the subdirectory used to unpack web applications,
  including their WEB-INF/lib jar files and JSP files. If any code is ever executed out of this temporary
  directory, this can lead to a local privilege escalation vulnerability.","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty Privilege Escalation Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.144836)
Version used: 2024-06-11T05:05:40Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","DFN-CERT-2024-3084,DFN-CERT-2021-2196,DFN-CERT-2021-1736,DFN-CERT-2021-1728,DFN-CERT-2021-1665,DFN-CERT-2021-1429,DFN-CERT-2021-1404,DFN-CERT-2021-1043,DFN-CERT-2021-0223,DFN-CERT-2020-2681,DFN-CERT-2020-2578,WID-SEC-2024-0794,WID-SEC-2023-1547,WID-SEC-2022-1910,CB-K21/1095,CB-K21/0784",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,5.3,Medium,30,"VendorFix","Eclipse Jetty Information Disclosure Vulnerability (CVE-2019-10247) - Linux","Eclypse Jetty is prone to an information disclosure vulnerability.","Installed version: 8.1.16.20140903
Fixed version:     9.2.28.20190418
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.142309,"CVE-2019-10247",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,2cceb943-af37-4226-8d7f-6aea3fbaf5f5,"","Update to version 9.2.28.v20190418, 9.3.27.v20190418, 9.4.17.v20190418 or
  later.","Eclipse Jetty version 7.x and prior, 8.x, 9.2.27.v20190403 and prior,
  9.3.26.v20190403 and prior and 9.4.16.v20190411 and prior.","The DefaultHandler will present the full path to the Resource Base directory,
  if the server is configured with only non-root contexts.","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty Information Disclosure Vulnerability (CVE-2019-10247) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.142309)
Version used: 2024-06-11T05:05:40Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","DFN-CERT-2021-1728,DFN-CERT-2021-1665,DFN-CERT-2021-1043,DFN-CERT-2021-0132,DFN-CERT-2020-0779,DFN-CERT-2020-0772,DFN-CERT-2020-0595,DFN-CERT-2020-0092,WID-SEC-2023-2946,CB-K19/0909",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,5.3,Medium,30,"VendorFix","Eclipse Jetty Multiple Vulnerabilities (GHSA-qw69-rqj8-6qw8, GHSA-p26g-97m4-6q7c) - Linux","Eclipse Jetty is prone to multiple vulnerabilities.","Installed version: 8.1.16.20140903
Fixed version:     9.4.51
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.149569,"CVE-2023-26048,CVE-2023-26049",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,16f023fe-401a-4237-af8b-e35e9b013c37,"","Update to version 9.4.51, 10.0.14, 11.0.14 or later.","Eclipse Jetty version 9.4.50 and prior, version 10.0.x through
  10.0.13 and 11.0.x through 11.0.13.","The following vulnerabilities exist:

  - CVE-2023-26048: OutOfMemoryError for large multipart without filename read via
  request.getParameter()

  - CVE-2023-26049: Cookie parsing of quoted values can exfiltrate values from other cookies","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty Multiple Vulnerabilities (GHSA-qw69-rqj8-6qw8, GHSA-p26g-97m4-...
(OID: 1.3.6.1.4.1.25623.1.0.149569)
Version used: 2024-06-11T05:05:40Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","DFN-CERT-2024-0391,DFN-CERT-2024-0376,DFN-CERT-2024-0368,DFN-CERT-2023-3035,DFN-CERT-2023-2537,DFN-CERT-2023-2346,DFN-CERT-2023-2341,DFN-CERT-2023-2167,DFN-CERT-2023-1648,DFN-CERT-2023-1410,WID-SEC-2024-0794,WID-SEC-2023-2688,WID-SEC-2023-2679,WID-SEC-2023-2675,WID-SEC-2023-2672,WID-SEC-2023-2625,WID-SEC-2023-1812,WID-SEC-2023-1807,WID-SEC-2023-1009",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,5.3,Medium,30,"VendorFix","Eclipse Jetty URI Parsing Vulnerability (GHSA-qh8g-58pp-2wxh) - Linux","Eclipse Jetty is prone to an URI parsing vulnerability.","Installed version: 8.1.16.20140903
Fixed version:     12.0.12
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.153234,"CVE-2024-6763",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,45b92845-0343-4e73-bc22-286aba6bcd49,"","Update to version 12.0.12 or later.","Eclipse Jetty version 7.0.0 through 12.0.11.","Eclipse Jetty includes a utility class, HttpURI, for URI/URL
  parsing.

  The HttpURI class does insufficient validation on the authority segment of a URI. However the
  behaviour of HttpURI differs from the common browsers in how it handles a URI that would be
  considered invalid if fully validated against the RRC. Specifically HttpURI and the browser may
  differ on the value of the host extracted from an invalid URI and thus a combination of Jetty and
  a vulnerable browser may be vulnerable to a open redirect attack or to a SSRF attack if the URI
  is used after passing validation checks.","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty URI Parsing Vulnerability (GHSA-qh8g-58pp-2wxh) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.153234)
Version used: 2024-11-12T05:05:34Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","DFN-CERT-2025-2102,DFN-CERT-2025-1898,DFN-CERT-2025-1748,DFN-CERT-2025-1395,DFN-CERT-2025-0835,DFN-CERT-2025-0167,WID-SEC-2025-1572,WID-SEC-2025-1565,WID-SEC-2025-0823,WID-SEC-2025-0138,WID-SEC-2024-3176",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,5.3,Medium,30,"VendorFix","Eclipse Jetty Information Disclosure Vulnerability (GHSA-gwcr-j4wh-j3cq)","Eclipse Jetty is prone to an information disclosure vulnerability
  in the ConcatServlet and WelcomeFilter servlet.","Installed version: 8.1.16.20140903
Fixed version:     9.4.41
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.146099,"CVE-2021-28169",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,7caf92ee-74dd-4229-8135-8caca3eff441,"","Update to version 9.4.41, 10.0.3, 11.0.3 or later.","Eclipse Jetty prior to version 9.4.41, 10.x through 10.0.2 and
  11.x through 11.0.2.","Requests to the ConcatServlet and WelcomeFilter are able to
  access protected resources within the WEB-INF directory. For example a request to the
  ConcatServlet with a URI of /concat?/%2557EB-INF/web.xml can retrieve the web.xml file. This can
  reveal sensitive information regarding the implementation of a web application.

  This occurs because both ConcatServlet and WelcomeFilter decode the supplied path to verify it is
  not within the WEB-INF or META-INF directories. It then uses this decoded path to call
  RequestDispatcher which will also do decoding of the path. This double decoding allows paths with
  a doubly encoded WEB-INF to bypass this security check.","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty Information Disclosure Vulnerability (GHSA-gwcr-j4wh-j3cq)
(OID: 1.3.6.1.4.1.25623.1.0.146099)
Version used: 2024-06-11T05:05:40Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","DFN-CERT-2024-3084,DFN-CERT-2021-2620,DFN-CERT-2021-2186,DFN-CERT-2021-2045,DFN-CERT-2021-1780,DFN-CERT-2021-1728,DFN-CERT-2021-1665,DFN-CERT-2021-1337,DFN-CERT-2021-1332,WID-SEC-2025-0227,WID-SEC-2024-0794,WID-SEC-2022-1908,WID-SEC-2022-1595,WID-SEC-2022-1161,WID-SEC-2022-0616",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,3.5,Low,30,"VendorFix","Eclipse Jetty Session Vulnerability (GHSA-m6cp-vxjx-65j6) - Linux","Eclipse Jetty is prone to a vulnerability in the session
  management.","Installed version: 8.1.16.20140903
Fixed version:     9.4.41.20210516
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.146164,"CVE-2021-34428",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,e120b408-dacc-4399-94ee-8dd30cb4487b,"","Update to version 9.4.41.v20210516, 10.0.3, 11.0.3 or later.","Eclipse Jetty version 9.4.40.v20210413 and prior, 10.x through
  10.0.2 and 11.x through 11.0.2.","If an exception is thrown from the SessionListener#sessionDestroyed()
  method, then the session ID is not invalidated in the session ID manager. On deployments with
  clustered sessions and multiple contexts this can result in a session not being invalidated. This
  can result in an application used on a shared computer being left logged in.","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty Session Vulnerability (GHSA-m6cp-vxjx-65j6) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.146164)
Version used: 2024-06-11T05:05:40Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","DFN-CERT-2024-3084,DFN-CERT-2021-2620,DFN-CERT-2021-2186,DFN-CERT-2021-2045,DFN-CERT-2021-1780,DFN-CERT-2021-1728,DFN-CERT-2021-1665,WID-SEC-2024-0794,WID-SEC-2022-1596,WID-SEC-2022-1161",""
172.31.1.50,nexus2.trabalho_vulnnet,8081,tcp,3.4,Low,30,"VendorFix","Eclipse Jetty XXE Vulnerability (GHSA-58qw-p7qm-5rvh) - Linux","Eclipse Jetty is prone to a XML external entity (XXE)
  vulnerability in the XMLParser.","Installed version: 8.1.16.20140903
Fixed version:     9.4.52
Installation
path / port:       8081/tcp

",1.3.6.1.4.1.25623.1.0.151573,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,0d8415ad-13e2-4404-ab97-ac6f619ff6dd,"","Update to version 9.4.52, 10.0.16, 11.0.16 or later.","Eclipse Jetty version 9.4.51 and prior, 10.0.0 through
  10.0.15 and 11.0.0 through 11.0.15.","XmlParser is being used when parsing Jetty's xml configuration
  files. An attacker might exploit this vulnerability in order to achieve SSRF or cause a denial of
  service.

  One possible scenario is importing a (remote) malicious WAR into a Jetty's server, while the WAR
  includes a malicious web.xml.","Checks if a vulnerable version is present on the target host.
Details:
Eclipse Jetty XXE Vulnerability (GHSA-58qw-p7qm-5rvh) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.151573)
Version used: 2024-06-11T05:05:40Z
","Product: cpe:/a:eclipse:jetty:8.1.16.20140903
Method: Mort Bay / Eclipse Jetty Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800953)
","","",""
172.31.1.50,nexus2.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 714100443
Packet 2: 714101555
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:07:27Z,1fbe0ca5-26f4-4c37-a35d-36fcdc5fc131,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
