IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,10.0,Critical,30,VendorFix,PHP End of Life (EOL) Detection - Linux,"The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               [CPE_STRING_358c0167]
Installed version: 5.5.9
EOL version:       5.5
EOL date:          2016-07-21
",[OID_7117bb01],,[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_100453f6],"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.",,"Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: [OID_7117bb01])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,,
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,VendorFix,"PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     [IP_ADDRESS_37e6b55f] / port:       [PORT_f0ab0544]

",[OID_d8ff11ba],[CVE_ID_a035b8b5],[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_373ca216],"Successfully exploiting these issues allow remote attackers to
  cause a denial of service (use-after-free and application crash) or possibly execute arbitrary
  code or possibly have unspecified other[MITRE-TACTIC_ba892629] via a large integer argument.",Update to version[IP_ADDRESS_9057bad9] 5.6.23 or later.,"PHP prior to version[IP_ADDRESS_8e898cd1] and 5.6.x prior to 5.6.23 on
  Linux.","The following flaws exist:

  - The 'spl_array.c' in the SPL extension improperly interacts with the unserialize implementation
  and garbage collection.

  - Integer overflow in the 'SplFileObject::fread' function in 'spl_directory.c' in the SPL
  extension.","Checks if a vulnerable version is present on the target host.
Details:
PHP <[IP_ADDRESS_9057bad9] 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux
(OID: [OID_d8ff11ba])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2018-0576,DFN-CERT-2016-2125,DFN-CERT-2016-1882,DFN-CERT-2016-1541,DFN-CERT-2016-1253,DFN-CERT-2016-1178,DFN-CERT-2016-1139,DFN-CERT-2016-1097,DFN-CERT-2016-1022,CB-K16/2012,CB-K16/1776,CB-K16/1452,CB-K16/1179,CB-K16/1106,CB-K16/1070,CB-K16/1030,CB-K16/0965",
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,VendorFix,PHP Multiple Vulnerabilities (Feb 2019) - Linux,PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     5.6.40
Installation
path / port:       [PORT_f0ab0544]

",[OID_c027063f],"[CVE_ID_8af62bcb],[CVE_ID_7b07667e],[CVE_ID_3f3256a7],[CVE_ID_1cf18239],[CVE_ID_9c343a65],[CVE_ID_2f3b5a7d]",[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_608a8e03],,"Update to version 5.6.40, 7.1.16, 7.2.14, 7.3.1 or later.","PHP versions before 5.6.40, 7.x before 7.1.26, 7.2.x before
  7.2.14 and 7.3.x before 7.3.1.","The following flaws exist:

  - Fixed bug #77269 (efree() on uninitialized Heap data in imagescale leads to use-after-free).
  ([CVE_ID_8af62bcb])

  - Fixed bug #77270 (imagecolormatch Out Of Bounds Write on Heap). ([CVE_ID_7b07667e])

  - Fixed bug #77370 (Buffer overflow on mb regex functions - fetch_token). ([CVE_ID_9c343a65])

  - Fixed bug #77371 (heap buffer overflow in mb regex functions - compile_string_node).
  ([CVE_ID_9c343a65])

  - Fixed bug #77381 (heap buffer overflow in multibyte match_at). ([CVE_ID_9c343a65])

  - Fixed bug #77382 (heap buffer overflow due to incorrect length in expand_case_fold_string).
  ([CVE_ID_9c343a65])

  - Fixed bug #77385 (buffer overflow in fetch_token). ([CVE_ID_9c343a65])

  - Fixed bug #77394 (Buffer overflow in multibyte case folding - unicode). ([CVE_ID_9c343a65])

  - Fixed bug #77418 (Heap overflow in utf32be_mbc_to_code). ([CVE_ID_9c343a65])

  - Fixed bug #77247 (heap buffer overflow in phar_detect_phar_fname_ext). ([CVE_ID_1cf18239])

  - Fixed bug #77242 (heap out of bounds read in xmlrpc_decode()). ([CVE_ID_3f3256a7])

  - Fixed bug #77380 (Global out of bounds read in xmlrpc base64 code). ([CVE_ID_2f3b5a7d])","Checks if a vulnerable version is present on the target host.
Details:
PHP Multiple Vulnerabilities (Feb 2019) - Linux
(OID: [OID_c027063f])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2022-2638,DFN-CERT-2020-2398,DFN-CERT-2020-1078,DFN-CERT-2020-0898,DFN-CERT-2020-0680,DFN-CERT-2019-2283,DFN-CERT-2019-1737,DFN-CERT-2019-1181,DFN-CERT-2019-0804,DFN-CERT-2019-0698,DFN-CERT-2019-0434,DFN-CERT-2019-0368,DFN-CERT-2019-0313,DFN-CERT-2019-0241,DFN-CERT-2019-0212,DFN-CERT-2017-1295,DFN-CERT-2017-0325,DFN-CERT-2017-0234,DFN-CERT-2017-0179,WID-SEC-2022-2127,CB-K19/0166,CB-K17/1252,CB-K17/0318,CB-K17/0232,CB-K17/0182",
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,VendorFix,"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     8.1.29
Installation
path / port:       [PORT_f0ab0544]

",[OID_d62baa24],[CVE_ID_251cdbc1],[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_50b84405],,"Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.","The following vulnerabilities exist:

  - [CVE_ID_a96abf41]: Argument injection in PHP-CGI (bypass of [CVE_ID_4711772a])

  - [CVE_ID_4db81c2a]: Filter bypass in filter_var FILTER_VALIDATE_URL

  - [CVE_ID_2d51eaaa]: Bypass of [CVE_ID_b9c6e77a]

  Note: As of 06/2024 the CVEs[CVE_ID_a96abf41] and[CVE_ID_2d51eaaa] are known to be exploitable on
  Windows systems only.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux
(OID: [OID_d62baa24])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2025-1211,DFN-CERT-2024-3330,DFN-CERT-2024-3329,DFN-CERT-2024-2707,DFN-CERT-2024-1853,DFN-CERT-2024-1586,DFN-CERT-2024-1574,DFN-CERT-2024-1563,DFN-CERT-2024-1476,WID-SEC-2024-3196,WID-SEC-2024-3195,WID-SEC-2024-1320",
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,VendorFix,"PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"Installed version: 5.5.9
Fixed version:     5.6.29
Installation
path / port:       [PORT_f0ab0544]

",[OID_c31f54b5],[CVE_ID_f2f3ae76],[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_207564f2],,"Update to version 5.6.29, 7.0.14 or later.",PHP versions prior to 5.6.29 and 7.0.x prior to 7.0.14.,"The php_wddx_push_element function in ext/wddx/wddx.c allows
  remote attackers to cause a denial of service (out-of-bounds read and memory corruption) or
  possibly have unspecified other impact via an empty boolean element in a wddxPacket XML
  document.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux
(OID: [OID_c31f54b5])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2018-0835,DFN-CERT-2017-0532,DFN-CERT-2017-0334,DFN-CERT-2017-0274,DFN-CERT-2017-0058,DFN-CERT-2017-0016,DFN-CERT-2016-2130,DFN-CERT-2016-2084,CB-K17/0527,CB-K17/0327,CB-K17/0269,CB-K17/0053,CB-K17/0015,CB-K16/2015,CB-K16/1982",
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,VendorFix,PHP < 5.6.7 DoS Vulnerability - Linux,PHP is prone to a denial of service (DoS) vulnerability.,"Installed version: 5.5.9
Fixed version:     5.6.7
Installation
path / port:       [PORT_f0ab0544]

",[OID_d05c0571],[CVE_ID_95a85f7e],[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_9791a27a],"Successfully exploiting this issue allow remote attackers to
  cause a denial of service.",Update to version 5.6.7 or later.,PHP prior to version 5.6.7 on Linux.,"The flaw is due to 'type confusion' issues in
  'ext/soap/php_encoding.c', 'ext/soap/php_http.c', and 'ext/soap/soap.c' scripts.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 5.6.7 DoS Vulnerability - Linux
(OID: [OID_d05c0571])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2016-1004,DFN-CERT-2015-1217,DFN-CERT-2015-1083,DFN-CERT-2015-1017,DFN-CERT-2015-0989,DFN-CERT-2015-0983,DFN-CERT-2015-0900,CB-K16/0944,CB-K15/1158,CB-K15/1031,CB-K15/0966,CB-K15/0942,CB-K15/0936,CB-K15/0854",
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,VendorFix,"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     7.4.33
Installation
path / port:       [PORT_f0ab0544]

",[OID_5bec59dc],[CVE_ID_3af9e8ca],[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_6ea119da],,"Update to version[IP_ADDRESS_027e7ed1] 8.0.25, 8.1.12 or later.","PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.","The following vulnerabilities exist:

  - [CVE_ID_e29e5343]: OOB read due to insufficient input validation in imageloadfont()

  - [CVE_ID_8c23c4f6]: Buffer overflow in hash_update() on long parameter","Checks if a vulnerable version is present on the target host.
Details:
PHP <[IP_ADDRESS_027e7ed1] 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux
(OID: [OID_5bec59dc])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2026-0215,DFN-CERT-2023-0552,DFN-CERT-2023-0422,DFN-CERT-2023-0028,DFN-CERT-2022-2869,DFN-CERT-2022-2793,DFN-CERT-2022-2715,DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-2598,DFN-CERT-2022-2535,DFN-CERT-2022-2523,DFN-CERT-2022-2420,DFN-CERT-2022-2380,WID-SEC-2023-1021,WID-SEC-2023-0561,WID-SEC-2023-0138,WID-SEC-2022-1934,WID-SEC-2022-1816",
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,WillNotFix,PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability,PHP is prone to a denial of service (DoS) vulnerability.,"Installed version: 5.5.9
Fixed version:     None
Installation
path / port:       [PORT_f0ab0544]

",[OID_58fac3ff],[CVE_ID_8c779d36],[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_82d2eb3a],,"No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.",PHP versions through 5.6.27 and 7.0.x through 7.0.12.,"PHP mishandles property modification during __wakeup
  processing, which allows remote attackers to cause a denial of service or possibly have
  unspecified other impact via crafted serialized data, as demonstrated by Exception::__toString
  with DateInterval::__wakeup.","Checks if a vulnerable version is present on the target host.
Details:
PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability
(OID: [OID_58fac3ff])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2017-0325,DFN-CERT-2016-2053,CB-K17/0318,CB-K16/1943",
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,WillNotFix,PHP <= 7.1.5 Multiple DoS Vulnerabilities,"PHP is prone to multiple denial of service (DoS)
  vulnerabilities.","Installed version: 5.5.9
Fixed version:     None
Installation
path / port:       [PORT_f0ab0544]

",[OID_2d26750a],[CVE_ID_64bce321],[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_80b2c4ff],,"No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.",PHP versions through 7.1.5.,"The following flaws exist:

  - [CVE_ID_cbea444d]: The zend_string_extend function in Zend/zend_string.h does not prevent changes to
  string objects that result in a negative length, which allows remote attackers to cause a denial
  of service (application crash) or possibly have unspecified other impact by leveraging a script's
  use of .= with a long string.

  - [CVE_ID_470848af]: The i_zval_ptr_dtor function in Zend/zend_variables.h allows attackers to cause a
  denial of service (memory consumption and application crash) or possibly have unspecified other
  impact by triggering crafted operations on array data structures.","Checks if a vulnerable version is present on the target host.
Details:
PHP <= 7.1.5 Multiple DoS Vulnerabilities
(OID: [OID_2d26750a])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-0485,DFN-CERT-2022-0455,DFN-CERT-2022-0431,DFN-CERT-2022-0410,WID-SEC-2024-3760",
[IP_ADDRESS_5b02f379],[HOSTNAME_e5c53b15],[PORT_2edd4ed6],tcp,9.8,Critical,30,VendorFix,"PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     8.0.30
Installation
path / port:       [PORT_f0ab0544]

",[OID_6d2e6192],[CVE_ID_6e43599c],[UUID_04c8d426], hgdfdghgdgd,2026-01-26T05:24:14Z,[UUID_b998872b],,"Update to version[IP_ADDRESS_85112c02] 8.1.22, 8.2.9 or later.","PHP prior to version 8.0.30, 8.1.x prior to 8.1.22 and 8.2.x
  prior to 8.2.9.","The following flaws exist:

  - [CVE_ID_290f677c]: Fixed bug GHSA-3qrf-m4j2-pcrr (Security issue with external entity loading in XML
  without enabling it)

  - [CVE_ID_66e863d3]: Fixed bug GHSA-jqcx-ccgc-xwhv (Buffer mismanagement in phar_dir_read())","Checks if a vulnerable version is present on the target host.
Details:
PHP <[IP_ADDRESS_85112c02] 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux
(OID: [OID_6d2e6192])
Version used: 2025-09-24T05:39:03Z
","Product: [CPE_STRING_358c0167]
Method: PHP Detection Consolidation
(OID: [OID_ab0a5911])
",,"DFN-CERT-2024-3330,DFN-CERT-2024-2681,DFN-CERT-2024-0993,DFN-CERT-2023-2570,DFN-CERT-2023-2542,DFN-CERT-2023-1775,WID-SEC-2023-2917,WID-SEC-2023-2679,WID-SEC-2023-1970",
